description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Menestrón con Carne de Res en Semiconserva 750g,LA FLORENCIA,S/ 12.90,vivanda,MENESTRAS SANCOCHADAS,2024-12-04 18:14:15.370961,750.0,g,12.9
Menestrón BELL'S FRESCOS Bandeja 500g,BELL'S FRESCOS,S/ 9.40,vivanda,MENESTRAS SANCOCHADAS,2024-12-04 18:14:15.370961,500.0,g,9.4
