description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Panetón D'ONOFRIO Bolsa 880g,D'ONOFRIO,S/ 29.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,880.0,g,29.9
Panetón GLORIA Bolsa 900g,GLORIA,S/ 26.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,900.0,g,26.9
Panetón D'ONOFRIO Caja 880g,D'ONOFRIO,S/ 32.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,880.0,g,32.9
Panetón DONOFRIO Chocotón Caja 450g,D'ONOFRIO,S/ 23.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,450.0,g,23.9
Panetón BELL'S Bolsa 800g,BELL'S,S/ 10.60,vivanda,PANETÓN,2024-12-04 17:18:18.343126,800.0,g,10.6
Panetón TODINNO Bolsa 900g,TODINNO,S/ 28.00,vivanda,PANETÓN,2024-12-04 17:18:18.343126,900.0,g,28.0
Panetón con Frutas BAUDUCCO Caja 750g,BAUDUCCO,S/ 34.69,vivanda,PANETÓN,2024-12-04 17:18:18.343126,750.0,g,34.69
Panetón TODINNO Lata 900g,TODINNO,S/ 39.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,900.0,g,39.9
Panetón DONOFRIO Caja 1.3Kg,DONOFRIO,S/ 39.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,1.3,kg,39.9
Panetón BIMBO Caja 900g,BIMBO,S/ 29.00,vivanda,PANETÓN,2024-12-04 17:18:18.343126,900.0,g,29.0
Panetón BLANCA FLOR Chocolate Caja 450g,BLANCA FLOR,S/ 22.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,450.0,g,22.9
Panetón BELL'S Chispas de Chocolate Bolsa 90g,BELL'S,S/ 3.10,vivanda,PANETÓN,2024-12-04 17:18:18.343126,90.0,g,3.1
Panetón TODINNO Bolsa 900g + Panetón TODINNITO Bolsa 85g,TODINNO,S/ 29.50,vivanda,PANETÓN,2024-12-04 17:18:18.343126,900.0,g,29.5
Panetón WINTER'S Bolsa 800g,WINTER'S,S/ 27.50,vivanda,PANETÓN,2024-12-04 17:18:18.343126,800.0,g,27.5
Panetón BIMBO Bolsa 900g,BIMBO,S/ 27.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,900.0,g,27.9
Panetón GLORIA Caja 900g,GLORIA,S/ 29.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,900.0,g,29.9
Panetón Artesanal con Frutos Secos LA FLORENCIA Caja 600g,LA FLORENCIA,S/ 24.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,600.0,g,24.9
Panetón BLANCA FLOR Bolsa 900g,BLANCA FLOR,S/ 25.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,900.0,g,25.9
Panetón D'ONOFRIO Lata 880g,DONOFRIO,S/ 44.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,880.0,g,44.9
Panetón GLORIA Lata 900g,GLORIA,S/ 39.00,vivanda,PANETÓN,2024-12-04 17:18:18.343126,900.0,g,39.0
Panetón BELL'S Chispas de Chocolate 500g,BELL'S,S/ 15.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,500.0,g,15.9
Panetón Peruano CASA VERDE Caja 80g,CASAVERDE,S/ 29.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,80.0,g,29.9
Panetón con Avellana GLORIA Pasión Caja 500g,GLORIA,S/ 22.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,500.0,g,22.9
Panetón con Pasas y Frutas Confitadas TODINNITO Caja 85g,TODINNO,S/ 4.60,vivanda,PANETÓN,2024-12-04 17:18:18.343126,85.0,g,4.6
Panetón SAPITO Caja 450g,SAPITO,S/ 25.50,vivanda,PANETÓN,2024-12-04 17:18:18.343126,450.0,g,25.5
Panetón COSTA Caja 800g,COSTA,S/ 25.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,800.0,g,25.9
Panetón WINTER'S con Choco Chispas Caja 500g,WINTER'S,S/ 20.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,500.0,g,20.9
Panetón BLANCA FLOR Caja 900g,BLANCA FLOR,S/ 29.50,vivanda,PANETÓN,2024-12-04 17:18:18.343126,900.0,g,29.5
Panetón TODINNO Caja 900g + Panetón TODINNITO Caja 85g,TODINNO,S/ 31.50,vivanda,PANETÓN,2024-12-04 17:18:18.343126,900.0,g,31.5
Panetón DONOFRIO Buen Natale Bolsa 750g,D'ONOFRIO,S/ 23.90,vivanda,PANETÓN,2024-12-04 17:18:18.343126,750.0,g,23.9
