description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Carne Molida Light EL BUEN CORTE x kg,EL BUEN CORTE,S/ 36.50,vivanda,CARNE MOLIDA DE VACUNO,2024-12-04 17:24:12.071870,1.0,kg,36.5
Carne Molida EL BUEN CORTE x kg,EL BUEN CORTE,S/ 25.00,vivanda,CARNE MOLIDA DE VACUNO,2024-12-04 17:24:12.071870,1.0,kg,25.0
Carne Molida de Pavita x 500g,VIVANDA,S/ 15.90,vivanda,CARNE MOLIDA DE VACUNO,2024-12-04 17:24:12.071870,500.0,g,15.9
Carne Molida de Cerdo SAN FERNANDO Paquete 500g,SAN FERNANDO,S/ 15.50,vivanda,CARNE MOLIDA DE VACUNO,2024-12-04 17:24:12.071870,500.0,g,15.5
Carne para Lomo Saltado EL BUEN CORTE x kg,EL BUEN CORTE,S/ 45.00,vivanda,CARNE MOLIDA DE VACUNO,2024-12-04 17:24:12.071870,1.0,kg,45.0
Comida para Perros DOG CHOW Adultos razas Pequeñas Carne y Pollo Bolsa 8kg,DOG CHOW,S/ 120.10,vivanda,CARNE MOLIDA DE VACUNO,2024-12-04 17:24:12.071870,8.0,kg,120.1
"Comida para Perros DOG CHOW Adultos todos los tamaños Carne, Pollo y Pescado Bolsa 8kg",DOG CHOW,S/ 124.80,vivanda,CARNE MOLIDA DE VACUNO,2024-12-04 17:24:12.071870,8.0,kg,124.8
"Comida para Perros DOG CHOW Cachorros Medianos y Grandes Carne, Pollo, Verduras y Leche Bolsa 3kg",DOG CHOW,S/ 44.60,vivanda,CARNE MOLIDA DE VACUNO,2024-12-04 17:24:12.071870,3.0,kg,44.6
Comida para Perros DOG CHOW Adultos razas Medianas y Grandes Carne y Pollo Bolsa 8kg,DOG CHOW,S/ 120.10,vivanda,CARNE MOLIDA DE VACUNO,2024-12-04 17:24:12.071870,8.0,kg,120.1
Comida para Perros DOG CHOW Adultos todos los tamaños Carne y Pollo Bolsa 3kg,DOG CHOW,S/ 44.60,vivanda,CARNE MOLIDA DE VACUNO,2024-12-04 17:24:12.071870,3.0,kg,44.6
Comida para gatos RICOCAT Gatitos carne pescado y leche Bolsa 1Kg,RICOCAT,S/ 14.50,vivanda,CARNE MOLIDA DE VACUNO,2024-12-04 17:24:12.071870,1.0,kg,14.5
Comida para Gatitos PURINA ONE Toda Razas Carne Bolsa 2Kg,PURINA ONE,S/ 78.80,vivanda,CARNE MOLIDA DE VACUNO,2024-12-04 17:24:12.071870,2.0,kg,78.8
