description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Piña Golden x kg,VIVANDA,S/ 5.79,vivanda,PIÑA,2024-12-04 17:50:29.768247,1.0,kg,5.79
Piña Golden en Trozos Congelada FEST Paquete 500g,FEST,S/ 8.90,vivanda,PIÑA,2024-12-04 17:50:29.768247,500.0,g,8.9
Piña en Trozos BALI Lata 567g,BALI,S/ 12.20,vivanda,PIÑA,2024-12-04 17:50:29.768247,567.0,g,12.2
Piña Deshidratada GO BARMAN Bolsa 60g,GO BARMAN,S/ 19.90,vivanda,PIÑA,2024-12-04 17:50:29.768247,60.0,g,19.9
Piña en Trozos BELL'S en Almíbar Lata 567g,BELL'S,S/ 6.40,vivanda,PIÑA,2024-12-04 17:50:29.768247,567.0,g,6.4
Piña en Rodajas BALI Lata 567g,BALI,S/ 12.20,vivanda,PIÑA,2024-12-04 17:50:29.768247,567.0,g,12.2
Piña en Rodajas BALI Lata 836g,BALI,S/ 13.40,vivanda,PIÑA,2024-12-04 17:50:29.768247,836.0,g,13.4
Piña en Rodajas BALI Lata 227g,BALI,S/ 7.10,vivanda,PIÑA,2024-12-04 17:50:29.768247,227.0,g,7.1
Piña en Trozos Congelada BELL'S Bolsa 1kg,BELL'S,S/ 14.20,vivanda,PIÑA,2024-12-04 17:50:29.768247,1.0,kg,14.2
Piña en Rodajas BELL'S en Almíbar Lata 567g,BELL'S,S/ 6.90,vivanda,PIÑA,2024-12-04 17:50:29.768247,567.0,g,6.9
Gelatina UNIVERSAL Sabor a Piña Caja 19g,UNIVERSAL,S/ 3.70,vivanda,PIÑA,2024-12-04 17:50:29.768247,19.0,g,3.7
"Mix de Fresa, Papaya y Piña Congelada EL FRUTERO Bolsa 1Kg",EL FRUTERO,S/ 15.49,vivanda,PIÑA,2024-12-04 17:50:29.768247,1.0,kg,15.49
Mermelada BELL'S Light Piña Frasco 230g,BELL'S,S/ 6.90,vivanda,PIÑA,2024-12-04 17:50:29.768247,230.0,g,6.9
Pack Gaseosa PEPSI Botella 3L + Gaseosa CONCORDIA Piña Botella 3L,PEPSI,S/ 14.90,vivanda,PIÑA,2024-12-04 17:50:29.768247,3.0,l,14.9
"Mix Fresa, Piña y Mango Congelado EL FRUTERO Bolsa 1kg",EL FRUTERO,S/ 16.99,vivanda,PIÑA,2024-12-04 17:50:29.768247,1.0,kg,16.99
Infusiones WAWASANA Te verde piña Caja 50Un,WAWASANA,S/ 16.90,vivanda,PIÑA,2024-12-04 17:50:29.768247,50.0,un,16.9
Mermelada de Piña Pote 200g,LA FLORENCIA,S/ 4.60,vivanda,PIÑA,2024-12-04 17:50:29.768247,200.0,g,4.6
Bebida Aloe KERO Piña Botella 300ml,KERO,S/ 3.00,vivanda,PIÑA,2024-12-04 17:50:29.768247,300.0,ml,3.0
Jugo de Piña NATURALE Botella 1L,NATURALE,S/ 8.90,vivanda,PIÑA,2024-12-04 17:50:29.768247,1.0,l,8.9
Agua Mineral SOCOSANI Piña Botella 500ml,SOCOSANI,S/ 1.99,vivanda,PIÑA,2024-12-04 17:50:29.768247,500.0,ml,1.99
Jugo de Fruta KERO Naranja y Piña Botella 475ml,KERO,S/ 5.70,vivanda,PIÑA,2024-12-04 17:50:29.768247,475.0,ml,5.7
Queso Rulo Cabra MARQUES DEL CASTILLO con Piña Paquete 110g,MARQUÉS DEL CASTILLO,S/ 11.90,vivanda,PIÑA,2024-12-04 17:50:29.768247,110.0,g,11.9
Gaseosa CONCORDIA Piña Botella 3L,CONCORDIA,S/ 6.90,vivanda,PIÑA,2024-12-04 17:50:29.768247,3.0,l,6.9
Gelatina Light BELL'S Piña Bolsa 19g,BELL'S,S/ 2.50,vivanda,PIÑA,2024-12-04 17:50:29.768247,19.0,g,2.5
Gomas Dulces AMBROSOLI FRUGELÉ Sabor Limón Naranja Piña Bolsa 430g,AMBROSOLI,S/ 14.50,vivanda,PIÑA,2024-12-04 17:50:29.768247,430.0,g,14.5
Trozos de Piña Golden Congelada EL FRUTERO Bolsa 1Kg,EL FRUTERO,S/ 16.99,vivanda,PIÑA,2024-12-04 17:50:29.768247,1.0,kg,16.99
Gaseosa PEPSI + 7UP + CONCORDIA Piña Botella 3L Paquete 3un,PEPSI,S/ 18.20,vivanda,PIÑA,2024-12-04 17:50:29.768247,3.0,l,18.2
Gaseosa FANTA Piña Botella 3L,FANTA,S/ 7.50,vivanda,PIÑA,2024-12-04 17:50:29.768247,3.0,l,7.5
Bebida con Aloe Vera SAPPE Piña Botella 300ml,SAPPE,S/ 5.90,vivanda,PIÑA,2024-12-04 17:50:29.768247,300.0,ml,5.9
Mermelada DELGA-C Piña 0% Azúcar Frasco 310Gr,DELGA-C,S/ 9.80,vivanda,PIÑA,2024-12-04 17:50:29.768247,310.0,g,9.8
Mazamorra UMSHA de Piña Bolsa 125g,UMSHA,S/ 3.40,vivanda,PIÑA,2024-12-04 17:50:29.768247,125.0,g,3.4
Gelatina UMSHA Sabor a Piña Bolsa 120g,UMSHA,S/ 3.40,vivanda,PIÑA,2024-12-04 17:50:29.768247,120.0,g,3.4
Refresco UMSHA Piña Bolsa 13g,UMSHA,S/ 1.00,vivanda,PIÑA,2024-12-04 17:50:29.768247,13.0,g,1.0
