description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Leche Evaporada Entera GLORIA Lata 390g Paquete 6un,GLORIA,S/ 24.60,vivanda,LECHE EVAPORADA,2024-12-04 17:36:10.187361,390.0,g,24.6
Leche Evaporada BELL'S Entera Lata 410g,BELL'S,S/ 4.20,vivanda,LECHE EVAPORADA,2024-12-04 17:36:10.187361,410.0,g,4.2
Leche Evaporada BELL'S Light Lata 410g,BELL'S,S/ 4.20,vivanda,LECHE EVAPORADA,2024-12-04 17:36:10.187361,410.0,g,4.2
