description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Lechuga Americana BELL'S FRESCOS Bolsa 300g,BELL'S FRESCOS,S/ 1.99,vivanda,LECHUGA,2024-12-04 17:52:58.943696,300.0,g,1.99
Lechuga Seda Hidropónica BELL'S FRESCOS Bolsa 200g,BELL'S FRESCOS,S/ 3.39,vivanda,LECHUGA,2024-12-04 17:52:58.943696,200.0,g,3.39
Lechuga Butterhead VIVA Bolsa x un,VIVA,S/ 4.99,vivanda,LECHUGA,2024-12-04 17:52:58.943696,1.0,un,4.99
Lechuga Crespa Hidropónica BELL'S FRESCOS Bolsa 200g,BELL'S FRESCOS,,vivanda,LECHUGA,2024-12-04 17:52:58.943696,200.0,g,
Lechuga Crespa BELL'S FRESCOS Bolsa x un,BELL'S FRESCOS,S/ 2.19,vivanda,LECHUGA,2024-12-04 17:52:58.943696,1.0,un,2.19
Lechuga Roja VIVA x un,VIVA,S/ 4.99,vivanda,LECHUGA,2024-12-04 17:52:58.943696,1.0,un,4.99
Lechuga Romana BELL'S FRESCOS Bolsa 170g,BELL'S FRESCOS,S/ 3.69,vivanda,LECHUGA,2024-12-04 17:52:58.943696,170.0,g,3.69
Lechuga Americana de Verano VVA Bolsa x un,VIVA,S/ 4.99,vivanda,LECHUGA,2024-12-04 17:52:58.943696,1.0,un,4.99
Lechuga Crespa VIVA Bolsa x un,VIVA,S/ 4.99,vivanda,LECHUGA,2024-12-04 17:52:58.943696,1.0,un,4.99
Lechuga Roja Hidropónica BELL'S FRESCOS Bolsa 200g,BELL'S FRESCOS,S/ 3.69,vivanda,LECHUGA,2024-12-04 17:52:58.943696,200.0,g,3.69
Lechuga Butterhead VIVA Bolsa x un,VIVA,S/ 8.99,vivanda,LECHUGA,2024-12-04 17:52:58.943696,1.0,un,8.99
