description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Sal Marina EMSAL Mesa Bolsa 1Kg,EMSAL,S/ 2.40,vivanda,SAL,2024-12-04 18:09:00.549217,1.0,kg,2.4
Sal Marina EMSAL Cocina Bolsa 1Kg,EMSAL,S/ 2.40,vivanda,SAL,2024-12-04 18:09:00.549217,1.0,kg,2.4
Sal Rosada de Maras PERUVIAN Gruesa Bolsa 500g,GOURMET,S/ 8.90,vivanda,SAL,2024-12-04 18:09:00.549217,500.0,g,8.9
Sal ONZA De maras fina Caja 500Gr,ONZA,S/ 9.00,vivanda,SAL,2024-12-04 18:09:00.549217,500.0,g,9.0
Sal Marina de Mesa EMSAL Ecológica Doypack 500g,MARINA,S/ 4.59,vivanda,SAL,2024-12-04 18:09:00.549217,500.0,g,4.59
Sal de Mesa BELL'S Bolsa 1 Kg,BELL'S,S/ 2.00,vivanda,SAL,2024-12-04 18:09:00.549217,1.0,kg,2.0
Sal Fina de Mesa EMSAL Frasco 125g,EMSAL,S/ 3.79,vivanda,SAL,2024-12-04 18:09:00.549217,125.0,g,3.79
Sal de Mesa LOBOS Fina Frasco 500g,LOBOS,S/ 5.29,vivanda,SAL,2024-12-04 18:09:00.549217,500.0,g,5.29
Sal Parrillera EMSAL Frasco 500g,EMSAL,S/ 8.79,vivanda,SAL,2024-12-04 18:09:00.549217,500.0,g,8.79
Sal de Cocina BELL'S Bolsa 1Kg,BELL'S,S/ 2.00,vivanda,SAL,2024-12-04 18:09:00.549217,1.0,kg,2.0
Sal ONZA De maras gruesa Caja 500Gr,ONZA,S/ 9.00,vivanda,SAL,2024-12-04 18:09:00.549217,500.0,g,9.0
Sal MARAS GOURMET con Especies Moledor Frasco 100g,MARAS GOURMET,S/ 15.90,vivanda,SAL,2024-12-04 18:09:00.549217,100.0,g,15.9
Sal MARAS GOURMET Ahumada Bolsa 600g,MARAS GOURMET,S/ 11.90,vivanda,SAL,2024-12-04 18:09:00.549217,600.0,g,11.9
Sal de Baño DR TEAL'S Lavanda Paquete 450g,DR TEAL'S,S/ 18.50,vivanda,SAL,2024-12-04 18:09:00.549217,450.0,g,18.5
Sal Fina de Mesa EMSAL Frasco 500g,EMSAL,S/ 6.10,vivanda,SAL,2024-12-04 18:09:00.549217,500.0,g,6.1
Sal LOBOS De mesa fina Pote 125Gr,LOBOS,S/ 2.60,vivanda,SAL,2024-12-04 18:09:00.549217,125.0,g,2.6
Sal de Maras GOURMET Especial Bolsa 500g,GOURMET,S/ 9.90,vivanda,SAL,2024-12-04 18:09:00.549217,500.0,g,9.9
Sal de Maras Gruesa ONZA Molinillo Frasco 100g,ONZA,S/ 18.20,vivanda,SAL,2024-12-04 18:09:00.549217,100.0,g,18.2
Sal de Maras ONZA Ají Panca Molinillo Frasco 80g,ONZA,S/ 18.90,vivanda,SAL,2024-12-04 18:09:00.549217,80.0,g,18.9
Sal de Baño DR TEAL'S Eucalipto Paquete 450g,DR TEAL'S,S/ 18.50,vivanda,SAL,2024-12-04 18:09:00.549217,450.0,g,18.5
Sal de Maras ONZA Hierbas Mediterráneas Doypack 250g,ONZA,S/ 8.70,vivanda,SAL,2024-12-04 18:09:00.549217,250.0,g,8.7
Sal de Maras Fina BELL'S Doypack 500g,BALANZÉ,S/ 9.90,vivanda,SAL,2024-12-04 18:09:00.549217,500.0,g,9.9
Antiácido SAL DE ANDREWS Polvo Efervecente Caja 12un,SAL ANDREWS,S/ 8.99,vivanda,SAL,2024-12-04 18:09:00.549217,12.0,un,8.99
Sal BADIA Ajo Frasco 127.60Gr,BADIA,S/ 9.40,vivanda,SAL,2024-12-04 18:09:00.549217,127.6,g,9.4
Sal BIOSAL Liviana en sodio Frasco 125g,BIOSAL,S/ 4.10,vivanda,SAL,2024-12-04 18:09:00.549217,125.0,g,4.1
Antiácido SAL DE ANDREWS Polvo efervecente triple acción Caja 12Un,SAL ANDREWS,S/ 11.90,vivanda,SAL,2024-12-04 18:09:00.549217,12.0,un,11.9
Sal LOBOS Parillera Frasco 750Gr,LOBOS,S/ 10.60,vivanda,SAL,2024-12-04 18:09:00.549217,750.0,g,10.6
Sal de Maras Gruesa BELL'S Doypack 500g,BALANZÉ,S/ 9.90,vivanda,SAL,2024-12-04 18:09:00.549217,500.0,g,9.9
Sal BIOSAL 50% Menos Sodio Frasco 500g,BIOSAL,S/ 11.90,vivanda,SAL,2024-12-04 18:09:00.549217,500.0,g,11.9
Sal de Maras ONZA Ají Panca Doypack 400g,ONZA,S/ 8.70,vivanda,SAL,2024-12-04 18:09:00.549217,400.0,g,8.7
Sal de Maras ONZA Hierbas Mediterráneas Molinillo Frasco 50g,ONZA,S/ 18.90,vivanda,SAL,2024-12-04 18:09:00.549217,50.0,g,18.9
Mantequilla con Sal GLORIA Paquete 180g,GLORIA,S/ 9.90,vivanda,SAL,2024-12-04 18:09:00.549217,180.0,g,9.9
Mantequilla con Sal LAIVE Barra 180g,LAIVE,S/ 12.90,vivanda,SAL,2024-12-04 18:09:00.549217,180.0,g,12.9
Mantequilla sin Sal GLORIA Paquete 180g,GLORIA,S/ 9.90,vivanda,SAL,2024-12-04 18:09:00.549217,180.0,g,9.9
Papas INKA CHIPS con Sal de Mar Bolsa 135g,INKA CHIPS,S/ 7.80,vivanda,SAL,2024-12-04 18:09:00.549217,135.0,g,7.8
Mantequilla con Sal GLORIA Pote 180g,GLORIA,S/ 10.50,vivanda,SAL,2024-12-04 18:09:00.549217,180.0,g,10.5
Mantequilla sin Sal LAIVE Barra 180g,LAIVE,S/ 12.90,vivanda,SAL,2024-12-04 18:09:00.549217,180.0,g,12.9
Mantequilla PRÉSIDENT sin Sal Barra 200g,PRESIDENT,S/ 20.70,vivanda,SAL,2024-12-04 18:09:00.549217,200.0,g,20.7
Mantequilla LAIVE con Sal Barra 100g,LAIVE,S/ 7.40,vivanda,SAL,2024-12-04 18:09:00.549217,100.0,g,7.4
Filete de Atún con Agua y Sal PRIMOR Lata 140g,PRIMOR,S/ 6.00,vivanda,SAL,2024-12-04 18:09:00.549217,140.0,g,6.0
Piqueos Cocktail VILLA NATURA con Nueces Sin Sal Bolsa 250g,VILLA NATURA,S/ 14.00,vivanda,SAL,2024-12-04 18:09:00.549217,250.0,g,14.0
Barra de Chocolate Q'UMA Sal de Maras 70% Cacao Caja 70g,QUMA,S/ 20.20,vivanda,SAL,2024-12-04 18:09:00.549217,70.0,g,20.2
Queso Bajo en Sal TRES OSCOS Paquete 250g,TRES OSCOS,S/ 16.90,vivanda,SAL,2024-12-04 18:09:00.549217,250.0,g,16.9
Conserva de Pechuga de Pavo ALDELÍS en Agua y Sal Lata 155g,ALDELÍS,S/ 8.40,vivanda,SAL,2024-12-04 18:09:00.549217,155.0,g,8.4
Mantequilla PRESIDENT con Sal Barra 200g,PRESIDENT,S/ 20.70,vivanda,SAL,2024-12-04 18:09:00.549217,200.0,g,20.7
Crema a Base de Mantequilla Light con Sal LAIVE Pote 180g,LAIVE,S/ 15.00,vivanda,SAL,2024-12-04 18:09:00.549217,180.0,g,15.0
Piqueos Cocktail VILLA NATURA con Nueces Sin Sal Pote 200g,VILLA NATURA,S/ 10.50,vivanda,SAL,2024-12-04 18:09:00.549217,200.0,g,10.5
Mixtura sin Sal VILLA NATURA Bolsa 250g,VILLA NATURA,S/ 14.00,vivanda,SAL,2024-12-04 18:09:00.549217,250.0,g,14.0
Chocolate Bitter INNATO Cranberries y Sal Bolsa 100g,INNATO,S/ 13.80,vivanda,SAL,2024-12-04 18:09:00.549217,100.0,g,13.8
Papas LAY'S Artesanas Sal Marina Bolsa 135g,LAY'S,S/ 6.50,vivanda,SAL,2024-12-04 18:09:00.549217,135.0,g,6.5
