description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Agua Mineral SAN MATEO sin Gas Bidón 7L,SAN MATEO,S/ 9.00,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,7.0,l,9.0
Agua Mineral SAN MATEO sin Gas Botella 600ml Paquete 6un,SAN MATEO,S/ 10.20,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,600.0,ml,10.2
Agua Mineral SAN MATEO Con Gas Botella 600ml Paquete 6un,SAN MATEO,S/ 10.20,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,600.0,ml,10.2
Agua Mineral SAN LUIS Con Gas Botella 2.5L,SAN LUIS,S/ 3.00,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,2.5,l,3.0
Agua Mineral SAN LUIS Con Gas Botella 625ml Paquete 6un,SAN LUIS,S/ 8.20,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,625.0,ml,8.2
Agua Mineral SOCOSANI con Gas Botella 1L,SOCOSANI,S/ 4.40,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,1.0,l,4.4
Agua Mineral SAN PELLEGRINO Con Gas Botella 750ml,SAN PELLEGRINO,S/ 11.90,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,750.0,ml,11.9
Agua Mineral SAN LUIS sin Gas Botella 2.5L,SAN LUIS,S/ 3.00,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,2.5,l,3.0
Agua Mineral SAN LUIS sin Gas Botella 2.5L Paquete 6un,SAN LUIS,S/ 14.90,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,2.5,l,14.9
Agua Mineral con Gas SOCOSANI Botella 355ml,SOCOSANI,S/ 3.60,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,355.0,ml,3.6
Agua Mineral EVIAN sin Gas Botella de Vidrio 330ml,EVIAN,S/ 8.50,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,330.0,ml,8.5
Agua Mineral con Gas SAN PELLEGRINO 500ml Paquete 6un,SAN PELLEGRINO,S/ 41.40,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,500.0,ml,41.4
Agua Mineral con Gas SOCOSANI Botella 1.5L,SOCOSANI,S/ 4.50,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,1.5,l,4.5
Agua Mineral EVIAN sin Gas Botella con Tapa Sport 750ml,EVIAN,S/ 13.50,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,750.0,ml,13.5
Agua Mineral SAN MATEO Con Gas Botella 600ml,SAN MATEO,S/ 1.80,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,600.0,ml,1.8
Agua Mineral EVIAN sin Gas Botella 500ml Paquete 6un,EVIAN,S/ 48.40,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,500.0,ml,48.4
Agua Mineral SAN LUIS sin Gas Botella 1L,SAN LUIS,S/ 2.70,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,1.0,l,2.7
Agua Mineral con Gas EVIAN Sparkling Botella de Vidrio 330ml,EVIAN,S/ 8.50,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,330.0,ml,8.5
Agua Mineral EVIAN sin Gas Botella 500ml,EVIAN,S/ 8.60,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,500.0,ml,8.6
Agua Mineral EVIAN sin Gas Botella 1.5L,EVIAN,S/ 17.00,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,1.5,l,17.0
Agua Mineral EVIAN sin Gas Botella 330ml,EVIAN,S/ 6.90,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,330.0,ml,6.9
Agua Mineral EVIAN sin Gas Botella 1L,EVIAN,S/ 13.90,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,1.0,l,13.9
Agua Mineral SOCOSANI Con Gas Botella 500ml,SOCOSANI,S/ 2.00,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,500.0,ml,2.0
Agua Mineral SAN LUIS Con Gas Botella 625ml,SAN LUIS,S/ 1.60,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,625.0,ml,1.6
Agua Mineral EVIAN Sin Gas Paquete 6un Botella 330ml,EVIAN,S/ 41.60,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,6.0,un,41.6
Agua Mineral con Gas EVIAN Sparkling Botella de Vidrio 750ml,EVIAN,S/ 13.50,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,750.0,ml,13.5
Agua Mineral SAN PELLEGRINO con Gas Botella 250ml,SAN PELLEGRINO,S/ 7.60,vivanda,AGUA MINERAL SIN GAS,2024-12-04 18:19:12.420009,250.0,ml,7.6
