description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Bife de Vacío de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 51.30,vivanda,BOFE DE RES,2024-12-04 17:27:09.881551,1.0,kg,51.3
Bife Ancho de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 52.40,vivanda,BOFE DE RES,2024-12-04 17:27:09.881551,1.0,kg,52.4
Bife Angosto de Res EL BUEN CORTE x kg,EL BUEN CORTE,S/ 52.40,vivanda,BOFE DE RES,2024-12-04 17:27:09.881551,1.0,kg,52.4
