description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Chocolatada en Polvo BATIANDINO Doypack 200g,BATIANDINO,S/ 10.90,vivanda,PRODUCTO ACHOCOLATADO,2024-12-04 18:18:24.946474,200.0,g,10.9
Leche Chocolatada DANLAC Botella 900ml,DANLAC,S/ 8.60,vivanda,PRODUCTO ACHOCOLATADO,2024-12-04 18:18:24.946474,900.0,ml,8.6
Leche Chocolatada UHT GLORIA Bolsa 900ml,GLORIA,S/ 6.00,vivanda,PRODUCTO ACHOCOLATADO,2024-12-04 18:18:24.946474,900.0,ml,6.0
Leche Chocolatada GLORIA UHT Niños Caja 180ml Paquete 6un,GLORIA,S/ 11.40,vivanda,PRODUCTO ACHOCOLATADO,2024-12-04 18:18:24.946474,180.0,ml,11.4
Leche Chocolatada VAKIMU Botella 350ml,VAKIMU,S/ 4.90,vivanda,PRODUCTO ACHOCOLATADO,2024-12-04 18:18:24.946474,350.0,ml,4.9
Leche GLORIA UHT Chocolatada Caja 1L,GLORIA,S/ 6.50,vivanda,PRODUCTO ACHOCOLATADO,2024-12-04 18:18:24.946474,1.0,l,6.5
Leche Chocolatada Deslactosada DANLAC Botella 900ml,DANLAC,S/ 8.80,vivanda,PRODUCTO ACHOCOLATADO,2024-12-04 18:18:24.946474,900.0,ml,8.8
Bebida de Leche UHT BONLÉ Chocolatada Bolsa 800ml,BONLÉ,S/ 3.50,vivanda,PRODUCTO ACHOCOLATADO,2024-12-04 18:18:24.946474,800.0,ml,3.5
Bebida de Leche Chocolatada LAIVE Bolsa 900ml,LAIVE,S/ 5.50,vivanda,PRODUCTO ACHOCOLATADO,2024-12-04 18:18:24.946474,900.0,ml,5.5
Leche Chocolatada PIAMONTE Bolsa 946ml,PIAMONTE,S/ 6.90,vivanda,PRODUCTO ACHOCOLATADO,2024-12-04 18:18:24.946474,946.0,ml,6.9
Leche Chocolatada PIAMONTE Botella 946ml,PIAMONTE,S/ 14.10,vivanda,PRODUCTO ACHOCOLATADO,2024-12-04 18:18:24.946474,946.0,ml,14.1
