description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Cereal AGE Salvado de Trigo Entero Paquete 140g,AGE,S/ 7.40,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,140.0,g,7.4
Corazones de Trigo BELL'S Bolsa 200g,BELL'S,S/ 12.50,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,200.0,g,12.5
Cereales AGE Gérmen de Trigo Paquete 500g,AGE,S/ 35.80,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,500.0,g,35.8
Cereal ANGEL Maíz trigo y avena sabor frutas Bolsa 420Gr,ANGEL,S/ 16.10,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,420.0,g,16.1
Cereal Infatil NESTUM Trigo Miel Caja 350g,NESTUM,S/ 19.90,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,350.0,g,19.9
Cerveza CUSQUEÑA Trigo Lata 473ml Paquete 6un,CUSQUEÑA,S/ 34.90,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,473.0,ml,34.9
Yogurt Bebible Griego TIGO Arándano y Chía Botella 800g,TIGO,S/ 9.90,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,800.0,g,9.9
Yogurt Griego TIGO Frutos Rojos Pote 1kg,TIGO,S/ 15.49,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,1.0,kg,15.49
Yogurt Griego TIGO Arándano con Chía Pote 160g,TIGO,S/ 4.29,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,160.0,g,4.29
Yogurt TIGO Mix Vainilla con Galletas Trituradas Vaso 125g,TIGO,S/ 4.00,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,125.0,g,4.0
Comida para Perros ORIGO Pollo Doypack 10un,ORIGO,S/ 10.90,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,10.0,un,10.9
Yogurt Griego TIGO Sensaciones con Fudge de Cappuccino Pote 180g,TIGO,S/ 4.70,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,180.0,g,4.7
Comida para Perros ORIGO Pollo/Pato Doypack 40un,ORIGO,S/ 16.40,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,40.0,un,16.4
Yogurt TIGO Mix Bolitas de Chocolate Vaso 125g,TIGO,S/ 4.00,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,125.0,g,4.0
Yogurt TIGO Mix Vainilla con Grageas de Chocolate Confitado Vaso 125g,TIGO,S/ 4.10,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,125.0,g,4.1
Yogurt Griego Parcialmente Descremado TIGO Sabor Mango - Maracuyá Pote 1Kg,TIGO,S/ 17.80,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,1.0,kg,17.8
Yogurt Griego TIGO de Arándano & Chía Pote 1Kg,TIGO,S/ 15.49,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,1.0,kg,15.49
Yogurt TIGO Premium Natural con Sirope de Chancaca Vaso 160g,TIGO,S/ 6.40,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,160.0,g,6.4
Yogurt TIGO Premium Natural con Miel de Abeja Vaso 160g,TIGO,S/ 6.40,vivanda,TRIGO MORÓN,2024-12-04 17:12:25.605624,160.0,g,6.4
