description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Pack x8 Mezcla Láctea Ideal Amanecer Lata 390g,S/ 23.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,23.9
Sixpack Mezcla Láctea Bonlé Bajo en Grasa Caja 480g,S/ 20.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,480.0,g,20.5
Sixpack Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 170g,S/ 14.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,170.0,g,14.9
Sixpack Mezcla Láctea Ideal Amanecer Lata 390g,S/ 18.70,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,18.7
Sixpack Mezcla Láctea Bonlé Familiar Lata 390g,S/ 18.00,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,18.0
Leche Concentrada Laive Botella 390g,S/ 4.30,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.3
Pack x6 Gloria Leche Light 170g,S/ 14.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,6.0,g,14.9
Leche en Polvo Gloria Lata 800 g,S/ 41.10,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,800.0,g,41.1
Pack x6 Mezcla Láctea Laive Cremosa 480g,S/ 21.90,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,480.0,g,21.9
Sixpack Mezcla Láctea Ideal Light Lata 390g,S/ 23.60,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,23.6
Leche en Polvo Gloria Bolsa 96g,S/ 5.60,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,96.0,g,5.6
