description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Caja Krea Organizador Rueda Transparente Tapa Color Surtido 26L,S/ 20.00,metro,PAPA COLOR,2024-12-04 21:53:39.950869,26.0,l,20.0
Caja Krea Organizador Rueda Transparente Tapa Color Surtido 13L,S/ 14.50,metro,PAPA COLOR,2024-12-04 21:53:39.950869,13.0,l,14.5
Caja Organiza Krea Transparente Tapa Color Surtido 6L,S/ 10.00,metro,PAPA COLOR,2024-12-04 21:53:39.950869,6.0,l,10.0
Cafetera Krea Embolo Tapa Color 600ml,S/ 20.39,metro,PAPA COLOR,2024-12-04 21:53:39.950869,600.0,ml,20.39
Caja Organizador Krea Transparente Tapa Color 4L,S/ 8.00,metro,PAPA COLOR,2024-12-04 21:53:39.950869,4.0,l,8.0
Caja Krea Organizadora 13L Rueda Transparente Tapa Color Surtido,S/ 8.10,metro,PAPA COLOR,2024-12-04 21:53:39.950869,13.0,l,8.1
Caja Krea Organizador Transparente Tapa Color 4.5L Surtido,S/ 4.50,metro,PAPA COLOR,2024-12-04 21:53:39.950869,4.5,l,4.5
