description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Maní KARINTO Engalletado Salado Bolsa 200g,S/ 7.99,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,200.0,g,Maní KARINTO Engalletado Salado Bolsa,7.99,vivanda,KARINTO,PASTELES SALADOS
COLORES TRIANG PASTELES X10UN,S/ 8.20,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,10.0,un,COLORES TRIANG PASTELES X,8.2,tottus,ARTESCO,PASTELES SALADOS
Pasta Dental ORAL B Complete Blue 4 en 1 Tubo 140ml,S/ 8.20,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,140.0,ml,Pasta Dental ORAL B Complete Blue 4 en 1 Tubo,8.2,vega,Oral-B,PASTELES SALADOS
Chifle Salado CRICKETS Sabor Leche de Tigre Bolsa 150g,S/ 8.50,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,150.0,g,Chifle Salado CRICKETS Sabor Leche de Tigre Bolsa,8.5,vivanda,CRICKET S,PASTELES SALADOS
"Triple de Palta, Tomate y Huevo x un",S/ 8.90,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,1.0,un,"Triple de Palta, Tomate y Huevo",8.9,wong,,PASTELES SALADOS
STIC en barra x 21g pastel,S/ 8.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,21.0,g,STIC en barra x  pastel,8.9,tottus,UHU,PASTELES SALADOS
Chifles KARINTO Salado Bolsa 150g,S/ 9.30,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,150.0,g,Chifles KARINTO Salado Bolsa,9.3,vivanda,KARINTO,PASTELES SALADOS
TEMPERA PASTEL ESTUCHE 6 COLORES X30ML,S/ 9.50,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,30.0,ml,TEMPERA PASTEL ESTUCHE 6 COLORES X,9.5,tottus,FABER CASTELL,PASTELES SALADOS
Pasta de Tomate CASA RINALDI Basílico Frasco 690g,S/ 9.50,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,690.0,g,Pasta de Tomate CASA RINALDI Basílico Frasco,9.5,vivanda,CASA RINALDI,PASTELES SALADOS
NILO PLAST PASTEL 20GRX12 + 4 CORTAD,S/ 9.50,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,20.0,g,NILO PLAST PASTEL RX12 + 4 CORTAD,9.5,tottus,ARTI CREATIVO,PASTELES SALADOS
PR Ofis23 Set x5un Resaltadores Pastel,S/ 9.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,5.0,un,PR Ofis23 Set x Resaltadores Pastel,9.9,tottus,OFISCOOL,PASTELES SALADOS
Velas Premium de Cumpleaños Rayadas Pastel MARSHALL & MASON x6un,S/ 9.95,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,6.0,un,Velas Premium de Cumpleaños Rayadas Pastel MARSHALL & MASON x,9.95,vivanda,MARSHALL & MASON,PASTELES SALADOS
LAPICERO LINER PASTEL X 6UN,S/ 10.40,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,6.0,un,LAPICERO LINER PASTEL X,10.4,tottus,STABILO,PASTELES SALADOS
Pasteles Navideños x 90 g,S/ 10.60,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,90.0,g,Pasteles Navideños x,10.6,tottus,COLOMBINA,PASTELES SALADOS
Pistachos WONDERFUL Tostados y Salados Bolsa 35g,S/ 10.90,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,35.0,g,Pistachos WONDERFUL Tostados y Salados Bolsa,10.9,vivanda,VALLEALTO,PASTELES SALADOS
Cacahuates Salados SALYSOL Lata 250g,S/ 10.90,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,250.0,g,Cacahuates Salados SALYSOL Lata,10.9,vivanda,SALYSOL,PASTELES SALADOS
Set de Tápers VIVA HOME Tapa Pastel 3un,S/ 10.90,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,3.0,un,Set de Tápers VIVA HOME Tapa Pastel,10.9,vivanda,VIVA HOME,PASTELES SALADOS
Chifles Salados CRICKETS Bolsa 250g,S/ 11.20,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,250.0,g,Chifles Salados CRICKETS Bolsa,11.2,vivanda,CRICKET S,PASTELES SALADOS
Pasta Dental COLGATE Smiles 6+ años Minions Tubo 75ml,S/ 11.50,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,75.0,ml,Pasta Dental COLGATE Smiles 6+ años Minions Tubo,11.5,vega,Colgate,PASTELES SALADOS
Helado D'ONOFRIO Peziduri Chocolate Cremoso Pote 900ml,S/ 11.90,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,900.0,ml,Helado D'ONOFRIO Peziduri Chocolate Cremoso Pote,11.9,vivanda,D'ONOFRIO,PASTELES SALADOS
Marcador ARTESCO Dual Brush Pastel Blíster 6un,S/ 11.90,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,6.0,un,Marcador ARTESCO Dual Brush Pastel Blíster,11.9,vivanda,ARTESCO,PASTELES SALADOS
Papel Toalla SCOTT Calorie Absorb 65 hojas Paquete 4un,S/ 12.40,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,4.0,un,Papel Toalla SCOTT Calorie Absorb 65 hojas Paquete,12.4,vivanda,SCOTT,PASTELES SALADOS
LAPIZ SWANO PASTEL X 6UN,S/ 12.40,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,6.0,un,LAPIZ SWANO PASTEL X,12.4,tottus,STABILO,PASTELES SALADOS
Pumones ARTESCO Glitter Pastel Caja 6un,S/ 13.20,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,6.0,un,Pumones ARTESCO Glitter Pastel Caja,13.2,vivanda,ARTESCO,PASTELES SALADOS
PLUMONES GLITTER PASTEL X 6UN,S/ 13.20,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,6.0,un,PLUMONES GLITTER PASTEL X,13.2,tottus,ARTESCO,PASTELES SALADOS
Pasta Dental COLGATE Luminous White Carbón Activo Tubo 75ml,S/ 13.50,vega,PASTELES SALADOS,2024-12-04 13:14:11.418433,75.0,ml,Pasta Dental COLGATE Luminous White Carbón Activo Tubo,13.5,vega,Colgate,PASTELES SALADOS
STIC EN BARRA X40GR PASTEL,S/ 13.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,40.0,g,STIC EN BARRA XR PASTEL,13.9,tottus,UHU,PASTELES SALADOS
Marcador textil Plus Pastel de Marcas Caja de 5 unidades,S/ 13.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,5.0,un,Marcador textil Plus Pastel de Marcas Caja de ades,13.9,tottus,FABER CASTELL,PASTELES SALADOS
