description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Sal NORSAL Cocina Bolsa 1Kg,S/ 1.60,vega,CORVINA,2024-12-04 13:33:58.369741,1.0,kg,Sal NORSAL Cocina Bolsa,1.6,vega,NORSAL,CORVINA
Sal de Cocina BELL'S Bolsa 1Kg,S/ 2.00,vivanda,CORVINA,2024-12-04 17:31:42.582063,1.0,kg,Sal de Cocina BELL'S Bolsa,2.0,vivanda,BELL'S,CORVINA
Sal Marina EMSAL Cocina Bolsa 1Kg,S/ 2.40,vivanda,CORVINA,2024-12-04 17:31:42.582063,1.0,kg,Sal Marina EMSAL Cocina Bolsa,2.4,vivanda,EMSAL,CORVINA
Sal EMSAL Cocina Bolsa 1Kg,S/ 2.40,vega,CORVINA,2024-12-04 13:33:58.369741,1.0,kg,Sal EMSAL Cocina Bolsa,2.4,vega,Emsal,CORVINA
Pudin UNIVERSAL sabor a Vainilla Bolsa 100gr,S/ 2.50,vega,CORVINA,2024-12-04 13:33:58.369741,100.0,g,Pudin UNIVERSAL sabor a Vainilla Bolsa r,2.5,vega,Universal,CORVINA
Chuño UNIVERSAL Bolsa 180gr,S/ 3.30,vega,CORVINA,2024-12-04 13:33:58.369741,180.0,g,Chuño UNIVERSAL Bolsa r,3.3,vega,Universal,CORVINA
Flan UNIVERSAL Sabor a Vainilla Bolsa 150gr,S/ 3.30,vega,CORVINA,2024-12-04 13:33:58.369741,150.0,g,Flan UNIVERSAL Sabor a Vainilla Bolsa r,3.3,vega,Universal,CORVINA
Lavavajilla en Pasta VCLEAN Limón Pote 800g,S/ 4.90 2%,vega,CORVINA,2024-12-04 13:33:58.369741,800.0,g,Lavavajilla en Pasta VCLEAN Limón Pote,4.9,vega,Vclean,CORVINA
Lavavajilla en Pasta SAPOLIO Limón Pote 800g,S/ 5.50 8%,vega,CORVINA,2024-12-04 13:33:58.369741,800.0,g,Lavavajilla en Pasta SAPOLIO Limón Pote,5.5,vega,Sapolio,CORVINA
Sacagrasas VIRUTEX Doypack 500ml,S/ 5.70,vega,CORVINA,2024-12-04 13:33:58.369741,500.0,ml,Sacagrasas VIRUTEX Doypack,5.7,vega,Virutex,CORVINA
Lavavajilla Lìquido VCLEAN Limón Frasco 750ml,S/ 5.80 11%,vega,CORVINA,2024-12-04 13:33:58.369741,750.0,ml,Lavavajilla Lìquido VCLEAN Limón Frasco,5.8,vega,Vclean,CORVINA
Lavavajilla en Pasta CLORANDINA Limón Pote 1100gr,S/ 6.30,vega,CORVINA,2024-12-04 13:33:58.369741,1100.0,g,Lavavajilla en Pasta CLORANDINA Limón Pote r,6.3,vega,Clorandina,CORVINA
Margarina Light DORINA Pote 220g,S/ 6.90,vivanda,CORVINA,2024-12-04 17:31:42.582063,220.0,g,Margarina Light DORINA Pote,6.9,vivanda,DORINA,CORVINA
Pulidor de Cocina SAPOLIO Limón Frasco 450g,S/ 7.30,vivanda,CORVINA,2024-12-04 17:31:42.582063,450.0,g,Pulidor de Cocina SAPOLIO Limón Frasco,7.3,vivanda,SAPOLIO,CORVINA
Origens Comida para Gatos Filete de Atún con Corvina Lata 85 g,S/ 7.80,wong,CORVINA,2024-12-04 18:55:14.951056,85.0,g,Origens Comida para Gatos Filete de Atún con Corvina Lata,7.8,wong,,CORVINA
Origens Comida para Gatos Filete de Atún con Corvina Lata 85 g,S/ 7.80,metro,CORVINA,2024-12-04 21:09:05.747710,85.0,g,Origens Comida para Gatos Filete de Atún con Corvina Lata,7.8,metro,,CORVINA
Margarina Clásica DORINA Pote 220g,S/ 8.10,vivanda,CORVINA,2024-12-04 17:31:42.582063,220.0,g,Margarina Clásica DORINA Pote,8.1,vivanda,DORINA,CORVINA
Lavavajilla Líquido SAPOLIO Limón Botella 750 ml,S/ 8.90 3%,vega,CORVINA,2024-12-04 13:33:58.369741,750.0,ml,Lavavajilla Líquido SAPOLIO Limón Botella,8.9,vega,Sapolio,CORVINA
Lavavajilla Líquido SAPOLIO Manzana Botella 750 ml,S/ 8.90 3%,vega,CORVINA,2024-12-04 13:33:58.369741,750.0,ml,Lavavajilla Líquido SAPOLIO Manzana Botella,8.9,vega,Sapolio,CORVINA
Lavavajilla Lìquido VCLEAN Limón Frasco 1.2L,S/ 9.20 7%,vega,CORVINA,2024-12-04 13:33:58.369741,1.2,l,Lavavajilla Lìquido VCLEAN Limón Frasco,9.2,vega,Vclean,CORVINA
Lavavajilla Lìquido AYUDIN Limón Frasco 640 ml,S/ 10.50 13%,vega,CORVINA,2024-12-04 13:33:58.369741,640.0,ml,Lavavajilla Lìquido AYUDIN Limón Frasco,10.5,vega,Ayudin,CORVINA
Guante de Cocina VIRUTEX Talla SM Paquete 1un,S/ 11.10,vivanda,CORVINA,2024-12-04 17:31:42.582063,1.0,un,Guante de Cocina VIRUTEX Talla SM Paquete,11.1,vivanda,VIRUTEX,CORVINA
Margarina Light DORINA Pote 450g,S/ 11.50,vivanda,CORVINA,2024-12-04 17:31:42.582063,450.0,g,Margarina Light DORINA Pote,11.5,vivanda,DORINA,CORVINA
Margarina Clásica DORINA Pote 450g,S/ 11.50,vivanda,CORVINA,2024-12-04 17:31:42.582063,450.0,g,Margarina Clásica DORINA Pote,11.5,vivanda,DORINA,CORVINA
Lavavajilla Lìquido AYUDIN Limón Frasco 900 ml,S/ 14.50 6%,vega,CORVINA,2024-12-04 13:33:58.369741,900.0,ml,Lavavajilla Lìquido AYUDIN Limón Frasco,14.5,vega,Ayudin,CORVINA
Limpiador POETT Frescura de Lavanda Botella 3.8L,S/ 14.90,vega,CORVINA,2024-12-04 13:33:58.369741,3.8,l,Limpiador POETT Frescura de Lavanda Botella,14.9,vega,Poett,CORVINA
Lavavajilla Lìquido AYUDIN Limón Frasco 1.2L,S/ 17.50 15%,vega,CORVINA,2024-12-04 13:33:58.369741,1.2,l,Lavavajilla Lìquido AYUDIN Limón Frasco,17.5,vega,Ayudin,CORVINA
Cerveza CORONA Pack 6 Botella 210ml,S/ 17.79 4%,vega,CORVINA,2024-12-04 13:33:58.369741,210.0,ml,Cerveza CORONA Pack 6 Botella,17.79,vega,Corona,CORVINA
Limpiador FROSCH Accesorios de Cocina Botella 300ml,S/ 22.90,vivanda,CORVINA,2024-12-04 17:31:42.582063,300.0,ml,Limpiador FROSCH Accesorios de Cocina Botella,22.9,vivanda,FROSCH,CORVINA
Cerveza CORONA Botella 330ml Paquete 6u,S/ 23.90 23%,vega,CORVINA,2024-12-04 13:33:58.369741,330.0,ml,Cerveza CORONA Botella  Paquete 6u,23.9,vega,Corona,CORVINA
Desinfectante de Cocina FROSCH Ecoamigable Frasco 500ml,S/ 24.70,vivanda,CORVINA,2024-12-04 17:31:42.582063,500.0,ml,Desinfectante de Cocina FROSCH Ecoamigable Frasco,24.7,vivanda,FROSCH,CORVINA
Cerveza CORONA Extra 6 Pack Lata 355ml,S/ 24.90,vivanda,CORVINA,2024-12-04 17:31:42.582063,355.0,ml,Cerveza CORONA Extra 6 Pack Lata,24.9,vivanda,CORONA,CORVINA
Cerveza CORONA Cero sin Alcohol Botella 355ml Paquete 6un,S/ 29.90,vivanda,CORVINA,2024-12-04 17:31:42.582063,355.0,ml,Cerveza CORONA Cero sin Alcohol Botella  Paquete,29.9,vivanda,CORONA,CORVINA
Cerveza CORONA Extra Botella 330ml 6 Pack,S/ 32.50,vivanda,CORVINA,2024-12-04 17:31:42.582063,330.0,ml,Cerveza CORONA Extra Botella  6 Pack,32.5,vivanda,CORONA,CORVINA
Café Molido JUAN VALDEZ Colina Bolsa 250g,S/ 36.50,vivanda,CORVINA,2024-12-04 17:31:42.582063,250.0,g,Café Molido JUAN VALDEZ Colina Bolsa,36.5,vivanda,JUAN VALDEZ,CORVINA
Porciones de Corvina Congelada Seafrost x kg,S/ 97.90 x kg,metro,CORVINA,2024-12-04 21:09:05.747710,1.0,kg,Porciones de Corvina Congelada Seafrost,97.9,metro,,CORVINA
Porciones de Corvina Congelada Seafrost x kg,S/ 99.90 x kg,wong,CORVINA,2024-12-04 18:55:14.951056,1.0,kg,Porciones de Corvina Congelada Seafrost,99.9,wong,,CORVINA
Cocina a Gas MABE 4 Quemadores CMP6012AG0 Grafito,S/ 999.00,vivanda,CORVINA,2024-12-04 17:31:42.582063,0.0,g,Cocina a Gas MABE 4 Quemadores CMP6012AGrafito,999.0,vivanda,MABE,CORVINA
