description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Té Líquido LEAF TEA Sabor Limón Botella 400ml,S/ 1.70,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,400.0,ml,Té Líquido LEAF TEA Sabor Limón Botella,1.7,vivanda,LEAF TEA,TÉ NEGRO FILTRANTE
Té Verde Bebible HORNIMANS Frutos Rojos Botella 300ml,S/ 2.50,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,300.0,ml,Té Verde Bebible HORNIMANS Frutos Rojos Botella,2.5,vivanda,HORNIMANS,TÉ NEGRO FILTRANTE
Té Verde HORNIMANS Listo para Tomar Botella 300ml,S/ 2.50,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,300.0,ml,Té Verde HORNIMANS Listo para Tomar Botella,2.5,vivanda,HORNIMANS,TÉ NEGRO FILTRANTE
Té Verde FREE TEA Sabor Limón Botella 450ml,S/ 2.60,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,450.0,ml,Té Verde FREE TEA Sabor Limón Botella,2.6,vivanda,FREE,TÉ NEGRO FILTRANTE
Té Negro FREE TEA Frutos Rojos Botella 500ml,S/ 2.60,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,500.0,ml,Té Negro FREE TEA Frutos Rojos Botella,2.6,vivanda,FREE TEA,TÉ NEGRO FILTRANTE
Té Negro FREE TEA Durazno Botella 500ml,S/ 2.60,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,500.0,ml,Té Negro FREE TEA Durazno Botella,2.6,vivanda,FREE TEA,TÉ NEGRO FILTRANTE
Té Verde FREE TEA Limón Botella 500ml,S/ 2.60,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,500.0,ml,Té Verde FREE TEA Limón Botella,2.6,vivanda,FREE TEA,TÉ NEGRO FILTRANTE
Té Verde FREE TEA Light Sabor Limón Botella 450ml,S/ 2.60,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,450.0,ml,Té Verde FREE TEA Light Sabor Limón Botella,2.6,vivanda,FREE,TÉ NEGRO FILTRANTE
Refrigeradora BLACKLINE 518L No Frost SBS BI Negro,"S/ 3,199.00",vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,518.0,l,Refrigeradora BLACKLINE  No Frost SBS BI Negro,3.0,vivanda,BLACKLINE,TÉ NEGRO FILTRANTE
Té Puro BELL'S Caja 20un,S/ 3.20,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,20.0,un,Té Puro BELL'S Caja,3.2,vivanda,BELL'S,TÉ NEGRO FILTRANTE
