description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Corazón de Res,S/ 13.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,1.4,kg,13.9,plaza_vea,Presentación 1.4 kg aprox.,,MONDONGO DE RES
Hamburguesa OTTO KUNZ Premium de Res Bolsa 4un,S/ 13.90 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,4.0,un,13.9,plaza_vea,Bolsa 4un,,MONDONGO DE RES
Mondongo Cau-Cau x kg,S/ 14.20,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,14.2,vivanda,,VIVANDA,MONDONGO DE RES
Mondongo Italiano x kg,S/ 14.20,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,14.2,vivanda,,VIVANDA,MONDONGO DE RES
Hamburguesas Res 12 unds 600 g,S/ 14.90,tottus,MONDONGO DE RES,2024-12-04 13:12:42.207815,12.0,un,14.9,tottus,,NATURAL HOME,MONDONGO DE RES
Comida para Perros BELLS Receta de Res Pavo Do...,S/ 15.20 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,800.0,g,15.2,plaza_vea,800g,,MONDONGO DE RES
Hamburguesa OTTO KUNZ Premium de Res Bolsa 4un,S/ 15.40,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,4.0,un,15.4,vivanda,,OTTO KUNZ,MONDONGO DE RES
Anticucho de Res ZEDINA Bolsa 500g,S/ 15.60,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,500.0,g,15.6,vivanda,,VIVANDA,MONDONGO DE RES
Albóndigas de Carne de Res RANCHERAS Bolsa 600...,S/ 15.60 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,600.0,g,15.6,plaza_vea,Bolsa 600g,,MONDONGO DE RES
Cigarro LUCKY STRIKE Red Caja 20un,S/ 15.80 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,20.0,un,15.8,plaza_vea,Caja 20un,,MONDONGO DE RES
Comida para Perros PETS REPUBLIC Adulto Hígado de Res Frasco 80g,S/ 15.90,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,80.0,g,15.9,vivanda,,PETS REPUBLIC,MONDONGO DE RES
DOVE SH REC COMPLETA SUPERIOR 370ML,S/ 15.90 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,370.0,ml,15.9,plaza_vea,Frasco 370ml,,MONDONGO DE RES
Cigarros WINSTON Red Caja 20un,S/ 16.30 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,20.0,un,16.3,plaza_vea,Caja 20un,,MONDONGO DE RES
CHIFLES SALADOS CANCHA CARNE RES 250G,S/ 16.50,tottus,MONDONGO DE RES,2024-12-04 13:12:42.207815,250.0,g,16.5,tottus,,ARTICHAY,MONDONGO DE RES
Mondongo Picado a La Italiana x kg,S/ 16.90 x kg,metro,MONDONGO DE RES,2024-12-04 21:04:49.021119,1.0,kg,16.9,metro,,,MONDONGO DE RES
Mondongo Picado para Cau Cau x kg,S/ 16.90 x kg,metro,MONDONGO DE RES,2024-12-04 21:04:49.021119,1.0,kg,16.9,metro,,,MONDONGO DE RES
Mondongo Cau Cau Schilcayo 1kg,S/ 16.90,metro,MONDONGO DE RES,2024-12-04 21:04:49.021119,1.0,kg,16.9,metro,,,MONDONGO DE RES
Comida Congelada para Perros RAMBALA Premium P...,S/ 17 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,800.0,g,17.0,plaza_vea,Doypack 800g,,MONDONGO DE RES
Cigarros LUCKY STRIKE Red Cajetilla 20un,S/ 17.20,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,20.0,un,17.2,vega,,LUCKY STRIKE,MONDONGO DE RES
Mondongo Picado a La Italiana x kg,S/ 17.50 x kg,wong,MONDONGO DE RES,2024-12-04 18:48:12.509086,1.0,kg,17.5,wong,,,MONDONGO DE RES
Treats Pulmón De Res 80 g,S/ 17.60,tottus,MONDONGO DE RES,2024-12-04 13:12:42.207815,80.0,g,17.6,tottus,,NATURAL HOME,MONDONGO DE RES
Treats Hígado De Res 100 g,S/ 17.60,tottus,MONDONGO DE RES,2024-12-04 13:12:42.207815,100.0,g,17.6,tottus,,NATURAL HOME,MONDONGO DE RES
Mini Hamburguesas de Res RANCHERAS Bolsa 600g,S/ 17.70 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,12.0,un,17.7,plaza_vea,Bolsa 12un,,MONDONGO DE RES
Mondongo Cau Cau Schilcayo 1kg,S/ 17.90,wong,MONDONGO DE RES,2024-12-04 18:48:12.509086,1.0,kg,17.9,wong,,,MONDONGO DE RES
TREATS ARITOS DE RES DESHIDRATADOS X 10UN,S/ 18.50,tottus,MONDONGO DE RES,2024-12-04 13:12:42.207815,10.0,un,18.5,tottus,,RAMBALA,MONDONGO DE RES
Comida para Perros RAMBALA Adulto Aritos de Res Doypack 10un,S/ 18.90,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,10.0,un,18.9,vivanda,,RAMBALA,MONDONGO DE RES
Costillar de Res,S/ 18.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,0.9,kg,18.9,plaza_vea,Presentación 0.9 kg aprox.,,MONDONGO DE RES
Carne Molida de Res Empacada al vacío EL BUEN ...,S/ 19.80 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,0.6,kg,19.8,plaza_vea,Presentación 0.6 kg aprox.,,MONDONGO DE RES
Whisky OLD TIME Red Botella 750ml,S/ 20.90,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,750.0,ml,20.9,vega,,Old Times,MONDONGO DE RES
Máquina de Afeitar GILLETTE Prestobarba3 con 3...,S/ 20.90 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,3.0,un,20.9,plaza_vea,Bolsa 3un,,MONDONGO DE RES
Hamburguesa Parrillera De Res Caja x 4 Unidades,S/ 21.90,tottus,MONDONGO DE RES,2024-12-04 13:12:42.207815,4.0,un,21.9,tottus,,TOTTUS,MONDONGO DE RES
Hamburguesa de Res LOS HIERROS Bolsa 4un x 150...,S/ 22.49 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,600.0,g,22.49,plaza_vea,Bolsa 600g,,MONDONGO DE RES
Hamburguesa OTTO KUNZ Premium de Res Bolsa 8un,S/ 23.90 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,8.0,un,23.9,plaza_vea,Paquete 8un,,MONDONGO DE RES
Punta de Pecho de Res,S/ 23.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,0.8,kg,23.9,plaza_vea,Presentación 0.8 kg aprox.,,MONDONGO DE RES
Vino Tinto BUENOS AIRES Red Blend Botella 750m...,S/ 24.30 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,750.0,ml,24.3,plaza_vea,Botella 750ml,,MONDONGO DE RES
HAMB. RES PREMIUM X 8 UNIDADES,S/ 24.90,tottus,MONDONGO DE RES,2024-12-04 13:12:42.207815,8.0,un,24.9,tottus,,OTTO KUNZ,MONDONGO DE RES
MINI BURGERS RES X600G 12UN,S/ 24.90,tottus,MONDONGO DE RES,2024-12-04 13:12:42.207815,600.0,g,24.9,tottus,,OREGON FOODS,MONDONGO DE RES
Milanesa de Res Super RANCHERAS Bolsa x 3un,S/ 24.99 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,3.0,un,24.99,plaza_vea,Bolsa 3un,,MONDONGO DE RES
Osobuco de Res,S/ 25.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,1.0,kg,25.9,plaza_vea,Presentación 1 kg aprox.,,MONDONGO DE RES
Whisky OLD TIMES Red Botella 1L,S/ 25.90 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,1.0,l,25.9,plaza_vea,Botella 1L,,MONDONGO DE RES
Hamburguesa de Res y Cerdo SAN FERNANDO Bolsa ...,S/ 25.90 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,8.0,un,25.9,plaza_vea,Bolsa 8un,,MONDONGO DE RES
Hamburguesa de Res Premium LA FLORENCIA,S/ 25.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,1.2,kg,25.9,plaza_vea,Presentación 1.2 kg aprox.,,MONDONGO DE RES
Vino Tinto NAVARRO CORREAS Los Árboles Red Ble...,S/ 26.90 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,750.0,ml,26.9,plaza_vea,Botella 750ml,,MONDONGO DE RES
Hamburguesa de Res OREGON Foods Bolsa 8un,S/ 26.90 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,8.0,un,26.9,plaza_vea,Bolsa 8un,,MONDONGO DE RES
Whisky OLD TIMES Red Botella 1L,S/ 26.90,vega,MONDONGO DE RES,2024-12-04 13:27:33.095066,1.0,l,26.9,vega,,OLD TIME,MONDONGO DE RES
Osobuco de Res EL BUEN CORTE x kg,S/ 27.20,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,27.2,vivanda,,EL BUEN CORTE,MONDONGO DE RES
Hamburguesa OTTO KUNZ Premium de Res Bolsa 8un,S/ 28.00,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,8.0,un,28.0,vivanda,,OTTO KUNZ,MONDONGO DE RES
Bebida Energizante RED BULL Sugarfree Lata 250...,S/ 28.50 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,4.0,un,28.5,plaza_vea,Paquete 4un,,MONDONGO DE RES
Bebida Energizante RED BULL Lata 250ml Paquete 4un,S/ 28.50,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,250.0,ml,28.5,vivanda,,RED BULL,MONDONGO DE RES
Bebida Energizante RED BULL Sugarfree Lata 250ml Paquete 4un,S/ 28.50,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,250.0,ml,28.5,vivanda,,RED BULL,MONDONGO DE RES
Bebida Energizante RED BULL Lata 250ml Paquete...,S/ 28.50 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,4.0,un,28.5,plaza_vea,Paquete 4un,,MONDONGO DE RES
Hamburguesa OTTO KUNZ Parrillera de Res Bolsa ...,S/ 28.90 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,4.0,un,28.9,plaza_vea,Paquete 4un,,MONDONGO DE RES
Hamburguesa OTTO KUNZ Parrillera de Res Bolsa 4un,S/ 29.00,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,4.0,un,29.0,vivanda,,OTTO KUNZ,MONDONGO DE RES
Albóndiga de Res EL BUEN CORTE,S/ 29.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,1.0,kg,29.9,plaza_vea,Presentación 1 kg aprox.,,MONDONGO DE RES
Balde REYPLAST c/Caño 20L,S/ 29.90,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,20.0,l,29.9,vivanda,,REY PLAST,MONDONGO DE RES
Guiso Tierno de Res EL BUEN CORTE,S/ 32.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,0.8,kg,32.9,plaza_vea,Presentación 0.8 kg aprox.,,MONDONGO DE RES
Carne Molida Light de Res Empacada al vacío EL...,S/ 34.80 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,0.6,kg,34.8,plaza_vea,Presentación 0.6 kg aprox.,,MONDONGO DE RES
Churrasco Parrillero de Res,S/ 34.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,1.1,kg,34.9,plaza_vea,Presentación 1.1 kg aprox.,,MONDONGO DE RES
Asado de Tira de Res,S/ 36.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,1.0,kg,36.9,plaza_vea,Presentación 1 kg aprox.,,MONDONGO DE RES
Churrasco Largo de Res,S/ 36.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,1.04,kg,36.9,plaza_vea,Presentación 1.04 kg aprox.,,MONDONGO DE RES
Guiso Especial de Res EL BUEN CORTE,S/ 38.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,0.8,kg,38.9,plaza_vea,Presentación 0.8 kg aprox.,,MONDONGO DE RES
Bebida Energizante RED BULL Paquete 6un Lata 2...,S/ 39.50 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,6.0,un,39.5,plaza_vea,Paquete 6un,,MONDONGO DE RES
Asado Pejerrey de Res EL BUEN CORTE,S/ 39.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,2.4,kg,39.9,plaza_vea,Presentación 2.4 kg aprox.,,MONDONGO DE RES
Bisteck de Res EL BUEN CORTE,S/ 39.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,0.8,kg,39.9,plaza_vea,Presentación 0.8 kg aprox.,,MONDONGO DE RES
Vino Tinto CASILLERO DEL DIABLO Red Blend Rese...,S/ 40.50 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,750.0,ml,40.5,plaza_vea,Botella 750ml,,MONDONGO DE RES
Pack Ron CARTAVIO Black Botella 750ml + Whisky...,S/ 40.90 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,2.0,un,40.9,plaza_vea,Pack 2un,,MONDONGO DE RES
Lomo Saltado de Res EL BUEN CORTE,S/ 42.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,0.8,kg,42.9,plaza_vea,Presentación 0.8 kg aprox.,,MONDONGO DE RES
Whisky JOHNNIE WALKER Red Label Botella 750ml ...,S/ 44.90 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,2.0,un,44.9,plaza_vea,Paquete 2un,,MONDONGO DE RES
Pack Whisky JOHNNIE WALKER Red Label Botella 7...,S/ 44.90 un,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,750.0,ml,44.9,plaza_vea,Pack 750ml,,MONDONGO DE RES
Asado de Pejerrey de Res x kg,S/ 48.20,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,48.2,vivanda,,EL BUEN CORTE,MONDONGO DE RES
Bife Angosto de Res EL BUEN CORTE,S/ 48.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,1.3,kg,48.9,plaza_vea,Presentación 1.3 kg aprox.,,MONDONGO DE RES
Bife de Vacío de Res EL BUEN CORTE,S/ 49.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,0.65,kg,49.9,plaza_vea,Presentación 0.65 kg aprox.,,MONDONGO DE RES
Asado de Tira Parrillero de Res EL BUEN CORTE,S/ 49.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,0.8,kg,49.9,plaza_vea,Presentación 0.8 kg aprox.,,MONDONGO DE RES
Bife de Vacío de Res EL BUEN CORTE x kg,S/ 51.30,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,51.3,vivanda,,EL BUEN CORTE,MONDONGO DE RES
Bife Angosto de Res EL BUEN CORTE x kg,S/ 52.40,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,52.4,vivanda,,EL BUEN CORTE,MONDONGO DE RES
Bife Ancho de Res EL BUEN CORTE x kg,S/ 52.40,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,52.4,vivanda,,EL BUEN CORTE,MONDONGO DE RES
Bife Ancho de Res EL BUEN CORTE,S/ 52.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,1.3,kg,52.9,plaza_vea,Presentación 1.3 kg aprox.,,MONDONGO DE RES
Colita de Cuadril de Res EL BUEN CORTE,S/ 53.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,1.4,kg,53.9,plaza_vea,Presentación 1.4 kg aprox.,,MONDONGO DE RES
Entraña Fina de Res EL BUEN CORTE,S/ 54.90 x kg,plaza_vea,MONDONGO DE RES,2024-12-04 13:23:52.002811,0.806,kg,54.9,plaza_vea,Presentación 0.806 kg aprox.,,MONDONGO DE RES
Colita de Cuadril de Res EL BUEN CORTE x kg,S/ 55.50,vivanda,MONDONGO DE RES,2024-12-04 17:28:08.318543,1.0,kg,55.5,vivanda,,EL BUEN CORTE,MONDONGO DE RES
