description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Lavadora WT13WPBK 13 Kg Smart Motion Carga Superior Blanco,"S/ 1,099",tottus,UVA BLANCA,2024-12-04 13:30:15.056375,13.0,kg,Lavadora WT13WPBK  Smart Motion Carga Superior Blanco,1.0,tottus,LG,UVA BLANCA
Lavadora WT16WVTB 16 Kg TurboDrum Carga Superior Blanco,"S/ 1,399",tottus,UVA BLANCA,2024-12-04 13:30:15.056375,16.0,kg,Lavadora WT16WVTB  TurboDrum Carga Superior Blanco,1.0,tottus,LG,UVA BLANCA
Uva 600 mL,S/ 2.40,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,600.0,ml,Uva,2.4,tottus,POWERADE,UVA BLANCA
Bebida Rehidratante SPORADE Sabor a Uva Botella 500ml,S/ 2.40,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,500.0,ml,Bebida Rehidratante SPORADE Sabor a Uva Botella,2.4,vivanda,SPORADE,UVA BLANCA
Azúcar Impalpable UNIVERSAL Bolsa 200gr,S/ 3.10,vega,UVA BLANCA,2024-12-04 13:57:54.874714,200.0,g,Azúcar Impalpable UNIVERSAL Bolsa r,3.1,vega,Universal,UVA BLANCA
Pimienta Blanca Molida BELL'S Sobre 15g,S/ 3.10,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,15.0,g,Pimienta Blanca Molida BELL'S Sobre,3.1,vivanda,BELL'S,UVA BLANCA
Pasta Dental KOLYNOS Súper Blanco Tubo 60ml,S/ 3.30 11%,vega,UVA BLANCA,2024-12-04 13:57:54.874714,60.0,ml,Pasta Dental KOLYNOS Súper Blanco Tubo,3.3,vega,Kolynos,UVA BLANCA
Gelatina UMSHA de Uva Bolsa 120g,S/ 3.50,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,120.0,g,Gelatina UMSHA de Uva Bolsa,3.5,vivanda,UMSHA,UVA BLANCA
Bebida Natural BIO Arándano con Uva y Manzana Botella 300ml,S/ 3.60,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,300.0,ml,Bebida Natural BIO Arándano con Uva y Manzana Botella,3.6,vivanda,BIO,UVA BLANCA
Cebolla Blanca x kg,S/ 3.79,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,1.0,kg,Cebolla Blanca,3.79,vivanda,VIVANDA,UVA BLANCA
VINAGRE BLANCO X 1 L,S/ 3.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,1.0,l,VINAGRE BLANCO X,3.9,tottus,TOTTUS,UVA BLANCA
Bebida sabor arándanos uva y manzana de 300 mL,S/ 3.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,300.0,ml,Bebida sabor arándanos uva y manzana de,3.9,tottus,BIO AMAYU,UVA BLANCA
Gelatina UNIVERSAL Sabor a Uva Bolsa 130g,S/ 3.99,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,130.0,g,Gelatina UNIVERSAL Sabor a Uva Bolsa,3.99,vivanda,UNIVERSAL,UVA BLANCA
Gelatina Uva 130 g,S/ 4,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,130.0,g,Gelatina Uva,4.0,tottus,UNIVERSAL,UVA BLANCA
Gomas FINI Regaliz Uva Ácida Bolsa 80gr,S/ 4.20,vega,UVA BLANCA,2024-12-04 13:57:54.874714,80.0,g,Gomas FINI Regaliz Uva Ácida Bolsa r,4.2,vega,Fini,UVA BLANCA
Papa Blanca Yungay x kg,S/ 4.39,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,1.0,kg,Papa Blanca Yungay,4.39,vivanda,VIVANDA,UVA BLANCA
Salsa Blanca CASA VERDE Doypack 150g,S/ 4.60,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,150.0,g,Salsa Blanca CASA VERDE Doypack,4.6,vivanda,CASAVERDE,UVA BLANCA
Arroz Extra COSTEÑO Bolsa 750g,S/ 4.70,vega,UVA BLANCA,2024-12-04 13:57:54.874714,750.0,g,Arroz Extra COSTEÑO Bolsa,4.7,vega,Costeño,UVA BLANCA
Regaliz Ácido Uva 80 g,S/ 4.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,80.0,g,Regaliz Ácido Uva,4.9,tottus,FINI,UVA BLANCA
Marshmellows Millows Cilindro Blanco 145 g,S/ 4.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,145.0,g,Marshmellows Millows Cilindro Blanco,4.9,tottus,COLOMBINA,UVA BLANCA
Azúcar Blanca BELL'S Bolsa 1Kg,S/ 4.99,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,1.0,kg,Azúcar Blanca BELL'S Bolsa,4.99,vivanda,BELL'S,UVA BLANCA
Bebida Rehidratante GATORADE Gatorlyte Uva 591ml,S/ 5.00,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,591.0,ml,Bebida Rehidratante GATORADE Gatorlyte Uva,5.0,vivanda,GATORADE,UVA BLANCA
Azúcar Blanca VEGA Bolsa 1Kg,S/ 5.10,vega,UVA BLANCA,2024-12-04 13:57:54.874714,1.0,kg,Azúcar Blanca VEGA Bolsa,5.1,vega,Vega,UVA BLANCA
Vinagre de Vino Blanco 600 mL,S/ 5.20,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,600.0,ml,Vinagre de Vino Blanco,5.2,tottus,VENTURO,UVA BLANCA
Bolsa para Basura VIRUTEX Blanca 15L Planas,S/ 5.50,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,15.0,l,Bolsa para Basura VIRUTEX Blanca  Planas,5.5,vivanda,VIRUTEX,UVA BLANCA
Azúcar Blanca DULFINA Bolsa 1Kg,S/ 5.50,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,1.0,kg,Azúcar Blanca DULFINA Bolsa,5.5,vivanda,DULFINA,UVA BLANCA
BEBIDA ELECTROL FLASHLYTE UVA BOT X625ML,S/ 6,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,625.0,ml,BEBIDA ELECTROL FLASHLYTE UVA BOT X,6.0,tottus,,UVA BLANCA
Rehidratante FLASHLYTE Sabor a Uva Botella 625ml,S/ 6.00,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,625.0,ml,Rehidratante FLASHLYTE Sabor a Uva Botella,6.0,vivanda,FLASHLYTE,UVA BLANCA
Crema Lavavajilla Lavax Fragancia Uva 700 g,S/ 6,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,700.0,g,Crema Lavavajilla Lavax Fragancia Uva,6.0,tottus,,UVA BLANCA
Lavavajilla en Pasta CLORANDINA Uva Pote 1000gr,S/ 6.30,vega,UVA BLANCA,2024-12-04 13:57:54.874714,1000.0,g,Lavavajilla en Pasta CLORANDINA Uva Pote r,6.3,vega,Clorandina,UVA BLANCA
Bebida Aloe Vera Sabor Uva Sappé 300 mL,S/ 6.50,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,300.0,ml,Bebida Aloe Vera Sabor Uva Sappé,6.5,tottus,SAPPE,UVA BLANCA
SALSA DULCE DE UVA NEGRA X 33G,S/ 6.50,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,33.0,g,SALSA DULCE DE UVA NEGRA X,6.5,tottus,CAN BECH,UVA BLANCA
Cebollitas Blancas ASPERIO Frasco 370g,S/ 6.50,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,370.0,g,Cebollitas Blancas ASPERIO Frasco,6.5,vivanda,ASPERIO,UVA BLANCA
Bebida de Aloe Vera con sabor a uva baja en azúcar de 300 mL,S/ 6.50,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,300.0,ml,Bebida de Aloe Vera con sabor a uva baja en azúcar de,6.5,tottus,SAPPE,UVA BLANCA
Bebida con Aloe Vera SAPPE Uva Botella 300ml,S/ 6.60,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,300.0,ml,Bebida con Aloe Vera SAPPE Uva Botella,6.6,vivanda,SAPPE,UVA BLANCA
Harina sin Preparar BLANCA FLOR Bolsa 1kg,S/ 7.50,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,1.0,kg,Harina sin Preparar BLANCA FLOR Bolsa,7.5,vivanda,BLANCA FLOR,UVA BLANCA
Harina BLANCA FLOR Preparada Paquete 1Kg,S/ 8.00,vega,UVA BLANCA,2024-12-04 13:57:54.874714,1.0,kg,Harina BLANCA FLOR Preparada Paquete,8.0,vega,Blanca Flor,UVA BLANCA
Tostadas Blancas UNIÓN Clásicas Paquete 10un,S/ 8.20,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,10.0,un,Tostadas Blancas UNIÓN Clásicas Paquete,8.2,vivanda,UNIÓN,UVA BLANCA
Harina de Maíz Blanco Precocido 1 kg,S/ 8.50,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,1.0,kg,Harina de Maíz Blanco Precocido,8.5,tottus,PAN,UVA BLANCA
Detergente en Polvo MAGIA BLANCA Lavanda Bolsa 780g,S/ 8.50,vega,UVA BLANCA,2024-12-04 13:57:54.874714,780.0,g,Detergente en Polvo MAGIA BLANCA Lavanda Bolsa,8.5,vega,Magia,UVA BLANCA
Harina de Trigo Preparada BLANCA FLOR Bolsa 1Kg,S/ 8.70,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,1.0,kg,Harina de Trigo Preparada BLANCA FLOR Bolsa,8.7,vivanda,BLANCA FLOR,UVA BLANCA
Quinua Listo para Comer ANDES GOLD Blanca Doypack 240g,S/ 8.90,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,240.0,g,Quinua Listo para Comer ANDES GOLD Blanca Doypack,8.9,vivanda,ANDES GOLD,UVA BLANCA
Plato Blanco 23 Tami 20 und,S/ 8.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,20.0,un,Plato Blanco 23 Tami d,8.9,tottus,,UVA BLANCA
Ají Panca Deshidratado Guva 100g,S/ 9.00,metro,UVA BLANCA,2024-12-04 21:32:44.382461,100.0,g,Ají Panca Deshidratado Guva,9.0,metro,,UVA BLANCA
Ají Panca Deshidratado Guva 100g,S/ 9.00,wong,UVA BLANCA,2024-12-04 19:32:05.863002,100.0,g,Ají Panca Deshidratado Guva,9.0,wong,,UVA BLANCA
Quinua Blanca Precocida Guva 500g,S/ 9.19,metro,UVA BLANCA,2024-12-04 21:32:44.382461,500.0,g,Quinua Blanca Precocida Guva,9.19,metro,,UVA BLANCA
Quinua Blanca Precocida Guva 500g,S/ 9.19,wong,UVA BLANCA,2024-12-04 19:32:05.863002,500.0,g,Quinua Blanca Precocida Guva,9.19,wong,,UVA BLANCA
Pre Mezcla para Panqueque Casero BLANCA FLOR Bolsa 750g,S/ 9.90,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,750.0,g,Pre Mezcla para Panqueque Casero BLANCA FLOR Bolsa,9.9,vivanda,BLANCA FLOR,UVA BLANCA
Quinua Blanca INCATRAIL Bolsa 500g,S/ 10.40,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,500.0,g,Quinua Blanca INCATRAIL Bolsa,10.4,vivanda,INCATRAIL,UVA BLANCA
Manjar Blanco x 500 g,S/ 11.30,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,500.0,g,Manjar Blanco x,11.3,tottus,LAIVE,UVA BLANCA
Quitamanchas Líquido BOREAL Ropa Blanca Botella 1.8mL,S/ 11.50,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,1.8,ml,Quitamanchas Líquido BOREAL Ropa Blanca Botella,11.5,vivanda,BOREAL,UVA BLANCA
Pan de Molde Blanco Xl 750 g,S/ 11.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,750.0,g,Pan de Molde Blanco Xl,11.9,tottus,BIMBO,UVA BLANCA
Packx3 Jabón Blanco 90 g,S/ 12.50,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,90.0,g,Packx3 Jabón Blanco,12.5,tottus,DOVE,UVA BLANCA
Salchicha Blanca SALCHICHERÍA ALEMANA Paquete 300g,S/ 12.70,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,300.0,g,Salchicha Blanca SALCHICHERÍA ALEMANA Paquete,12.7,vivanda,SALCHICHERÍA ALEMANA,UVA BLANCA
Pan Molde Blanco Sin Corteza 560 g,S/ 12.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,560.0,g,Pan Molde Blanco Sin Corteza,12.9,tottus,TOTTUS,UVA BLANCA
Vino Blanco 750 mL,S/ 12.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,750.0,ml,Vino Blanco,12.9,tottus,BERNINA,UVA BLANCA
Salsa Blanca CASAVERDE Frasco 325g,S/ 13.10,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,325.0,g,Salsa Blanca CASAVERDE Frasco,13.1,vivanda,CASAVERDE,UVA BLANCA
Manjar Blanco Nestlé 500 g,S/ 13.10,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,500.0,g,Manjar Blanco Nestlé,13.1,tottus,NESTLE,UVA BLANCA
Pan de Molde Blanco sin Corteza 560 g,S/ 13.50,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,560.0,g,Pan de Molde Blanco sin Corteza,13.5,tottus,DON MAMINO,UVA BLANCA
Papel Bond Fotocopia 75 Gr A-4 500 Hojas,S/ 13.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,75.0,g,Papel Bond Fotocopia r A-4 500 Hojas,13.9,tottus,OFISCOOL,UVA BLANCA
Salchicha Blanca CASA EUROPA Paquete 250g,S/ 14.50,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,250.0,g,Salchicha Blanca CASA EUROPA Paquete,14.5,vivanda,CASA EUROPA,UVA BLANCA
Premezcla para Torta de Chocolate BLANCA FLOR Bolsa 750g,S/ 14.50,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,750.0,g,Premezcla para Torta de Chocolate BLANCA FLOR Bolsa,14.5,vivanda,BLANCA FLOR,UVA BLANCA
Pre Mezcla para Keke de Naranja BLANCA FLOR Caja 750g,S/ 14.50,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,750.0,g,Pre Mezcla para Keke de Naranja BLANCA FLOR Caja,14.5,vivanda,BLANCA FLOR,UVA BLANCA
Pre Mezcla para Keke de Vainilla BLANCA FLOR Caja 750g,S/ 14.50,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,750.0,g,Pre Mezcla para Keke de Vainilla BLANCA FLOR Caja,14.5,vivanda,BLANCA FLOR,UVA BLANCA
Vino Blanco 0.75L,S/ 14.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,0.75,l,Vino Blanco,14.9,tottus,SANTIAGO QUEIROLO,UVA BLANCA
Vino Blanco Semi Seco 11.5° 750 mL,S/ 14.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,750.0,ml,Vino Blanco Semi Seco 11.5°,14.9,tottus,TABERNERO,UVA BLANCA
VINO BLANCO CHENIN BT 750ML,S/ 14.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,750.0,ml,VINO BLANCO CHENIN BT,14.9,tottus,MONTESIERPE,UVA BLANCA
Uva Verde sin Pepa x Kg,S/ 14.99,vivanda,UVA BLANCA,2024-12-04 17:47:12.300462,1.0,kg,Uva Verde sin Pepa,14.99,vivanda,VIVANDA,UVA BLANCA
Vino Blanco Moscato Ecopello 750 mL,S/ 15.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,750.0,ml,Vino Blanco Moscato Ecopello,15.9,tottus,E COPELLO,UVA BLANCA
PAN BLANCO SIN BORDES 650G,S/ 16,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,650.0,g,PAN BLANCO SIN BORDES,16.0,tottus,BIMBO,UVA BLANCA
Vino Blanco Semi Seco 14° 750 mL,S/ 16.90,tottus,UVA BLANCA,2024-12-04 13:30:15.056375,750.0,ml,Vino Blanco Semi Seco 14°,16.9,tottus,TACAMA,UVA BLANCA
