description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Mix de Frutas El Frutero 1kg: Fresa + Papaya + Piña,S/ 15.49,metro,PAPAYA,2024-12-04 21:30:48.850789,1.0,kg,Mix de Frutas El Frutero : Fresa + Papaya + Piña,15.49,metro,,,PAPAYA
"Mix de Fresa, Papaya y Piña Congelada EL FRUTERO Bolsa 1Kg",S/ 15.49,vivanda,PAPAYA,2024-12-04 17:45:42.860615,1.0,kg,"Mix de Fresa, Papaya y Piña Congelada EL FRUTERO Bolsa",15.49,vivanda,,EL FRUTERO,PAPAYA
Trozos de Papaya Congelada EL FRUTERO Bolsa 1K...,S/ 15.69 un,plaza_vea,PAPAYA,2024-12-04 13:50:49.571868,1.0,kg,Trozos de Papaya Congelada EL FRUTERO Bolsa 1K,15.69,plaza_vea,Bolsa 1Kg,,PAPAYA
"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut 1kg",S/ 15.72,wong,PAPAYA,2024-12-04 19:30:08.627849,1.0,kg,"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut",15.72,wong,,,PAPAYA
"Fruta en Trozos Piña, Papaya y Fresa Congelada Natifrut 1kg",S/ 15.72,wong,PAPAYA,2024-12-04 19:30:08.627849,1.0,kg,"Fruta en Trozos Piña, Papaya y Fresa Congelada Natifrut",15.72,wong,,,PAPAYA
"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut 1kg",S/ 15.72,metro,PAPAYA,2024-12-04 21:30:48.850789,1.0,kg,"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut",15.72,metro,,,PAPAYA
Papaya en Trozos Congelada El Frutero 1kg,S/ 15.99,metro,PAPAYA,2024-12-04 21:30:48.850789,1.0,kg,Papaya en Trozos Congelada El Frutero,15.99,metro,,,PAPAYA
Mix Fresa Papaya Y Piña Congelada Trozos 1Kg,S/ 16,tottus,PAPAYA,2024-12-04 13:28:40.887643,1.0,kg,Mix Fresa Papaya Y Piña Congelada Trozos,16.0,tottus,,TOTTUS,PAPAYA
Papaya en Trozos Congelados Natifrut 1kg,S/ 16.14,wong,PAPAYA,2024-12-04 19:30:08.627849,1.0,kg,Papaya en Trozos Congelados Natifrut,16.14,wong,,,PAPAYA
Papaya en Trozos Congelados Natifrut 1kg,S/ 16.14,metro,PAPAYA,2024-12-04 21:30:48.850789,1.0,kg,Papaya en Trozos Congelados Natifrut,16.14,metro,,,PAPAYA
Papaya En Trozos Congelada 1Kg,S/ 16.50,tottus,PAPAYA,2024-12-04 13:28:40.887643,1.0,kg,Papaya En Trozos Congelada,16.5,tottus,,EL FRUTERO,PAPAYA
Mix De Frutas Congeladas Fresa Papaya Y Pina 1Kg,S/ 16.50,tottus,PAPAYA,2024-12-04 13:28:40.887643,1.0,kg,Mix De Frutas Congeladas Fresa Papaya Y Pina,16.5,tottus,,AFRIKA&CO,PAPAYA
Mermelada Dietética D'Marco Maracuyá y Papaya Frasco 470 g,S/ 21.80,wong,PAPAYA,2024-12-04 19:30:08.627849,470.0,g,Mermelada Dietética D'Marco Maracuyá y Papaya Frasco,21.8,wong,,,PAPAYA
Loción de Manos y Cuerpo Creightons Mango & Papaya 400ml,S/ 29.90,metro,PAPAYA,2024-12-04 21:30:48.850789,400.0,ml,Loción de Manos y Cuerpo Creightons Mango & Papaya,29.9,metro,,,PAPAYA
Papel Higiénico PARACAS Gold Negro Doble Hoja Paquete 4un 6 pack,S/ 37.29 17%,vega,PAPAYA,2024-12-04 13:55:50.811937,4.0,un,Papel Higiénico PARACAS Gold Negro Doble Hoja Paquete  6 pack,37.29,vega,,Paracas,PAPAYA
LIMPIADOR FACIAL PAPAYA X200ML,S/ 39.90,tottus,PAPAYA,2024-12-04 13:28:40.887643,200.0,ml,LIMPIADOR FACIAL PAPAYA X,39.9,tottus,,PETAL FRESH,PAPAYA
EXFOLIANTE FACIAL PAPAYA X200ML,S/ 39.90,tottus,PAPAYA,2024-12-04 13:28:40.887643,200.0,ml,EXFOLIANTE FACIAL PAPAYA X,39.9,tottus,,PETAL FRESH,PAPAYA
