description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Pollo Tipakay con Chaufa HOME CHEF 450g,HOME CHEF,450.0,g,13.2,vivanda,2024-12-04 17:26:31.945603,POLLO EVISCERADO,1.0,kg,29.333333333333332,POLLO EVISCERADO
Pechuga de Pollo en Salsa de Champiñones HOME CHEF 450g,HOME CHEF,450.0,g,13.2,vivanda,2024-12-04 17:26:31.945603,POLLO EVISCERADO,1.0,kg,29.333333333333332,POLLO EVISCERADO
Pollo Deshilachado Bolsa 250 g,,250.0,g,13.5,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,54.0,POLLO EVISCERADO
Pierna con Encuentro de Pollo Congelado San Fernando x kg,,1.0,kg,13.9,wong,2024-12-04 18:48:25.850057,POLLO EVISCERADO,1.0,kg,13.9,POLLO EVISCERADO
Pollo Tipakay con Arroz Chaufa Cuisine & Co 400g,,400.0,g,13.9,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,34.75,POLLO EVISCERADO
Molleja de Pollo Redondos x kg,,1.0,kg,13.9,metro,2024-12-04 21:03:17.398980,POLLO EVISCERADO,1.0,kg,13.9,POLLO EVISCERADO
Molleja de Pollo x kg,,1.0,kg,13.9,wong,2024-12-04 18:48:25.850057,POLLO EVISCERADO,1.0,kg,13.9,POLLO EVISCERADO
Pollo Entero sin Menudencia Congelado PERDIX 1300g,PERDIX,1300.0,g,13.9,vivanda,2024-12-04 17:26:31.945603,POLLO EVISCERADO,1.0,kg,10.692307692307692,POLLO EVISCERADO
Alimento Congelado Pollo Origo Pet 800g,,800.0,g,14.49,wong,2024-12-04 18:48:25.850057,POLLO EVISCERADO,1.0,kg,18.1125,POLLO EVISCERADO
Pierna con Encuentro de Pollo x kg,,1.0,kg,14.5,wong,2024-12-04 18:48:25.850057,POLLO EVISCERADO,1.0,kg,14.5,POLLO EVISCERADO
