description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,brand,CLASIFICACION
Té Líquido LEAF TEA Sabor Limón Botella 400ml,S/ 1.70,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,400.0,ml,1.7,vivanda,LEAF TEA,TÉ NEGRO FILTRANTE
Té Verde Bebible HORNIMANS Frutos Rojos Botella 300ml,S/ 2.50,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,300.0,ml,2.5,vivanda,HORNIMANS,TÉ NEGRO FILTRANTE
Té Verde HORNIMANS Listo para Tomar Botella 300ml,S/ 2.50,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,300.0,ml,2.5,vivanda,HORNIMANS,TÉ NEGRO FILTRANTE
Té Verde FREE TEA Light Sabor Limón Botella 450ml,S/ 2.60,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,450.0,ml,2.6,vivanda,FREE,TÉ NEGRO FILTRANTE
Té Verde FREE TEA Sabor Limón Botella 450ml,S/ 2.60,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,450.0,ml,2.6,vivanda,FREE,TÉ NEGRO FILTRANTE
Té Verde FREE TEA Limón Botella 500ml,S/ 2.60,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,500.0,ml,2.6,vivanda,FREE TEA,TÉ NEGRO FILTRANTE
Té Negro FREE TEA Frutos Rojos Botella 500ml,S/ 2.60,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,500.0,ml,2.6,vivanda,FREE TEA,TÉ NEGRO FILTRANTE
Té Negro FREE TEA Durazno Botella 500ml,S/ 2.60,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,500.0,ml,2.6,vivanda,FREE TEA,TÉ NEGRO FILTRANTE
Refrigeradora BLACKLINE 518L No Frost SBS BI Negro,"S/ 3,199.00",vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,518.0,l,3.0,vivanda,BLACKLINE,TÉ NEGRO FILTRANTE
Té Puro BELL'S Caja 20un,S/ 3.20,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,20.0,un,3.2,vivanda,BELL'S,TÉ NEGRO FILTRANTE
Té Canela y Clavo BELL'S Caja 20un,S/ 3.20,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,20.0,un,3.2,vivanda,BELL'S,TÉ NEGRO FILTRANTE
Té Negro Hornimans Caja 25 Unid,S/ 3.90,wong,TÉ NEGRO FILTRANTE,2024-12-04 20:47:05.374915,25.0,un,3.9,wong,,TÉ NEGRO FILTRANTE
Té Negro Hornimans Caja 25 Unid,S/ 3.90,metro,TÉ NEGRO FILTRANTE,2024-12-04 22:21:11.312138,25.0,un,3.9,metro,,TÉ NEGRO FILTRANTE
Té Puro MC COLIN'S Caja 25un,S/ 4.80,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,25.0,un,4.8,vivanda,MC COLIN S,TÉ NEGRO FILTRANTE
Betún Líquido Negro SANTIAGO Frasco 60ml,S/ 6.80,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,60.0,ml,6.8,vivanda,SANTIS,TÉ NEGRO FILTRANTE
Frijol Negro COSTEÑO Bolsa 500g,S/ 6.99,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,500.0,g,6.99,vivanda,COSTENO,TÉ NEGRO FILTRANTE
Té Negro Lipton Yellow Label 20un,S/ 7.40,metro,TÉ NEGRO FILTRANTE,2024-12-04 22:21:11.312138,20.0,un,7.4,metro,,TÉ NEGRO FILTRANTE
Té Negro Lipton Yellow Label 20un,S/ 7.50,wong,TÉ NEGRO FILTRANTE,2024-12-04 20:47:05.374915,20.0,un,7.5,wong,,TÉ NEGRO FILTRANTE
Té Verde BELL'S Caja 20un,S/ 7.69,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,20.0,un,7.69,vivanda,BELL'S,TÉ NEGRO FILTRANTE
Frijoles Negros LORENZO Doypack 425g,S/ 8.20,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,425.0,g,8.2,vivanda,LORENZO,TÉ NEGRO FILTRANTE
Té Negro en Hojas Naturandes 50g,S/ 8.50,wong,TÉ NEGRO FILTRANTE,2024-12-04 20:47:05.374915,50.0,g,8.5,wong,,TÉ NEGRO FILTRANTE
Té Verde & Piña BELL'S Caja 20un,S/ 8.59,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,20.0,un,8.59,vivanda,BELL'S,TÉ NEGRO FILTRANTE
Bebida de Arándanos L'ONDA con Té Verde Botella 1L,S/ 8.99,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,1.0,l,8.99,vivanda,L ONDA,TÉ NEGRO FILTRANTE
Té Verde de Menta y Limón SAINT GOTTARD Matcha Caja 20un,S/ 9.80,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,20.0,un,9.8,vivanda,SAINT GOTTARD,TÉ NEGRO FILTRANTE
Té Mix 5 Sabores NATURE'S HEART Caja 20un,S/ 9.90,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,20.0,un,9.9,vivanda,NATURE'S HEART,TÉ NEGRO FILTRANTE
Té Canela y Clavo HORNIMAN´S Display 100un,S/ 11.20,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,100.0,un,11.2,vivanda,HORNIMAN S,TÉ NEGRO FILTRANTE
Té Canela y Clavo BELL'S Caja 100un,S/ 11.50,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,100.0,un,11.5,vivanda,BELL'S,TÉ NEGRO FILTRANTE
Té Negro NATURE'S HEART Chai con Especias Caja 20un,S/ 11.80,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,20.0,un,11.8,vivanda,NATURE'S HEART,TÉ NEGRO FILTRANTE
Té Verde MC COLIN'S Caja 25un,S/ 12.80,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,25.0,un,12.8,vivanda,MC COLIN'S,TÉ NEGRO FILTRANTE
Té verde SCHAGREEM a Granel Caja 100g,S/ 13.00,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,100.0,g,13.0,vivanda,SCHAGREEN,TÉ NEGRO FILTRANTE
Té Canela y Clavo MC COLIN'S Caja 100un,S/ 13.70,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,100.0,un,13.7,vivanda,MC COLIN S,TÉ NEGRO FILTRANTE
Té Verde Puro WAWASANA Caja 50g,S/ 16.90,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,50.0,g,16.9,vivanda,WAWASANA,TÉ NEGRO FILTRANTE
Té Verde SUNKA Diet Caja 50un,S/ 18.90,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,50.0,un,18.9,vivanda,SUNKA,TÉ NEGRO FILTRANTE
Té Verde SUNKA Caja 50un,S/ 18.90,vivanda,TÉ NEGRO FILTRANTE,2024-12-04 18:17:36.027024,50.0,un,18.9,vivanda,SUNKA,TÉ NEGRO FILTRANTE
