description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Leche Evaporada Light Cuisine & Co Lata 410g,S/ 4.30,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,410.0,g,4.3,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche Concentrada Laive Botella 390g,S/ 4.40,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,390.0,g,4.4,wong,,,MEZCLA LÁCTEA EVAPORADA
Leche Light GLORIA Lata 390g,S/ 4.40 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,390.0,g,4.4,plaza_vea,Lata 390g,,MEZCLA LÁCTEA EVAPORADA
Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 390g,S/ 4.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.4,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche GLORIA Zero Lacto Lata 390g,S/ 4.40 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,390.0,g,4.4,plaza_vea,Lata 390g,,MEZCLA LÁCTEA EVAPORADA
Leche Reconstituida Gloria Light Lata 390g,S/ 4.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.4,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche sin Lactosa LAIVE Botella 390g,S/ 4.40 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,390.0,g,4.4,plaza_vea,Botella 390g,,MEZCLA LÁCTEA EVAPORADA
Leche Reconstituida Gloria Niños Lata 390g,S/ 4.50,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,390.0,g,4.5,wong,,,MEZCLA LÁCTEA EVAPORADA
Leche Reconstituida Gloria Light Lata 390g,S/ 4.50,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,390.0,g,4.5,wong,,,MEZCLA LÁCTEA EVAPORADA
Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 390g,S/ 4.50,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,390.0,g,4.5,wong,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea IDEAL Cremosita Lata 390g,S/ 4.60,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-04 17:36:42.081224,390.0,g,4.6,vivanda,,IDEAL,MEZCLA LÁCTEA EVAPORADA
Leche Condensada BELL'S Lata 390g,S/ 4.60 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,390.0,g,4.6,plaza_vea,Lata 390g,,MEZCLA LÁCTEA EVAPORADA
Leche UHT LAIVE Entera Sin Lactosa Bolsa 900ml,S/ 4.60 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,900.0,ml,4.6,plaza_vea,Bolsa 900ml,,MEZCLA LÁCTEA EVAPORADA
Leche sin Lactosa LAIVE Light Botella 390g,S/ 4.70 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,390.0,g,4.7,plaza_vea,Botella 390g,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Ideal Cremosita Lata 390g,S/ 4.70,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.7,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche Light Laive Sin Lactosa Botella 390g,S/ 4.70,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.7,metro,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Ideal Light Lata 390g,S/ 4.70,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,390.0,g,4.7,metro,,,MEZCLA LÁCTEA EVAPORADA
Mezcla en Polvo para Helado Diet UNIVERSAL Lúcuma Caja 50g,S/ 4.80,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-04 17:36:42.081224,50.0,g,4.8,vivanda,,UNIVERSAL,MEZCLA LÁCTEA EVAPORADA
Alimento Lácteo Probiótico GLORIA Yoguito Sabo...,S/ 4.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,6.0,un,4.9,plaza_vea,Paquete 6un,,MEZCLA LÁCTEA EVAPORADA
Leche UHT sin Lactosa GLORIA Zero Bolsa 900ml,S/ 4.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,900.0,ml,4.9,plaza_vea,Caja 900ml,,MEZCLA LÁCTEA EVAPORADA
Mezcla en Polvo para Helado Diet UNIVERSAL Chocolate Caja 50g,S/ 4.99,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-04 17:36:42.081224,50.0,g,4.99,vivanda,,UNIVERSAL,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea en Polvo Anchor Bolsa 96g,S/ 5.30,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,96.0,g,5.3,metro,,,MEZCLA LÁCTEA EVAPORADA
Trozos de Atún en Aceite Vegetal CAMPOMAR Lata...,S/ 5.40 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,150.0,g,5.4,plaza_vea,Lata 150g,,MEZCLA LÁCTEA EVAPORADA
Trozos de Atún PRIMOR en Aceite Vegetal Lata 1...,S/ 5.50 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,140.0,g,5.5,plaza_vea,Lata 140g,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea en Polvo Anchor Bolsa 96g,S/ 5.50,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,96.0,g,5.5,wong,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea en Polvo ANCHOR Bolsa 96g,S/ 5.50,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-04 17:36:42.081224,96.0,g,5.5,vivanda,,ANCHOR,MEZCLA LÁCTEA EVAPORADA
Filete de Atún CAMPOMAR en Aceite Vegetal Lata...,S/ 5.60 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,150.0,g,5.6,plaza_vea,Lata 150g,,MEZCLA LÁCTEA EVAPORADA
Leche en Polvo Gloria Bolsa 96g,S/ 5.60,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-04 21:16:06.944311,96.0,g,5.6,metro,,,MEZCLA LÁCTEA EVAPORADA
Filete de Atún en Agua CAMPOMAR Lata 150g,S/ 5.60 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,150.0,g,5.6,plaza_vea,Lata 150g,,MEZCLA LÁCTEA EVAPORADA
Leche sin Lactosa LAIVE UHT Tetrapack 946ml,S/ 5.70 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,946.0,ml,5.7,plaza_vea,Tetrapack 946ml,,MEZCLA LÁCTEA EVAPORADA
Lomos de Atún en Aceite Vegetal CAMPOMAR Lata ...,S/ 5.80 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,150.0,g,5.8,plaza_vea,Lata 150g,,MEZCLA LÁCTEA EVAPORADA
Filete de Atún en Aceite Vegetal FANNY Lata 14...,S/ 5.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,140.0,g,5.9,plaza_vea,Lata 140g,,MEZCLA LÁCTEA EVAPORADA
Filete de Atún con Agua y Sal PRIMOR Lata 140g,S/ 5.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,140.0,g,5.9,plaza_vea,Lata 140g,,MEZCLA LÁCTEA EVAPORADA
Leche en Polvo Gloria Bolsa 96g,S/ 5.90,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-04 19:06:16.324826,96.0,g,5.9,wong,,,MEZCLA LÁCTEA EVAPORADA
Comida para Perros RICOCAN Adultos Paté con Ca...,S/ 5.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,330.0,g,5.9,plaza_vea,Lata 330g,,MEZCLA LÁCTEA EVAPORADA
Comida para Perros RICOCAN Adultos Paté con Co...,S/ 5.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,330.0,g,5.9,plaza_vea,Lata 330g,,MEZCLA LÁCTEA EVAPORADA
Filete de Atún FLORIDA en Aceite Girasol Lata ...,S/ 5.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,140.0,g,5.9,plaza_vea,Lata 140g,,MEZCLA LÁCTEA EVAPORADA
Alimento Lácteo Probiótico GLORIA Yoguito Sabo...,S/ 5.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,6.0,un,5.9,plaza_vea,Paquete 6un,,MEZCLA LÁCTEA EVAPORADA
Trozos de Atún en Aceite Vegetal GLORIA Lata 1...,S/ 5.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-04 13:37:36.353059,140.0,g,5.9,plaza_vea,Lata 140g,,MEZCLA LÁCTEA EVAPORADA
