description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Chilcano Bar TABERNERO Limón Botella 275 ml,S/ 5.90 16%,vega,BOFE DE RES,2024-12-04 13:26:27.490170,275.0,ml,Chilcano Bar TABERNERO Limón Botella,5.9,vega,Tabernero,BOFE DE RES
Chilcano TABERNERO BAR Maracuyá Botella 275 ml,S/ 5.90 16%,vega,BOFE DE RES,2024-12-04 13:26:27.490170,275.0,ml,Chilcano TABERNERO BAR Maracuyá Botella,5.9,vega,Tabernero,BOFE DE RES
Mojito BAHIA Lata 355ml,S/ 6.90,vega,BOFE DE RES,2024-12-04 13:26:27.490170,355.0,ml,Mojito BAHIA Lata,6.9,vega,Bahia,BOFE DE RES
Piña Colada BAHIA Lata 355ml,S/ 6.90,vega,BOFE DE RES,2024-12-04 13:26:27.490170,355.0,ml,Piña Colada BAHIA Lata,6.9,vega,Bahia,BOFE DE RES
Cigarros LUCKY STRIKE Red Cajetilla 20un,S/ 17.20,vega,BOFE DE RES,2024-12-04 13:26:27.490170,20.0,un,Cigarros LUCKY STRIKE Red Cajetilla,17.2,vega,LUCKY STRIKE,BOFE DE RES
Whisky OLD TIME Red Botella 750ml,S/ 20.90,vega,BOFE DE RES,2024-12-04 13:26:27.490170,750.0,ml,Whisky OLD TIME Red Botella,20.9,vega,Old Times,BOFE DE RES
Whisky OLD TIMES Red Botella 1L,S/ 26.90,vega,BOFE DE RES,2024-12-04 13:26:27.490170,1.0,l,Whisky OLD TIMES Red Botella,26.9,vega,OLD TIME,BOFE DE RES
Bife Angosto Metro x kg,S/ 46.00 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife Angosto Metro,46.0,metro,,BOFE DE RES
Bife de Vacío de Res EL BUEN CORTE x kg,S/ 51.30,vivanda,BOFE DE RES,2024-12-04 17:27:09.881551,1.0,kg,Bife de Vacío de Res EL BUEN CORTE,51.3,vivanda,EL BUEN CORTE,BOFE DE RES
Bife de Vacío de Res Metro x kg,S/ 51.90 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife de Vacío de Res Metro,51.9,metro,,BOFE DE RES
Bife Ancho de Res EL BUEN CORTE x kg,S/ 52.40,vivanda,BOFE DE RES,2024-12-04 17:27:09.881551,1.0,kg,Bife Ancho de Res EL BUEN CORTE,52.4,vivanda,EL BUEN CORTE,BOFE DE RES
Bife Angosto de Res EL BUEN CORTE x kg,S/ 52.40,vivanda,BOFE DE RES,2024-12-04 17:27:09.881551,1.0,kg,Bife Angosto de Res EL BUEN CORTE,52.4,vivanda,EL BUEN CORTE,BOFE DE RES
Bife Ancho Metro x kg,S/ 52.90 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife Ancho Metro,52.9,metro,,BOFE DE RES
Entraña Nacional Metro x kg,S/ 57.90 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Entraña Nacional Metro,57.9,metro,,BOFE DE RES
Baby Beef Nacional Metro x kg,S/ 59.90 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Baby Beef Nacional Metro,59.9,metro,,BOFE DE RES
Bife de Chorizo Nacional Metro x kg,S/ 59.90 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife de Chorizo Nacional Metro,59.9,metro,,BOFE DE RES
Bife Angosto Don Goyo x kg,S/ 60.50 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife Angosto Don Goyo,60.5,metro,,BOFE DE RES
Entraña Don Goyo x kg,S/ 61.50 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Entraña Don Goyo,61.5,metro,,BOFE DE RES
Bife Angosto Pasturas de Oxapampa x kg,S/ 61.90 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife Angosto Pasturas de Oxapampa,61.9,metro,,BOFE DE RES
Bife Ancho Pasturas de Oxapampa x kg,S/ 61.90 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife Ancho Pasturas de Oxapampa,61.9,metro,,BOFE DE RES
Bife Ancho Don Goyo x kg,S/ 62.90 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife Ancho Don Goyo,62.9,metro,,BOFE DE RES
Ojo de Bife de Res Metro x kg,S/ 64.90 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Ojo de Bife de Res Metro,64.9,metro,,BOFE DE RES
Bife Picaña Argentino Cuisine & Co x kg,S/ 99.00 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife Picaña Argentino Cuisine & Co,99.0,metro,,BOFE DE RES
Bife Angosto Uruguayo Dos Caminos x kg,S/ 104.10 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife Angosto Uruguayo Dos Caminos,104.1,metro,,BOFE DE RES
Bife Angosto Argentino Cuisine & Co x kg,S/ 109.20 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife Angosto Argentino Cuisine & Co,109.2,metro,,BOFE DE RES
Bife Ancho Uruguayo Dos Caminos x kg,S/ 121.50 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife Ancho Uruguayo Dos Caminos,121.5,metro,,BOFE DE RES
Bife Ancho Argentino Cuisine & Co x kg,S/ 125.90 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife Ancho Argentino Cuisine & Co,125.9,metro,,BOFE DE RES
Bife Ancho Americano Black & Red x Kg,S/ 230.50 x kg,metro,BOFE DE RES,2024-12-04 21:03:26.648648,1.0,kg,Bife Ancho Americano Black & Red,230.5,metro,,BOFE DE RES
Bebida Energizante VOLT Gingseng Sin Azúcar Paquete 12u Botella 300ml,,vega,BOFE DE RES,2024-12-04 13:26:27.490170,300.0,ml,Bebida Energizante VOLT Gingseng Sin Azúcar Paquete 12u Botella,,vega,Volt,BOFE DE RES
