description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Bebida de Manzana Frugos del Valle Caja 970ml,S/ 3.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,970.0,ml,3.9,wong,,,MANZANA IMPORTADA
Lavavajillas en Pasta Home Care Manzana 800g,S/ 3.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,800.0,g,3.9,wong,,,MANZANA IMPORTADA
Avena con Manzana SANTA CATALINA Bolsa 150g,S/ 4.10,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,150.0,g,4.1,vega,,Santa Catalina,MANZANA IMPORTADA
Ambientador Glade en Gel bolsa Manzana Canela 30g,S/ 4.30,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,30.0,g,4.3,wong,,,MANZANA IMPORTADA
Cerveza Mahou Clásica Lata 330ml,S/ 4.50,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,330.0,ml,4.5,wong,,,MANZANA IMPORTADA
Puré de Frutas Orgánico Manzana y Plátano AMA Pouch 90 g,S/ 4.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,90.0,g,4.9,wong,,,MANZANA IMPORTADA
Compota Smiley Kids Manzana + Plátano + Arándano 90g,S/ 4.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,90.0,g,4.9,wong,,,MANZANA IMPORTADA
Puré de Frutas Orgánico Manzana AMA Pouch 90 g,S/ 4.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,90.0,g,4.9,wong,,,MANZANA IMPORTADA
Puré de Frutas Orgánico Manzana y Arándano AMA Pouch 90 g,S/ 4.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,90.0,g,4.9,wong,,,MANZANA IMPORTADA
Compota Smiley Kids Manzana y Ciruela 90g,S/ 4.90,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,90.0,g,4.9,wong,,,MANZANA IMPORTADA
Galleta GN Doble Deleit Sabor a Manzana y Durazno Paquete 8 un,S/ 5.00,vega,MANZANA IMPORTADA,2024-12-04 13:53:34.263455,8.0,un,5.0,vega,,Gn,MANZANA IMPORTADA
"Cerveza Sin Alcohol Mahou 0,0 Tostada Botella 330ml",S/ 5.00,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,330.0,ml,5.0,wong,,,MANZANA IMPORTADA
Compota de Manzana Gerber 113g,S/ 5.10,wong,MANZANA IMPORTADA,2024-12-04 19:28:12.843548,113.0,g,5.1,wong,,,MANZANA IMPORTADA
