description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,brand,CLASIFICACION
CUCHARA DULCERA AMARILLO X20UN,S/ 4.11,tottus,ARROZ A GRANEL,2024-12-04 12:55:55.606638,20.0,un,4.11,tottus,DARNEL,ARROZ A GRANEL
CUCHILLO SERIES VERDE X20 UN,S/ 4.40,tottus,ARROZ A GRANEL,2024-12-04 12:55:55.606638,20.0,un,4.4,tottus,DARNEL,ARROZ A GRANEL
CUCHILLO ROJO BISTROT X 20UN,S/ 4.40,tottus,ARROZ A GRANEL,2024-12-04 12:55:55.606638,20.0,un,4.4,tottus,DARNEL,ARROZ A GRANEL
CUCHILLO AMARILLO VIVO X 20UN,S/ 4.40,tottus,ARROZ A GRANEL,2024-12-04 12:55:55.606638,20.0,un,4.4,tottus,DARNEL,ARROZ A GRANEL
TENEDOR SERIES VERDE VIVO X 20 UN,S/ 4.50,tottus,ARROZ A GRANEL,2024-12-04 12:55:55.606638,20.0,un,4.5,tottus,DARNEL,ARROZ A GRANEL
TENEDOR BISTROT AMARILLO X20UN,S/ 4.50,tottus,ARROZ A GRANEL,2024-12-04 12:55:55.606638,20.0,un,4.5,tottus,DARNEL,ARROZ A GRANEL
TENEDOR ROJO BISTROT X 20UN,S/ 4.50,tottus,ARROZ A GRANEL,2024-12-04 12:55:55.606638,20.0,un,4.5,tottus,DARNEL,ARROZ A GRANEL
Arroz Gran Reserva Extra Valle Norte Bolsa 750 g,S/ 4.80,metro,ARROZ A GRANEL,2024-12-04 20:33:26.804458,750.0,g,4.8,metro,,ARROZ A GRANEL
Arroz Extra VALLENORTE Gran Reserva Bolsa 750g,S/ 4.80,vivanda,ARROZ A GRANEL,2024-12-04 17:11:11.111764,750.0,g,4.8,vivanda,VALLENORTE,ARROZ A GRANEL
Arroz Superior Gran Chalán 750g,S/ 4.90,metro,ARROZ A GRANEL,2024-12-04 20:33:26.804458,750.0,g,4.9,metro,,ARROZ A GRANEL
Arroz Gran Reserva Extra Valle Norte Bolsa 750 g,S/ 4.90,wong,ARROZ A GRANEL,2024-12-04 17:55:01.993564,750.0,g,4.9,wong,,ARROZ A GRANEL
Arroz Extra Gran Chalán 750g,S/ 5.10,metro,ARROZ A GRANEL,2024-12-04 20:33:26.804458,750.0,g,5.1,metro,,ARROZ A GRANEL
Té Verde 100 g,S/ 12.26,tottus,ARROZ A GRANEL,2024-12-04 12:55:55.606638,100.0,g,12.26,tottus,SCHAGREEN,ARROZ A GRANEL
Cajonazo Naranja de Jugo Extra 10 Kg,S/ 15,tottus,ARROZ A GRANEL,2024-12-04 12:55:55.606638,10.0,kg,15.0,tottus,GRANEL,ARROZ A GRANEL
Mimma Galletas para Perros Huesitos Raza Grande Arroz con Carne Sachet 500 g,S/ 15.20,wong,ARROZ A GRANEL,2024-12-04 17:55:01.993564,500.0,g,15.2,wong,,ARROZ A GRANEL
Mimma Galletas para Perros Huesitos Raza Grande Arroz con Carne Sachet 500 g,S/ 15.20,metro,ARROZ A GRANEL,2024-12-04 20:33:26.804458,500.0,g,15.2,metro,,ARROZ A GRANEL
Arroz Superior Gran Chalán 5kg,S/ 23.49,metro,ARROZ A GRANEL,2024-12-04 20:33:26.804458,5.0,kg,23.49,metro,,ARROZ A GRANEL
Arroz Extra GRAN CHALAN Bolsa 5 kg,S/ 24.90 4%,vega,ARROZ A GRANEL,2024-12-04 12:59:11.992818,5.0,kg,24.9,vega,Gran Chalan,ARROZ A GRANEL
Arroz Extra GRAN CHALAN Bolsa 5Kg,S/ 25.10,vivanda,ARROZ A GRANEL,2024-12-04 17:11:11.111764,5.0,kg,25.1,vivanda,GRAN CHALAN,ARROZ A GRANEL
Arroz Gran Reserva Extra Valle Norte Bolsa 5 Kg,S/ 25.49,metro,ARROZ A GRANEL,2024-12-04 20:33:26.804458,5.0,kg,25.49,metro,,ARROZ A GRANEL
Arroz Extra Gran Chalán 5kg,S/ 25.90,metro,ARROZ A GRANEL,2024-12-04 20:33:26.804458,5.0,kg,25.9,metro,,ARROZ A GRANEL
Arroz Gran Reserva Extra Valle Norte Bolsa 5 Kg,S/ 26.50,wong,ARROZ A GRANEL,2024-12-04 17:55:01.993564,5.0,kg,26.5,wong,,ARROZ A GRANEL
Arroz Extra VALLENORTE Gran Reserva Bolsa 5Kg,S/ 27.50,vivanda,ARROZ A GRANEL,2024-12-04 17:11:11.111764,5.0,kg,27.5,vivanda,VALLENORTE,ARROZ A GRANEL
Cajonazo Papa Yungay 10 kg,S/ 28.90,tottus,ARROZ A GRANEL,2024-12-04 12:55:55.606638,10.0,kg,28.9,tottus,GRANEL,ARROZ A GRANEL
Cajonazo de Maracuya 6 kg,S/ 36,tottus,ARROZ A GRANEL,2024-12-04 12:55:55.606638,6.0,kg,36.0,tottus,GRANEL,ARROZ A GRANEL
Cajonazo Cebolla Roja 10 kg,S/ 37.80,tottus,ARROZ A GRANEL,2024-12-04 12:55:55.606638,10.0,kg,37.8,tottus,GRANEL,ARROZ A GRANEL
Gran Arroz Pacasmayo Superior 10 kg,S/ 45.50,metro,ARROZ A GRANEL,2024-12-04 20:33:26.804458,10.0,kg,45.5,metro,,ARROZ A GRANEL
