description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Salsa de Uchucuta ALACENA Doypack 400g,S/ 12.90 4%,vega,AJO ENTERO,2024-12-04 14:13:12.942145,400.0,g,12.9,vega,,Alacena,AJO ENTERO
Ajos en pasta Siba 230 gr,S/ 13.10,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,230.0,g,13.1,tottus,,SIBARITA,AJO ENTERO
Pickles Entero Ods 550 gr,S/ 13.90,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,550.0,g,13.9,tottus,,OLIVOS DEL SUR,AJO ENTERO
"Galletas con Quinua, Ajo y Cebolla Caja 6 un",S/ 14.90,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,6.0,un,14.9,tottus,,NUTRI CO,AJO ENTERO
Ajo Entero Pelado BELL'S FRESCOS Bandeja 250g,S/ 14.99,vivanda,AJO ENTERO,2024-12-04 17:56:54.726178,250.0,g,14.99,vivanda,,BELL'S FRESCOS,AJO ENTERO
Ajo Entero,S/ 14.99 x kg,plaza_vea,AJO ENTERO,2024-12-04 14:07:25.532665,0.25,kg,14.99,plaza_vea,Presentación 0.25 kg aprox.,,AJO ENTERO
Ajo Entero BELL'S Pelado Bandeja 250g,S/ 14.99 un,plaza_vea,AJO ENTERO,2024-12-04 14:07:25.532665,250.0,g,14.99,plaza_vea,Bandeja 250g,,AJO ENTERO
Ajo molido Siba de 250 g,S/ 15,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,250.0,g,15.0,tottus,,SIBARITA,AJO ENTERO
Pack 3 Leches GLORIA UHT Entera Caja 1L,S/ 16.29 6%,vega,AJO ENTERO,2024-12-04 14:13:12.942145,3.0,l,16.29,vega,,Gloria,AJO ENTERO
Ajos Enteros sin Pelar x kg,S/ 18.99 x kg,metro,AJO ENTERO,2024-12-04 21:46:01.129370,1.0,kg,18.99,metro,,,AJO ENTERO
Hummus Dip con Ajo Valle Fértil 240 g,S/ 19.10,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,240.0,g,19.1,tottus,,VALLE FERTIL,AJO ENTERO
Ajos Enteros sin Pelar x kg,S/ 19.99 x kg,wong,AJO ENTERO,2024-12-04 19:51:04.271417,1.0,kg,19.99,wong,,,AJO ENTERO
Leche Reconstituida GLORIA Entera Lata 390g Paquete 6u,S/ 22.90 3%,vega,AJO ENTERO,2024-12-04 14:13:12.942145,390.0,g,22.9,vega,,Gloria,AJO ENTERO
Ajo en polvo 297 g,S/ 28.90,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,297.0,g,28.9,tottus,,BADIA,AJO ENTERO
Ajos Enteros Justo al Día 700g,S/ 40.95,wong,AJO ENTERO,2024-12-04 19:51:04.271417,700.0,g,40.95,wong,,,AJO ENTERO
Leche Reconstituida GLORIA Entera Pack 12u Lata 390g,S/ 45.50,vega,AJO ENTERO,2024-12-04 14:13:12.942145,390.0,g,45.5,vega,,Gloria,AJO ENTERO
Leche Reconstituida GLORIA Entera Lata 390g x 12u,S/ 48.00,vega,AJO ENTERO,2024-12-04 14:13:12.942145,390.0,g,48.0,vega,,Gloria,AJO ENTERO
Café Grano Entero Tostado Blend 900 g,S/ 49.90,tottus,AJO ENTERO,2024-12-04 13:39:05.543006,900.0,g,49.9,tottus,,CAFFE,AJO ENTERO
Leche Fresca GLORIA UHT Entera Bolsa 900ml Caja 12u,S/ 56.40,vega,AJO ENTERO,2024-12-04 14:13:12.942145,900.0,ml,56.4,vega,,Gloria,AJO ENTERO
