description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Cereal Bar COSTA Chocochips 21gr,S/ 9.90,vega,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-04 13:16:25.087253,21.0,g,9.9,vega,,Costa,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Avena Tradicional Cuisine & Co 1kg,S/ 9.90,wong,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-04 18:30:37.028320,1.0,kg,9.9,wong,,,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereal Bar COSTA Golden 21gr,S/ 9.90,vega,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-04 13:16:25.087253,21.0,g,9.9,vega,,Costa,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereales Bañados con Chocolate Estrellas 2 Cerritos Bolsa 125 gr,S/ 9.90,metro,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-04 20:52:50.609352,125.0,g,9.9,metro,,,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereal Bar COSTA Chococereal 21gr,S/ 9.90,vega,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-04 13:16:25.087253,21.0,g,9.9,vega,,Costa,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereal NATURANDES Harina de linaza Bolsa 300Gr,S/ 10.00,vivanda,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-04 17:20:59.290198,300.0,g,10.0,vivanda,,NATURANDES,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereal NATURANDES Harina de linaza Bolsa 300Gr,S/ 10 un,plaza_vea,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-04 13:09:25.525465,300.0,g,10.0,plaza_vea,Bolsa 300g,,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Barra de Cereales Mini Cereal Bar Golden 24un,S/ 10.10,metro,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-04 20:52:50.609352,24.0,un,10.1,metro,,,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Cereal Kiwigen Mix Chocolate 180g,S/ 10.20,metro,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-04 20:52:50.609352,180.0,g,10.2,metro,,,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
Barra de Cereales Mini Cereal Bar Golden 24un,S/ 10.20,wong,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS,2024-12-04 18:30:37.028320,24.0,un,10.2,wong,,,CEREALES PROCESADOS MIXTOS Y ENRIQUECIDOS
