description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,brand,CLASIFICACION
Papas RIKY TOK Ondas Picantes Bolsa 30g,S/ 1.00,vega,PAPA COLOR,2024-12-04 14:21:35.531431,30.0,g,1.0,vega,RIKY TOK,PAPA COLOR
Papas PAPI RICAS Sabor Picante Bolsa 28gr,S/ 1.50,vega,PAPA COLOR,2024-12-04 14:21:35.531431,28.0,g,1.5,vega,PAPI RICAS,PAPA COLOR
Papas LAYS Clásicas Bolsa 38g,S/ 2.40,vega,PAPA COLOR,2024-12-04 14:21:35.531431,38.0,g,2.4,vega,Lays,PAPA COLOR
Papas Lay's Clásicas 36g,S/ 2.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,36.0,g,2.5,tottus,LAYS,PAPA COLOR
Papas PAPI RICAS Sabor Natural 70gr,S/ 2.80,vega,PAPA COLOR,2024-12-04 14:21:35.531431,70.0,g,2.8,vega,PAPI RICAS,PAPA COLOR
Papas PAPI RICAS Sabor Picante Bolsa 70gr,S/ 2.80,vega,PAPA COLOR,2024-12-04 14:21:35.531431,70.0,g,2.8,vega,PAPI RICAS,PAPA COLOR
Papas PAPI RICAS Sabor Pollo a la Brasa Bolsa 70gr,S/ 2.80,vega,PAPA COLOR,2024-12-04 14:21:35.531431,70.0,g,2.8,vega,PAPI RICAS,PAPA COLOR
Papas al Hilo 100 g,S/ 3.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,100.0,g,3.9,tottus,TOTTUS,PAPA COLOR
Papas Lay's Clásicas 70g,S/ 4,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,70.0,g,4.0,tottus,LAYS,PAPA COLOR
Papa seca VEGA Bolsa 400g,S/ 4.30,vega,PAPA COLOR,2024-12-04 14:21:35.531431,400.0,g,4.3,vega,Vega,PAPA COLOR
Caja Krea Organizador Transparente Tapa Color 4.5L Surtido,S/ 4.50,metro,PAPA COLOR,2024-12-04 21:53:39.950869,4.5,l,4.5,metro,,PAPA COLOR
Caja Krea Organizador Transparente Tapa Color 4.5L Surtido,S/ 4.50,wong,PAPA COLOR,2024-12-04 20:02:58.124675,4.5,l,4.5,wong,,PAPA COLOR
Nachos de Maíz Morado Perú Nachos 90 g,S/ 4.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,90.0,g,4.9,tottus,,PAPA COLOR
Puré de Papa 125 g,S/ 4.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,125.0,g,4.9,tottus,KNORR,PAPA COLOR
BOLIQUESO 110G,S/ 5,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,110.0,g,5.0,tottus,CHEETOS,PAPA COLOR
Queso Atrevido 90g,S/ 5,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,90.0,g,5.0,tottus,DORITOS,PAPA COLOR
Horneados Mega Queso 90g,S/ 5,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,90.0,g,5.0,tottus,CHEETOS,PAPA COLOR
Papa Seca TIMONEL Bolsa 400gr,S/ 5.10,vega,PAPA COLOR,2024-12-04 14:21:35.531431,400.0,g,5.1,vega,Timonel,PAPA COLOR
Papas al Hilo VEGA Bolsa 150gr,S/ 5.20,vega,PAPA COLOR,2024-12-04 14:21:35.531431,150.0,g,5.2,vega,Vega,PAPA COLOR
Papas Al Hilo Lay's 155g,S/ 5.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,155.0,g,5.5,tottus,LAYS,PAPA COLOR
Papas Lay's Ondas Picante 140g,S/ 5.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,140.0,g,5.5,tottus,LAYS,PAPA COLOR
Papas Lay's Ondas Saladas 140 gr,S/ 5.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,140.0,g,5.5,tottus,LAYS,PAPA COLOR
Papas Lay's Clásicas 150g,S/ 5.50,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,150.0,g,5.5,tottus,LAYS,PAPA COLOR
Papa Seca 400 g,S/ 5.65,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,400.0,g,5.65,tottus,TOTTUS,PAPA COLOR
Papas RIKY TOK Ondas Picantes Bolsa 180g,S/ 5.70,vega,PAPA COLOR,2024-12-04 14:21:35.531431,180.0,g,5.7,vega,RIKY TOK,PAPA COLOR
PAPAS EN ONDAS X 150GR,S/ 5.70,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,150.0,g,5.7,tottus,TOTTUS,PAPA COLOR
Papas LAYS Clásicas Bolsa 150g,S/ 5.80,vega,PAPA COLOR,2024-12-04 14:21:35.531431,150.0,g,5.8,vega,Lays,PAPA COLOR
Papas LAYS Ondas Picantes Bolsa 140g,S/ 5.90,vega,PAPA COLOR,2024-12-04 14:21:35.531431,140.0,g,5.9,vega,Lays,PAPA COLOR
PAPAS FRITAS EN HOJUELAS X185GR,S/ 6.30,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,185.0,g,6.3,tottus,TOTTUS,PAPA COLOR
Papas al Hilo 150 g,S/ 6.90,tottus,PAPA COLOR,2024-12-04 13:44:30.633398,150.0,g,6.9,tottus,VILLA NATURA,PAPA COLOR
Papas LAYS Clásicas Bolsa 210gr,S/ 7.00,vega,PAPA COLOR,2024-12-04 14:21:35.531431,210.0,g,7.0,vega,Lays,PAPA COLOR
