description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Yogurt Tipo Griego Tigo Arándano con Chía 500g,S/ 11.10,wong,ARÁNDANOS,2024-12-04 19:35:18.265819,500.0,g,11.1,wong,,,ARÁNDANOS
Arándanos Congelados Berries Del Perú Bolsa 350g,S/ 11.11,wong,ARÁNDANOS,2024-12-04 19:35:18.265819,350.0,g,11.11,wong,,,ARÁNDANOS
Agua Mineral con gas Pack 6 unidades 600 mL,S/ 11.20,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,6.0,un,11.2,tottus,,SAN MATEO,ARÁNDANOS
Yogurt Griego Descremado DANLAC con Arándanos Frasco 420g,S/ 11.50,vivanda,ARÁNDANOS,2024-12-04 17:48:33.549501,420.0,g,11.5,vivanda,,DANLAC,ARÁNDANOS
Twelve Pack de Bebida de Durazno Forti Hierro de 145 mL,S/ 11.50,tottus,ARÁNDANOS,2024-12-04 13:31:00.794060,145.0,ml,11.5,tottus,,PULP,ARÁNDANOS
Pulpa de Arándano Congelada Natifut 250g,S/ 11.80,wong,ARÁNDANOS,2024-12-04 19:35:18.265819,250.0,g,11.8,wong,,,ARÁNDANOS
Yogurt Griego Descremado con Arándano Danlac Frasco 420g,S/ 11.90,metro,ARÁNDANOS,2024-12-04 21:34:40.973915,420.0,g,11.9,metro,,,ARÁNDANOS
Yogurt Vakimu +Pro Arándano 500g,S/ 11.92,wong,ARÁNDANOS,2024-12-04 19:35:18.265819,500.0,g,11.92,wong,,,ARÁNDANOS
Agua de Piña con Arándanos Light Golden 1L,S/ 11.99,wong,ARÁNDANOS,2024-12-04 19:35:18.265819,1.0,l,11.99,wong,,,ARÁNDANOS
Yogurt Vakimu +Pro Arándano 500g,S/ 12.08,metro,ARÁNDANOS,2024-12-04 21:34:40.973915,500.0,g,12.08,metro,,,ARÁNDANOS
Mezcla de Arándanos Cuisine&Co Pote 200 g,S/ 12.30,metro,ARÁNDANOS,2024-12-04 21:34:40.973915,200.0,g,12.3,metro,,,ARÁNDANOS
"Arándanos, Fresas, Zarzamoras y Cerezas Congeladas Berries Del Perú Bolsa 350 g",S/ 12.72,wong,ARÁNDANOS,2024-12-04 19:35:18.265819,350.0,g,12.72,wong,,,ARÁNDANOS
Jabón Líquido BALLERINA Arandano Doypack 750ml,S/ 12.90,vega,ARÁNDANOS,2024-12-04 13:59:21.986213,750.0,ml,12.9,vega,,Ballerina,ARÁNDANOS
Mermelada de Arándano Light Casa Verde 180g,S/ 12.90,metro,ARÁNDANOS,2024-12-04 21:34:40.973915,180.0,g,12.9,metro,,,ARÁNDANOS
Yogurt Griego TIGO Arándano y Chía Pote 750g,S/ 12.90 un,plaza_vea,ARÁNDANOS,2024-12-04 13:54:17.808840,750.0,g,12.9,plaza_vea,Pote 750g,,ARÁNDANOS
Tripack Agua de Piña Light con Arándanos Golden Botella 485ml,S/ 13.00,metro,ARÁNDANOS,2024-12-04 21:34:40.973915,485.0,ml,13.0,metro,,,ARÁNDANOS
