unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Botella 500ml,Aceite de Oliva BELL'S Virgen Botella 500ml,S/ 35.80 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,500.0,ml,35.8
Botella 250ml,Aceite de Oliva CREMONINI Extra Virgen Botella...,S/ 28.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,250.0,ml,28.9
Botella 750ml,Aceite de Oliva Extra Virgen OLIVO DEL SUR Pre...,S/ 53.80 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,750.0,ml,53.8
Botella 200ml,Aceite de Oliva ACAVILLE Extra Virgen Botella ...,S/ 21.49 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,200.0,ml,21.49
Frasco 200ml,Aceite de Oliva CARBONELL Puro Frasco 200ml,S/ 21.50 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,200.0,ml,21.5
Spray 275ml,Aceite de Oliva HUERTO ALAMEIN Extra Virgen Sp...,S/ 30.99 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,275.0,ml,30.99
Frasco 250ml,Aceite de Oliva OLIVOS DEL SUR Extra Virgen Fr...,S/ 30.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,250.0,ml,30.9
Botella 500ml,Aceite de Oliva ACAVILLE Extra Virgen Botella ...,S/ 47.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,500.0,ml,47.9
Botella 1L,Aceite de Oliva VALDEPORRES Intenso Botella 1L,S/ 59.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,1.0,l,59.9
Botella 500ml,Aceite de Oliva CREMONINI Extra Virgen Botella...,S/ 49.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,500.0,ml,49.9
Botella 500ml,Aceite de Oliva HUERTO ALAMEIN Extra Virgen Bo...,S/ 38 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,500.0,ml,38.0
Botella 1L,Aceite de Oliva HUERTO ALAMEIN Extra Virgen Bo...,S/ 74.99 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,1.0,l,74.99
Botella 1L,Aceite de Oliva ACAVILLE Extra Virgen Botella ...,S/ 73.90 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,1.0,l,73.9
Botella 900ml,Aceite Vegetal Olivado HUERTO ALAMEIN Botella ...,S/ 14.39 un,plaza_vea,ACEITE DE OLIVA,2024-12-04 13:43:11.413245,900.0,ml,14.39
