brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Vega,Papa seca VEGA Bolsa 400g,S/ 4.30,vega,PAPA SECA,2024-12-04 14:23:14.435024,400.0,g,4.3
Timonel,Papa Seca TIMONEL Bolsa 400gr,S/ 5.10,vega,PAPA SECA,2024-12-04 14:23:14.435024,400.0,g,5.1
