description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Huevo de Corral La Calera 12un.,S/ 14.50,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,12.0,un,14.5
Bisteck de Tapa Nacional x kg,S/ 40.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,40.9
Lomo Fino de Res Wong x kg,S/ 87.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,87.9
Filete Parrillero de Pierna de Pollo con Piel x kg,S/ 20.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,20.9
Huevos Orgánicos Pachacamac 12un,S/ 17.50,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,12.0,un,17.5
Pollo Entero sin Menudencia x kg,S/ 11.70 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,11.7
Deditos de Pollo Avinka 12un,S/ 12.99,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,12.0,un,12.99
Filete de Trucha Arco Iris Bolsa 500 g,S/ 27.50,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,27.5
Muslos de Pollo Artisan x Kg. Libre de Antibióticos,S/ 31.40 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,31.4
Pollo Fresco Sin Menudencia Artisan Libre de Antibióticos x kg,S/ 16.50 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,16.5
Filete de Pejerrey Artisan x Kg. Libre de Antibióticos,S/ 47.79 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,47.79
Filete de Pechuga de Pavita San Fernando x kg,S/ 33.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,33.9
Pierna o Encuentro de Pollo x kg,S/ 16.49 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,16.49
Filete de Salmón Atlántico Aqua 500g,S/ 45.90,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,45.9
Filete de Pechuga de Pollo Congelada San Fernando x kg,S/ 26.70 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,26.7
Huevos de Codorniz Wong Bandeja 18 Unid,S/ 8.35,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,18.0,un,8.35
Filete de Trucha Cuisine & Co 500g,S/ 27.50,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,27.5
Filete de Pechuga Importado x kg,S/ 16.50 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,16.5
Pechuga de Pollo Light x kg,S/ 19.50 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,19.5
Entraña Americana Certified Angus Beef x kg,S/ 209.00 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,209.0
Pollo Fresco con Menudencia San Fernando x Kg,S/ 10.45 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,10.45
Chuleta de Lomo de Cerdo Sin Piel Porcionado x kg,S/ 23.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,23.9
Guiso de Pechuga de Pavita San Fernando x kg,S/ 22.70 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,22.7
Cuadril Nacional x kg,S/ 52.00 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,52.0
Nuggets de Pechuga de Pollo San Fernando 24un,S/ 15.80,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,24.0,un,15.8
Sancochado de Osobuco Nacional x kg,S/ 22.50 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,22.5
Asado Pejerrey Wong x kg,S/ 49.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,49.9
Pechuga de Pavita en Trozos San Fernando x Kg,S/ 18.99 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,18.99
Milanesa de Pollo Oregon Foods 4un,S/ 31.90,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,4.0,un,31.9
Piernitas de Alas de Pollo x kg,S/ 14.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,14.9
Chuleta de Lomo de Cerdo Sin Piel x kg,S/ 23.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,23.9
Porciones de Perico Congelado Cuisine & Co 500g,S/ 38.90,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,38.9
Hígado de Pollo x kg,S/ 8.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,8.9
Piernas de Pollo Artisan x Kg. Libre de Antibióticos,S/ 31.20 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,31.2
Huevos Clásicos Blancos La Calera 15un,S/ 11.50,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,15.0,un,11.5
Bisteck de Bola de Lomo Wong Premium x kg,S/ 66.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,66.9
Muslo de Pollo Congelado San Fernando x kg,S/ 16.50 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,16.5
Colita de Cuadril Americana Certified Angus Beef x kg,S/ 123.30 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,123.3
Porciones de Atún Congelado Cuisine & Co 500g,S/ 28.00,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,28.0
Picaña Americana Certified Angus Beef x kg,S/ 152.00 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,152.0
Panceta de Cerdo en Tiras con Piel y con Hueso x kg,S/ 30.60 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,30.6
Tilapia en Filetes Congelada Cuisine & Co 1kg,S/ 29.90,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,29.9
Filete de Trucha Extra x kg,S/ 66.50 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,66.5
Guiso de Cerdo x kg,S/ 28.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,28.9
Molleja de Pollo x kg,S/ 13.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,13.9
Hamburguesas Angus Oregon Foods 4un,S/ 61.90,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,4.0,un,61.9
Nuggets de Pollo con Quinua Avinka 15un,S/ 10.99,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,15.0,un,10.99
Lomo Fino Wong Premium x kg,S/ 141.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,141.9
Corazón de Pollo x kg,S/ 12.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,12.9
Asado de Pejerrey en Mitades Wong x kg,S/ 49.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,49.9
Panceta de Cerdo en Tiras con Piel y con Hueso San Fernando x kg,S/ 38.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,38.9
Sancochado Punta de Pecho x kg,S/ 24.90 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,24.9
Tiras de Pechuga de Pollo Redondos 8un,S/ 13.70,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,8.0,un,13.7
Medallón de Muslo de Pavita San Fernando x kg,S/ 23.99 x kg,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,1.0,kg,23.99
Huevitos de Codorniz Reyal Bandeja 24 Unid,S/ 10.20,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,24.0,un,10.2
Nuggets de Pollo con Brócoli Avinka 15un,S/ 10.99,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,15.0,un,10.99
Hamburguesas Parrilleras Wong Caja 4un,S/ 26.90,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,4.0,un,26.9
Nuggets de Pechuga de Pollo Redondos 36un,S/ 16.60,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,36.0,un,16.6
Porciones de Salmón Vadimar 500g,S/ 43.00,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,43.0
Hamburguesas de Res Oregon Foods 8un,S/ 25.10,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,8.0,un,25.1
Tilapia en Filetes Congelada Cuisine & Co 500g,S/ 12.90,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,500.0,g,12.9
Suprema de Pollo Avinka 4un,S/ 27.99,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,4.0,un,27.99
Pop Corn Chicken Avinka 350g,S/ 15.30,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,350.0,g,15.3
Huevos Pardos Super Jumbo Wong Bandeja 10 Unid,S/ 11.75,wong,CARNE DE CARNERO,2024-12-04 18:36:42.175131,10.0,un,11.75
