description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Mantequilla Asturiana 125g,S/ 16.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,125.0,g,16.9
Mantequilla de Maní Unión 1Kg,S/ 49.80,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,1.0,kg,49.8
Mantequilla de Maní 200g,S/ 9.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,9.9
Cachito De Mantequilla Don Mamino Bolsa 6 Unidades,S/ 9.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,6.0,un,9.9
Cachito de Mantequilla 5un,S/ 3.25,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,5.0,un,3.25
Margarina Sello de Oro Barra 200g,S/ 4.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,4.5
Crema de Avellanas Nutella 350g,S/ 38.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,350.0,g,38.9
Crema a Base de Mantequilla Laive 350g,S/ 13.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,350.0,g,13.9
Crema de Mantequilla Light Laive 180g,S/ 15.49,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,180.0,g,15.49
Crema de Avellanas Nutella 650g,S/ 69.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,650.0,g,69.9
Margarina Sello de Oro Barra 90g,S/ 3.30,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,90.0,g,3.3
Crema Avellanas con Cacao Cuisine & Co 350g,S/ 11.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,350.0,g,11.9
Margarina Dorina Clásica 220g,S/ 6.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,220.0,g,6.9
Sazonador de Pop Corn Sabor Mantequilla Costeño Pops 81g,S/ 11.20,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,81.0,g,11.2
Margarina Dorina Light Pote 450 g,S/ 10.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,450.0,g,10.5
Margarina Manty Clásica 300g,S/ 5.60,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,300.0,g,5.6
Crema de Almendras Cuisine & Co Frasco 410g,S/ 55.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,410.0,g,55.9
Crema de Avellanas Nutella 200g,S/ 28.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,28.5
Margarina Dorina Light 220g,S/ 6.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,220.0,g,6.9
Aceite de Mantequilla Fat Free Pam Spray 141 g,S/ 30.80,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,141.0,g,30.8
Margarina Sello de Oro Pote 400g,S/ 8.99,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,400.0,g,8.99
Galletas de Mantequilla Moments 280g,S/ 7.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,280.0,g,7.9
Rosquitas de Mantequilla Natural La Cajamarqueza Bolsa 360 g,S/ 13.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,360.0,g,13.9
Margarina Dorina Clásica 450g,S/ 10.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,450.0,g,10.5
Pop Corn para Microondas Act II Sabor Mantequilla 91g,S/ 4.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,91.0,g,4.9
Crema de Avellanas Duo Cuisine & Co 350g,S/ 11.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,350.0,g,11.9
Chocolate con Mantequilla de Maní Reese's 42g,S/ 5.00,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,42.0,g,5.0
Galletas de Mantequilla Cuisine & Co 340g,S/ 14.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,340.0,g,14.9
Barra Energética Sabor Mantequilla de Maní Caja 5 unid,S/ 12.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,5.0,un,12.9
Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,S/ 5.20,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,24.0,g,5.2
Crema de Avellanas Nutella 140g,S/ 20.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,140.0,g,20.5
Margarina Dorina Clásica 900g,S/ 19.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,900.0,g,19.9
Margarina Laive Swis 200g,S/ 4.99,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,4.99
Margarina Laive Swis 450g,S/ 11.40,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,450.0,g,11.4
Crema de Maní Skippy 462g,S/ 30.40,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,462.0,g,30.4
Crema de Avellanas y Cacao Zana Isatella 210g,S/ 43.60,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,210.0,g,43.6
Rosquitas al Ajo con Mantequilla y Orégano Bolsa 350 g,S/ 13.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,350.0,g,13.9
Crema de Maní Skippy Natural 425g,S/ 30.40,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,425.0,g,30.4
Tripack Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,S/ 10.80,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,24.0,g,10.8
Crema de Maní Skippy Roasted Honey 462g,S/ 30.40,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,462.0,g,30.4
Crema a Base de Mantequilla Laive 90g,S/ 4.70,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,90.0,g,4.7
"Pasta de Almendras, Castañas y Cacao Rainforest Spread Wasi Frasco 250 g",S/ 38.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,250.0,g,38.5
Margarina La Danesa 500g,S/ 16.20,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,500.0,g,16.2
Nut Butter Gozana Almendra 200g,S/ 33.70,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,33.7
Cuisine & Co Crema de Maní con Cacao Frasco 410 g,S/ 21.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,410.0,g,21.9
Crema de Maní & Panela Cuisine & Co 410g,S/ 21.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,410.0,g,21.9
Chocolate con Leche y Mantequilla de Maní Reese's Nutrageous Barra 47 g,S/ 5.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,47.0,g,5.5
Margarina Laive Swis 90g,S/ 3.80,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,90.0,g,3.8
Untable Vegetal Earth Balance Original 425g,S/ 39.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,425.0,g,39.5
Crema de Avellanas Cremosa Sin Gluten Sorini 350 gr,S/ 30.80,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,350.0,g,30.8
Pan Mini Francesitos con Orégano y Mantequilla x kg,S/ 33.90 x kg,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,1.0,kg,33.9
Galletas de Mantequilla Colombina Casita de Navidad 200g Surtido,S/ 12.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,12.9
Galletas de Mantequilla Noel 80g Surtido,S/ 17.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,80.0,g,17.9
Untable Vegetal Earth Balance Soy Free 425g,S/ 39.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,425.0,g,39.5
Crema de Avellanas Winter's Pote 350 g,S/ 29.30,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,350.0,g,29.3
Twopack Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,S/ 10.40,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,24.0,g,10.4
"Crema de Maní, Cacao y Panela Wasi Chocomaní Orgánico 240g",S/ 26.70,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,240.0,g,26.7
Papel Mantequilla 70x100cm Carpaccio 2un.,S/ 3.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,2.0,un,3.5
Helado de Plátano y Mantequilla de Maní Sanúa 473ml,S/ 29.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,473.0,ml,29.9
Sirope de Mantequilla American Classic 472g,S/ 12.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,472.0,g,12.9
Margarina Sello de Oro Pote 200g,S/ 5.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,200.0,g,5.9
Helado de Plátano y Mantequilla de Maní Sanúa 133ml,S/ 9.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,133.0,ml,9.5
Ensalada Thai Mattson 260g,S/ 20.00,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,260.0,g,20.0
Ensalada Thai Mattson 130g,S/ 12.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,130.0,g,12.5
Ensalada Italiana Mattson 300g,S/ 20.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,300.0,g,20.5
Ensalada Fresca 380g,S/ 14.70,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,380.0,g,14.7
Ensalada Parrillera Ecologic x 400 g,S/ 6.70,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,400.0,g,6.7
Ensalada Rusa Green Food 400g,S/ 5.52,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,400.0,g,5.52
Ensalada Cesar's Verde Puro 250g,S/ 11.80,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,250.0,g,11.8
"Ensalada de Frutas Piña, Sandía y Papaya Natifrut 340g",S/ 9.49,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,340.0,g,9.49
Ensalada Vietnamita Mattson 450 g,S/ 19.90,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,450.0,g,19.9
Ensalada Festiva Wong Bandeja 350 g,S/ 23.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,350.0,g,23.5
Ensalada de Col con Aliño 400g,S/ 15.80,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,400.0,g,15.8
Ensalada Vietnamita Mattson 240g,S/ 12.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,240.0,g,12.5
Ensalada Mix de Lechugas Mattson 130g,S/ 11.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,130.0,g,11.5
Ensalada Clásica La Buena Pepa 380g,S/ 12.50,wong,MANTEQUILLA ENVASADA,2024-12-04 19:18:47.447896,380.0,g,12.5
