brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
PEDIGREE,Alimento para cachorro de 2 kg,S/ 40.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2.0,kg,40.9
PRECIO UNO,ALIMENTO COMPLETO PARA PERRO CACHORRO 2 KG,S/ 15.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2.0,kg,15.9
PEDIGREE,Alimento para perro adulto de 2 kg,S/ 40.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2.0,kg,40.9
PRECIO UNO,Alimento Para Perro Adulto x 1 Kg,S/ 7.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.0,kg,7.5
PURINA ONE,Alimento Perro Adulto Mediano Grande Carne 12 Kg,S/ 215,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,12.0,kg,215.0
PURINA,Alimento seco para perros Dogui Adultos 8 kg,S/ 69.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,8.0,kg,69.9
PURINA,Alimento seco para perros Dogui Adultos 3 kg,S/ 30.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,3.0,kg,30.9
PURINA,Alimento seco para perros Dogui Adultos 1.5 kg,S/ 15.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.5,kg,15.9
PURINA,Alimento seco para perros Dogui Cachorros 1.5 kg,S/ 15.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.5,kg,15.9
PURINA,Alimento seco para perros Dogui Cachorros 3 kg,S/ 30.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,3.0,kg,30.9
PURINA,Alimento seco para perros Dogui Cachorros 8 kg,S/ 69.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,8.0,kg,69.9
PEDIASURE,Suplemento Nutricional Plus Triplesure Sabor Vainilla 900 g,S/ 107.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,900.0,g,107.9
PEDIASURE,TRIPLESURE CHOCOLATE X 1.6 KG,S/ 169.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.6,kg,169.9
PRECIO UNO,Alimento para Perros Adultos Sabor Carne y Cereales 16 kg,S/ 84.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,16.0,kg,84.9
ENFAGROW,Alimento lácteo Premium Etapa 2 Promental Confort 800 g,S/ 99.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,800.0,g,99.9
CAT CHOW,Alimento para Gatos Gatitos en bolsa de 1 kg,S/ 26.50,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.0,kg,26.5
PRECIO UNO,Alimento para Perros Adultos Sabor Carne y Cereales 2 kg,S/ 12.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,2.0,kg,12.9
ENSURE,Advance 850 g,S/ 107.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,850.0,g,107.9
MILO,Alimento granulado Activ Go en lata de 380 g,S/ 19.90,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,380.0,g,19.9
ENFAGROW,Alimento lácteo Premium Promental Preescolar Etapa 4 sabor vainilla 1.1 Kg,S/ 99,tottus,ALIMENTOS EN CUBITOS,2024-12-04 13:52:02.031614,1.1,kg,99.0
