description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Infusión de Jamaica y Piña Sunka 20un,,20.0,un,9.9,wong,2024-12-07 17:37:58.183202,PIÑA,20.0,un,9.9,PIÑA
Mermelada DELGA-C Piña 0% Azúcar Frasco 310Gr,DELGA-C,310.0,g,10.0,vivanda,2024-12-07 14:25:47.164368,PIÑA,310.0,g,10.0,PIÑA
Twopack Gelatina en Polvo Royal Sabor Piña 160g,,160.0,g,10.4,wong,2024-12-07 17:37:58.183202,PIÑA,160.0,g,10.4,PIÑA
Yogurt Sin Lactosa Danlac Line Piña Pitahaya 900g,,900.0,g,10.5,metro,2024-12-07 20:27:41.757272,PIÑA,900.0,g,10.5,PIÑA
Yogurt Sin Lactosa Danlac Line Piña Pitahaya 900g,,900.0,g,10.5,wong,2024-12-07 17:37:58.183202,PIÑA,900.0,g,10.5,PIÑA
Gaseosa Sabor Piña Concordia Pack 6 Botellas de 500ml c/u,,500.0,ml,10.6,wong,2024-12-07 17:37:58.183202,PIÑA,500.0,ml,10.6,PIÑA
Yogurt Bebible Ecologic Sabor Piña 1L,,1.0,l,10.7,wong,2024-12-07 17:37:58.183202,PIÑA,1.0,l,10.7,PIÑA
Yogurt Bebible Ecologic Sabor Piña 1L,,1.0,l,10.7,metro,2024-12-07 20:27:41.757272,PIÑA,1.0,l,10.7,PIÑA
Pack x3 Agua de Piña Light Golden Botella 485ml,,485.0,ml,10.99,wong,2024-12-07 17:37:58.183202,PIÑA,485.0,ml,10.99,PIÑA
Pack x3 Agua de Piña Golden Botella 485ml,,485.0,ml,11.89,metro,2024-12-07 20:27:41.757272,PIÑA,485.0,ml,11.89,PIÑA
Pack x3 Agua de Piña Golden Botella 485ml,,485.0,ml,11.89,wong,2024-12-07 17:37:58.183202,PIÑA,485.0,ml,11.89,PIÑA
Pack x3 Agua de Piña Light Golden Botella 485ml,,485.0,ml,11.89,metro,2024-12-07 20:27:41.757272,PIÑA,485.0,ml,11.89,PIÑA
Queso Rulo Cabra MARQUES DEL CASTILLO con Piña Paquete 110g,MARQUÉS DEL CASTILLO,110.0,g,11.9,vivanda,2024-12-07 14:25:47.164368,PIÑA,110.0,g,11.9,PIÑA
Piña Golden Madura,,2.5,kg,11.9,plaza_vea,2024-12-07 13:57:38.890091,PIÑA,2.5,kg,11.9,PIÑA
Queso Rulo Cabra MARQUES DEL CASTILLO con Piña...,,110.0,g,11.9,plaza_vea,2024-12-07 13:57:38.890091,PIÑA,110.0,g,11.9,PIÑA
Agua de Piña con Arándanos Light Golden 1L,,1.0,l,11.99,metro,2024-12-07 20:27:41.757272,PIÑA,1.0,l,11.99,PIÑA
Caja Krea Plástica 6L Infantil Piñas,,6.0,l,12.0,metro,2024-12-07 20:27:41.757272,PIÑA,6.0,l,12.0,PIÑA
Caja Krea Plástica 6L Infantil Piñas,,6.0,l,12.0,wong,2024-12-07 17:37:58.183202,PIÑA,6.0,l,12.0,PIÑA
Piña en Trozos BALI Lata 567g,BALI,567.0,g,12.2,vivanda,2024-12-07 14:25:47.164368,PIÑA,567.0,g,12.2,PIÑA
Piña en Rodajas BALI Lata 567g,BALI,567.0,g,12.2,vivanda,2024-12-07 14:25:47.164368,PIÑA,567.0,g,12.2,PIÑA
Piña Orgánica Golden x kg,,1.0,kg,12.49,wong,2024-12-07 17:37:58.183202,PIÑA,1.0,kg,12.49,PIÑA
Pack Bebida FRUGOS Piña y Mandarina Caja 1L + Focaccia de Aceituna Refrigerada LA FLORENCIA 1un,FRUGOS,1.0,l,12.6,vivanda,2024-12-07 14:25:47.164368,PIÑA,1.0,l,12.6,PIÑA
