description,price,website,search_term,scrape_timestamp
Manzana Verde x kg,S/ 8.16 x kg,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Manzana Roja x kg,S/ 8.19 x kg,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Manzana Delicia Kinder x kg,S/ 6.29 x kg,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Manzana Pink Lady x kg,S/ 8.99 x kg,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Manzana Royal Gala x kg,S/ 7.99 x kg,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Manzana Israel Añawi Metro x kg,S/ 3.39 x kg,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Manzana Rayada Metro x kg,S/ 3.59 x kg,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Manzana Fuji x kg,S/ 8.99 x kg,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Manzana Americana Royal Gala x kg,S/ 8.99 x kg,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Party Box Manzana,S/ 29.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Manzanas Deshidratadas Wel-B 12g,S/ 8.70,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Pera Packhams x kg,S/ 6.39 x kg,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Lavavajilla en Pasta Sapolio Manzana 800g,S/ 6.00,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Sixpack Bebida con Gas San Luis Manzana Botella 625ml,S/ 13.20,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Suavizante de Telas Suavitel Cuidado Superior Frescura de Manzana 2.3L,S/ 18.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Lavavajilla Líquida Sapolio Manzana 1.25 L,S/ 13.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Membrillo x kg,S/ 12.14 x kg,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Vinagre de Sidra de Manzana Orgánico Bragg Botella 946 ml,S/ 38.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Sixpack Bebida con Gas San Luis Manzana Botella 625ml,S/ 13.20,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Pera Canela Importada x kg,S/ 7.99 x kg,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Vinagre de Manzana Frasco 500 ml,S/ 11.80,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Vinagre de Sidra de Manzana Orgánico Bragg Botella 473 ml,S/ 22.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Sixpack Bebida de Manzana Frugos del Valle Caja 235ml,S/ 7.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Bebida de Manzana Frugos del Valle Caja 1.5L,S/ 5.50,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Ambientador Glade Aerosol Manzana Canela 400ml,S/ 10.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Bebida Con Gas San Luis Manzana Botella 625ml,S/ 2.20,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Avena Con Manzana Instantánea Santa Catalina Bolsa 150 g,S/ 5.80,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
"Jugo de Arándano, Uva y Manzana Bio Botella 300ml",S/ 3.60,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Tarta de Manzana,S/ 25.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Barras de Cereales Cereal Bar Manzana y Canela 12un,S/ 6.60,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Aromatizador Glade Cubo Manzana Canela,S/ 11.00,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Lavavajillas en Pasta Home Care Manzana 800g,S/ 5.50,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Jabón Líquido para Manos Palmolive Flor de Manzana & Gardenia 800ml,S/ 15.40,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Vinagre de Sidra de Manzana De Nigris Botella 1 Lt,S/ 19.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Gaseosa Fanta Beetlejuice Manzana Verde Botella 500ml,S/ 2.70,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Galleta de Arroz Baby Mum-Mum Manzana Caja 50 gr,S/ 13.95,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Ambientador Glade en Gel bolsa Manzana Canela 30g,S/ 4.30,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
"Bebida de Manzana, Aguaje y Cocona Bio Botella 300ml",S/ 3.60,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Jugo de Manzana y Camu Camu Bio Botella 300ml,S/ 3.60,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Lavavajilla Líquida Sapolio Manzana Frasco 750 ml,S/ 9.50,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
"Bebida de Manzana, Aguaymanto y Carambola Bio Amayu Botella 300ml",S/ 3.60,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Bebida de Manzana Frugos del Valle Caja 970ml,S/ 3.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Lavavajillas Líquido Eco House Manzana 900ml,S/ 16.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Vinagre de Sidra de Manzana Orgánico De Nigris Botella 500 ml,S/ 12.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Puré de Manzana Cuisine&Co Frasco 850 g,S/ 9.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Ambientador Glade Aceites Naturales Manzana Canela 2 repuestos 42ml,S/ 33.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Vinagre de Manzana Olivos Del Sur Botella 500 ml,S/ 15.20,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Shampoo Head & Shoulders Manzana Fresh 375ml,S/ 18.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Puré de Frutas Orgánico Manzana AMA Pouch 90 g,S/ 4.90,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Ambientador Glade Automático en Aerosol Repuesto Manzana y Canela 175g,S/ 36.80,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
Vinagre de Manzana Perú Pride Botella 500 ml,S/ 13.50,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
"Sixpack Galletas +Nutri Co Quinua Manzana, Avena y Canela 30g",S/ 15.60,metro,MANZANA CORRIENTE,2024-12-04 14:29:50.935807
