description,price,website,search_term,scrape_timestamp
Pan Francés Precocido Cuisine & Co 6un,S/ 5.52,metro,PAN FRANCÉS,2024-12-04 13:25:10.111268
Pan Francés Especial 5un,S/ 3.90,metro,PAN FRANCÉS,2024-12-04 13:25:10.111268
Pan Francés Precocido 10un,S/ 5.90,metro,PAN FRANCÉS,2024-12-04 13:25:10.111268
