description,price,website,search_term,scrape_timestamp
Galletas Saladas Cream Crackers 258g,S/ 6.60,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Galletas Saladas Jamón Ahumado Crackelet Costa Bolsa 150 gr,S/ 3.90,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Galletas Saladas Ritz Mini 50g,S/ 1.50,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Galletas Saladas Ducales 241g,S/ 5.70,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Galletas Saladas Doré Paquete 24 g Pack 6 unid,S/ 5.80,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Galletas Saladas Ritz Original 52.5g,S/ 1.90,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Galletas Saladas Doré 230g,S/ 6.00,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Galletas Saladas Ritz 70g,S/ 2.00,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Pack x3 Sixpack Galletas Saladas Ritz Sandwich Sabor Queso 30g,S/ 14.97,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Pack x3 Sixpack Galletas Saladas Ritz Original 20g,S/ 12.90,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Sixpack Galletas Saladas Ritz Original 20g,S/ 4.00,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Sixpack Galletas Saladas Club Social Original 24g,S/ 4.60,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Sixpack Galletas Saladas Ritz Sandwich Sabor Queso 30g,S/ 4.90,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Tripack Sixpack Galletas Saladas Club Social Original 24g,S/ 13.80,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Sixpack Galletas Saladas Club Social Integral 24g,S/ 4.60,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Pack x2 Sixpack Galletas Saladas Ritz Original 20g,S/ 8.60,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Papas Fritas Onduladas Saladas Cuisine & Co Bolsa 150 gr,S/ 5.50,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Cancha Chulpi Salada Cuisine & Co Bolsa 100 g,S/ 3.90,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,S/ 5.20,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Tripack Galletas Saladas Ritz Original 52.5g,S/ 5.30,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Almendras Saladas Cuisine&Co Pote 200 g,S/ 18.50,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Pack x6 Galletas Saladas Horneadas Cuisine & Co Gustits 21g,S/ 2.90,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Pack x2 Sixpack Galletas Saladas Ritz Sandwich Sabor Queso 30g,S/ 9.98,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Tripack Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,S/ 15.60,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Tripack Sixpack Galletas Saladas Club Social Integral 24g,S/ 13.80,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Twopack Sixpack Galletas Saladas Club Social Integral 24g,S/ 9.20,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Twopack Sixpack Galletas Saladas Club Social Original 24g,S/ 9.20,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Twopack Sixpack Galletas Saladas Ritz Sandwich Sabor Queso 30g,S/ 9.98,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
Twopack Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,S/ 10.40,metro,GALLETAS SALADAS,2024-12-04 13:31:04.902336
