description,price,website,search_term,scrape_timestamp
Mondongo Picado para Cau Cau x kg,S/ 16.90 x kg,metro,MONDONGO DE RES,2024-12-04 13:55:52.361981
Mondongo Picado a La Italiana x kg,S/ 16.90 x kg,metro,MONDONGO DE RES,2024-12-04 13:55:52.361981
Mondongo Cau Cau Schilcayo 1kg,S/ 16.90,metro,MONDONGO DE RES,2024-12-04 13:55:52.361981
Mondongo Picado a La Italiana Bolsa 1 kg,S/ 11.90,metro,MONDONGO DE RES,2024-12-04 13:55:52.361981
Mondongo Picado para Cau Cau Bolsa 1 kg,S/ 11.90,metro,MONDONGO DE RES,2024-12-04 13:55:52.361981
