description,price,website,search_term,scrape_timestamp
Cebolla China x atado,S/ 3.29,metro,CEBOLLA CHINA,2024-12-04 14:51:57.647114
Cebolla China Manantiales 200g,S/ 3.59,metro,CEBOLLA CHINA,2024-12-04 14:51:57.647114
Cebolla China Viva,S/ 5.80,metro,CEBOLLA CHINA,2024-12-04 14:51:57.647114
