description,price,website,search_term,scrape_timestamp
Torta Delicia de Moka 10 Porciones,S/ 19.88,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Helada de Fresa 20 Porciones,S/ 41.18,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Chocolate 16 Porciones,S/ 36.68,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches 16 Porciones,S/ 47.18,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Chocolate con Manjar 10 Porciones,S/ 19.88,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Selva Negra 20 Porciones,S/ 53.18,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Torbellino de Chocolate 10 Porciones,S/ 26.50,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tentación de Lúcuma 16 Porciones,S/ 41.18,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Alemana con Cerezas 20 Porciones,S/ 55.43,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Helada de Fresa 10 Porciones,S/ 25.40,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tentación de Moka 20 Porciones,S/ 47.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Fresa y Coco 16 Porciones,S/ 57.52,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Chocolate 20 Porciones,S/ 44.93,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Rectangular Chocolate 7 Porciones,S/ 15.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Selva Negra Cuisine & Co 16 Porciones,S/ 45.68,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches de Chocolate 16 Porciones,S/ 53.93,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Rectangular Vainilla y Fresa 7 Porciones,S/ 11.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Festival Fresa 10 Porciones,S/ 21.20,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Chantilly 20 Porciones,S/ 73.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Chocococo 16 Porciones,S/ 54.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Alemana con Cerezas 16 Porciones,S/ 44.93,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Rectangular Tres Leches 7 Porciones,S/ 15.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Chocolate 10 Porciones,S/ 27.68,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches 10 Porciones,S/ 36.68,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Helada Tricolor,S/ 51.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Festival Caramel 10 Porciones,S/ 21.20,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Helada de Duraznos 20 Porciones,S/ 54.90,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta de Chocolate con Manjar 20 Porciones,S/ 44.93,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Rectangular Selva Negra 7 Porciones,S/ 15.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Selva Negra Cuisine & Co 12 Porciones,S/ 43.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Delicia de Vainilla 20 Porciones,S/ 47.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Charlotte de Chocolate 20 Porciones,S/ 47.92,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches de Maracuyá 16 Porciones,S/ 53.93,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
Torta Tres Leches Fresa y Coco 10 Porciones,S/ 37.43,metro,TORTA (ENTERA),2024-12-04 13:36:39.401736
