description,price,website,search_term,scrape_timestamp
Beterraga x atado,S/ 3.49,metro,BETARRAGA,2024-12-04 14:51:52.846755
Mini Pan de Hamburguesa con Beterraga Wong 12un,S/ 10.90,metro,BETARRAGA,2024-12-04 14:51:52.846755
Ensalada de Zanahoria y Beterraga La Buena Pepa 450g,S/ 15.50,metro,BETARRAGA,2024-12-04 14:51:52.846755
Pan Hamburguesa con Beterraga Wong 4un,S/ 10.90,metro,BETARRAGA,2024-12-04 14:51:52.846755
