description,price,website,search_term,scrape_timestamp
Plátano de Seda Metro x kg,S/ 2.99 x kg,metro,PLÁTANO DE SEDA,2024-12-04 14:32:40.973118
Plátano de Seda Tipo Exportación en Bolsa x kg,S/ 6.39 x kg,metro,PLÁTANO DE SEDA,2024-12-04 14:32:40.973118
Platano de Seda x kg,S/ 2.99 x kg,metro,PLÁTANO DE SEDA,2024-12-04 14:32:40.973118
