description,price,website,search_term,scrape_timestamp
Margarina Sello de Oro Barra 200g,S/ 4.30,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina Manty Clásica 300g,S/ 4.40,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina Sello de Oro Pote 400g,S/ 8.40,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina Sello de Oro Barra 90g,S/ 2.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina Dorina Clásica 450g,S/ 10.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina Dorina Light Pote 450 g,S/ 10.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina Laive Swis 200g,S/ 4.80,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina Laive Swis 450g,S/ 11.40,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina Dorina Clásica 220g,S/ 6.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina Dorina Clásica 900g,S/ 19.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina La Danesa 500g,S/ 15.60,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina Manty Pote 90 g,S/ 2.38,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina Sello de Oro Pote 200g,S/ 5.20,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Margarina Laive Swis 90g,S/ 3.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla con Sal Gloria 390g,S/ 17.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla con Sal Laive 180g,S/ 10.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla con Sal Gloria 180g,S/ 9.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla Gloria Sin Sal 180g,S/ 9.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla Plusa Con Sal Barra 200 g,S/ 12.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Crema a Base de Mantequilla Laive 350g,S/ 13.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla con Sal Gloria 180g,S/ 10.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla con Sal Laive 180g,S/ 13.99,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla con Sal Gloria 90g,S/ 6.40,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla con Sal Danlac Frasco 180g,S/ 16.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla Sin Sal Laive 180g,S/ 10.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Crema de Mantequilla Light Laive 180g,S/ 13.99,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla con Sal Laive 100g,S/ 7.60,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Crema a Base de Mantequilla Laive 90g,S/ 4.60,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla con Sal Gloria 50g,S/ 3.70,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla con Sal Président Barra 200 gr,S/ 20.70,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla sin Sal Président Barra 200g,S/ 20.70,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla Asturiana 125g,S/ 16.70,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla La Chuguranita Barra 150 g,S/ 14.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla Sin Sal Arias 235g,S/ 32.80,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mantequilla con Sal Arias 235g,S/ 32.80,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mandarina Costa x kg,S/ 5.69 x kg,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mandarina con Pepa kg,S/ 3.99 x kg,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada Rusa Green Food 400g,S/ 4.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Metro Ensalada Fresca Delivery,S/ 14.99,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada Fresca 380g,S/ 13.70,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada Fresca 320g,S/ 11.70,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada Fresca Metro 100g,S/ 6.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada Clásica La Buena Pepa 380g,S/ 12.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada de Zanahoria y Beterraga La Buena Pepa 450g,S/ 15.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada Parrillera Ecologic x 400 g,S/ 6.70,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada Rusa Cuisine & Co 400g,S/ 10.80,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada Cesar's Verde Puro 250g,S/ 10.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada Personal Verde Puro 140g,S/ 6.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada Cesar Wong x Unid,S/ 14.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada Primavera Cuisine & Co 400g,S/ 10.80,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ensalada Rusa Precocida Congelada Green Food Bolsa 1 Kg,S/ 12.68,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Brócoli Metro x kg,S/ 7.99 x kg,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Zapallo Macre x kg,S/ 1.99 x kg,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Pepinillo x un,S/ 2.80,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Apio x Atado Cuisine & Co,S/ 1.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Beterraga x atado,S/ 3.49,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Sixpack Galletas Margarita 46.5g,S/ 5.20,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Apio x atado,S/ 1.89,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Zapallito Italiano x un,S/ 2.79,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Caigua x un,S/ 0.59,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Poro x un,S/ 1.49,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Espárragos Atado 250g,S/ 7.99,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Pasta para Ensalada Molitalia Tornillo Especial 235g,S/ 3.10,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Salsa de Ají Amarillo Envasado 550 g,S/ 18.10,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Rabanito La Caserita 500g,S/ 3.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Apio Hipodrónico Ecologic x un,S/ 6.30,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Berenjena x un,S/ 4.19,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Nabo x kg,S/ 3.19 x kg,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 3.78 lt",S/ 10.63,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Coliflor Trozada,S/ 6.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Rabanito Fitz Bolsa,S/ 4.39,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Tripack Jabón en Barra Palmolive Mandarina y Romero 110g,S/ 9.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Floretes de Brócoli 500g aprox,S/ 7.49,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 3L",S/ 7.10,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Verduras Picadas para Ensalada Rusa Cuisine & Co 600g,S/ 13.00,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Coliflor Serrano 600g,S/ 6.00,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Alcachofa con Espinas Metro x unid,S/ 5.99,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ají Amarillo en Pasta Arezzo 500g,S/ 10.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Bebida de Piña y Mandarina Frugos del Valle Caja 1L,S/ 4.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Mixtura Ensalada Green Food 400g,S/ 6.00,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Coliflor Entera x un,S/ 7.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Pollo Rostizado + Papas Fritas + Ensalada + Gaseosa Inca Kola Sin Azúcar 1.5L,S/ 44.99,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Bebida en Polvo Clight Sin Calorías Sabor Mandarina 14g,S/ 2.30,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Bebida Rehidratante Gatorade Mandarina Botella 500ml,S/ 2.40,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Alcachofa con Espinas x unid,S/ 5.99,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Crema de Ajo Wong 500g,S/ 21.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ajos en Pasta Arezzo 500g,S/ 25.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Plumón Krea Estampada Microfibra 130gsm 2 Plazas Margarita,S/ 59.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Verduras Picadas para Ensalada Mixta Cuisine & Co 600g,S/ 14.00,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Yogurt Bebible Oquendo Sabor Mandarina - Maracuyá Bolsa 946ml,S/ 5.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Crema de Ajo Wong 220g,S/ 12.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ají Especial de la Casa Arezzo 500g,S/ 12.60,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Berengena Hidropónica Ecológica x Unidad,S/ 4.40,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Sixpack Bebida Frugos del Valle Piña Mandarina Caja 235ml,S/ 7.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Salsa Culantrito con Espinaca Envasado 550 g,S/ 15.20,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ají Panca en Pasta Arezzo 500g,S/ 8.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Espárrago Verde Entero La Huerto Bandeja 330 g,S/ 11.19,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Plumón Krea Estampada Microfibra 130gsm Queen Plaza Margarita,S/ 65.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Poro Fitz x unid,S/ 4.39,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 1.87 lt",S/ 7.10,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Pollo Rostizado + Papas Fritas + Ensalada + Chicha Morada Naturale 1L,S/ 45.99,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Crema de Ají Amarillo Wong 500g,S/ 15.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Encurtido de Rabanito Metro 250g,S/ 8.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ajo en Pasta Envasado 550 g,S/ 31.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Pollo Rostizado + Papas Fritas + Ensalada,S/ 38.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 500 ml",S/ 1.70,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ají De La Casa Metro 100g,S/ 3.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 1.5 lt",S/ 4.00,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Puntas de Espárragos Paquete 250 g,S/ 12.49,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Zapallo Loche x kg,S/ 24.99 x kg,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Verduras para Ensalada Mixta Don Verde 250g,S/ 8.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Crema de Ají Amarillo Wong 220g,S/ 8.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Zapallo Bebé Metro x kg,S/ 8.49 x kg,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Encurtido de Nabo Metro 250g,S/ 9.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Ají Pollero Adelmi 100g,S/ 2.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Aderezo de Pavo Cuisine & Co 500g,S/ 11.90,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Verduras Picadas para Ensalada de Brócolo Cuisine & Co 500g,S/ 11.00,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Aderezo de Pavo Arezzo 500g,S/ 9.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Bebida Rehidratante Suerox Sabor Naranja - Mandarina Botella 630ml,S/ 6.50,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
Bebida Rehidratante Gatorade Mandarina Botella 750ml,S/ 4.99,metro,MARGARINA ENVASADA,2024-12-04 14:23:57.965328
