Market_id,Market_name,Market_cat_id,Market_cat_name,Market_cat_url,Product_name,Product_price,Product_description,scrape_timestamp
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Princesa Chocolate Relleno con Crema de Maní,2.9,Princesa chocolate relleno con crema de maní. Perfecto para cualquier momento del día ,2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Costa Barquillos Obsesión Rellenos con Crema de Chocolate,1.6,"Disfruta de estos deliciosos y crujientes barquillos, rellenos de crema de chocolate. Son perfectos para compartir con los que más quieres.",2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Hersheys Chocolate Blanco Cookies and Creme,2.6,"Deliciosa chocolatina con trozos de galleta que le aportan mucha textura y sabor. Perfecta para disfrutarla como postre después del almuerzo o para dar un rico, exquisito y lindo detalle con quien desees.",2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Hersheys Barra de Chocolate con Leche,2.6,"Disfruta con el delicioso y cremoso sabor de barras Hershey’s, exquisita versión de chocolate con leche. Perfecta para llevar a donde quieras que vayas y disfrutar de su original sabor.",2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Nestlé Wafer Con Crema Sublime Power,1.6,Bolsa.,2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Chocolate Canonazo Extra 39 G,1.8,CHOCOLATE CANONAZO EXTRA 39 G,2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json, Lentejas Gragea sabor Chocolate Confitado,2.9,Grageas sabor a chocolate confitado en forma de lentetejas. Perfecto para decorar tus postres o disfrutar solos.,2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Besos de Moza Galleta Sabor Vainilla y Merengue ,13.3,"Disfruta de una deliciosa galleta, que está compuesta de un trozo de merengue italiano, cubierto de chocolate amargo, perfecta para endulzarte en cualquier momento del día. Caja contiene 9 unidades por 24 gramos cada una. ",2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,La Ibérica Barra de Chocolate Milky con Cacao,5.7,"Deliciosa barra de chocolate con leche, con 40 % de cacao, te brinda una explosión de sabor en tu boca que no puedes dejar de probar.",2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Snickers Chocolate Peanut Butter,5.4,"Cuando buscas un refrigerio que realmente te satisfaga, el chocolate con mantequilla de maní, caramelo y turrón será la mejor opción.",2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Sorrento Trufa Bañada en Pasta Sabor Chocolate,2.2,"Disfruta de una deliciosa trufa bañada en chocolate, ideal para endulzarte y recargar tus días en cualquier momento.",2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Triángulo Barra de Chocolate con Leche,3.5,"Triángulo barra de chocolate con leche. Bolsa por 30 gramos. Ingredientes: azúcar, leche entera en polvo, manteca de cacao, masa de cacao, grasa vegetal, emulsionantes (Lecitina de soya y Ésteres poliglicéridos de ácido ricinoléico interesterificado) y saborizante. Ideal para compartir.",2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Sublime Chocolate Blanco con Maní,3.5,Una sonrisa puede cambiarlo todo. Disfruta de la perfecta combinación de chocolate blanco con maní.,2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Snickers Chocolatina en Barra,5.4,"Tiene un relleno de turrón y mantequilla de cacahuete con una cobertura de caramelo y cacahuetes troceados, cubierto con chocolate con leche. Sacia el antojo de algo exquisito que impactará tu paladar.",2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Mm's Peanut Butter 49.0g,5.3,MM'S PEANUT BUTTER 49.0G,2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Lifesavers Gomita de Caramelo Wild Berry,7.5,Sabor Wild Berry.,2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Bon Bon Bum Caramelo Chupete Sabor Fresa,0.5,Chupete Sabor Fresa 19 g,2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Life Savers Gomas Sabores Frutales,7.5,,2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,Olé Olé Marshmallow Sabor A Vainilla Con Cobertura De Chocolate,1.6,"Deliciosos masmelos sabor a vainilla con cobertura de chocolate, ideales para calmar esos antojos a la hora de consumir algo duce durante el día.",2024-12-04 13:49:36.249584
22885-oxxo-market,Oxxo,chocolates-y-dulces,Chocolates y Dulces,https://www.rappi.com.pe/_next/data/SQj6GD4SjvTQxRS33HKCi/es-PE/ssg/22885-oxxo-market/chocolates-y-dulces.json,FRUNA Caramelo Blando Sabor a Manzana,0.7,"Descubre el equilibrio perfecto entre dulzura y frescura con estos deliciosos caramelos blandos con sabor a manzana. Sumérgete en la jugosidad de cada caramelo, mientras disfrutas de la auténtica esencia de las manzanas en una delicia que deleitará a los amantes del dulce.",2024-12-04 13:49:36.249584
