Nombre,precio,website,scrape_timestamp
Inka Chips Papas Crujientes Sal de Mar,8.7,Listo,2024-12-02 13:34:07.877313
Crickets Chifle Sabor a Leche de Tigre,8.9,Listo,2024-12-02 13:34:07.877313
Crickets Chifles Salados,10.5,Listo,2024-12-02 13:34:07.877313
Pringles Papa Sola Original,9.9,Listo,2024-12-02 13:34:07.877313
Pringles Papa Crujiente Crema y Cebolla,9.9,Listo,2024-12-02 13:34:07.877313
Cheetos Botana de Maíz Horneada Sabor a Mega Queso,6.5,Listo,2024-12-02 13:34:07.877313
Tostitos Snack de Maíz Redondos,7.9,Listo,2024-12-02 13:34:07.877313
Tor-Tees Snack de Maíz Frito Clásico,6.9,Listo,2024-12-02 13:34:07.877313
Cheetos Snack de Maíz Sabor a Queso Flamin Hot Crunchy,6.2,Listo,2024-12-02 13:34:07.877313
Tor-Tees  Maíz Frito Picante en Hojuelas Bolsaza,7.4,Listo,2024-12-02 13:34:07.877313
Doritos Snacks de Maíz Sabor Queso Atrevido,6.5,Listo,2024-12-02 13:34:07.877313
Crickets Chips de Plátano con Sal ,8.9,Listo,2024-12-02 13:34:07.877313
Oreo Galleta de Chocolate Con Relleno Sabor Cookies & Cream,1.8,Listo,2024-12-02 13:34:07.877313
Gretel Galletas Sabor Chocolate ,1.6,Listo,2024-12-02 13:34:07.877313
Field Galleta Coronita Chocolate,1.5,Listo,2024-12-02 13:34:07.877313
Sublime Wafer Power,1.9,Listo,2024-12-02 13:34:07.877313
Oreo Galleta Vainilla,1.8,Listo,2024-12-02 13:34:07.877313
Field Galletas Mini Wafer Recubiertas de Chocolate Cua Cua,2.5,Listo,2024-12-02 13:34:07.877313
Picaras Galleta Clásica,1.5,Listo,2024-12-02 13:34:07.877313
Chips Ahoy Galletas Tamaño Mini con Chips de Chocolate,2.2,Listo,2024-12-02 13:34:07.877313
Costa Frac Clásica Sabor a Chocolate ,1.4,Listo,2024-12-02 13:34:07.877313
Morochas Galleta Sabor Vainilla con Chocolate,3.5,Listo,2024-12-02 13:34:07.877313
Pingüinos Pastel Cookies Cream,4.0,Listo,2024-12-02 13:34:07.877313
Picaras Galletas Bañadas con Cobertura de Chocolate,2.2,Listo,2024-12-02 13:34:07.877313
Chaplin Galletas Dulces Crocantes y Doradas ,2.9,Listo,2024-12-02 13:34:07.877313
Nik Galleta Wafer con Relleno Sabor a Fresa,2.2,Listo,2024-12-02 13:34:07.877313
Costa Nik Galletas Wafer Sabor a Vainilla,2.2,Listo,2024-12-02 13:34:07.877313
Frac Galletas de Chocolate con Crema de Vainilla,1.4,Listo,2024-12-02 13:34:07.877313
Glacitas Galletas Sabor a Toffee,1.9,Listo,2024-12-02 13:34:07.877313
Rellenitas Galletas Sándwich Sabor a Coco,1.2,Listo,2024-12-02 13:34:07.877313
Crickets Maní Confitado en Bolsa ,5.9,Listo,2024-12-02 13:34:07.877313
Vallealto Berry Crunch,5.2,Listo,2024-12-02 13:34:07.877313
Maní Karinto Crocante Picante,4.5,Listo,2024-12-02 13:34:07.877313
Granuts Mezcla con Arándanos y Almendras,4.2,Listo,2024-12-02 13:34:07.877313
Fochis Pasas Cubiertas de Chocolates,6.2,Listo,2024-12-02 13:34:07.877313
Karinto Maní Crocante y Salado,4.5,Listo,2024-12-02 13:34:07.877313
Granuts Mezcla de Frutos Secos con Arándanos,12.5,Listo,2024-12-02 13:34:07.877313
Vizzio Almendras Cubiertas con Chocolate ,8.9,Listo,2024-12-02 13:34:07.877313
Vallealto Mezcla de Frutos Secos Mix Up,7.9,Listo,2024-12-02 13:34:07.877313
Vallealto Snack Premium Cocktail Sin Maní Original,9.9,Listo,2024-12-02 13:34:07.877313
Vallealto Mix Tostado,6.9,Listo,2024-12-02 13:34:07.877313
Maní Karinto Salado,3.4,Listo,2024-12-02 13:34:07.877313
Vallealto Mix Berry Original ,8.9,Listo,2024-12-02 13:34:07.877313
