Nombre;precio;website;scrape_timestamp
Fideo Don Vittorio Spaghetti 450 g;4.9;Pedidos Ya;2024-12-02 06:35:14.947340
Pasta Corta Macarrón Bolsa 500 g;3.4;Pedidos Ya;2024-12-02 06:35:14.947340
Molitalia Codo Ray Mediano Molitalia 235 Gr;2.5;Pedidos Ya;2024-12-02 06:35:14.947340
Fideo Letras Molitalia 235 g;2.5;Pedidos Ya;2024-12-02 06:35:14.947340
Pasta Corta Tornillo Bolsa 500 g;3.4;Pedidos Ya;2024-12-02 06:35:14.947340
Mermelada Fresa Vaso Fanny 290 Gr;5.9;Pedidos Ya;2024-12-02 06:35:14.947340
Sémola Molitalia 200Gr;2.1;Pedidos Ya;2024-12-02 06:35:14.947340
Sirope Laive Sabor A Maple 355 mL;10.9;Pedidos Ya;2024-12-02 06:35:14.947340
Barras De Cereal Chips Cereal Bar Costa 21 Gr.;7.2;Pedidos Ya;2024-12-02 06:35:14.947340
Molitalia Canuto Molitalia 235 Gr;2.5;Pedidos Ya;2024-12-02 06:35:14.947340
Fideo Rigatoni Molitalia 235 g;2.5;Pedidos Ya;2024-12-02 06:35:14.947340
Quinua Costeño Bolsa 500G;10.9;Pedidos Ya;2024-12-02 06:35:14.947340
Fideo Linguine Molitalia 450 g;3.6;Pedidos Ya;2024-12-02 06:35:14.947340
Arroz Añejo Extra Costeño 750 g;4.7;Pedidos Ya;2024-12-02 06:35:14.947340
Pack Jamón Sándwich 230 g + Queso Edam 108 g San Fernando 1 unidad;14.9;Pedidos Ya;2024-12-02 06:35:14.947340
Lenteja Costeño Bolsa 500G;8.0;Pedidos Ya;2024-12-02 06:35:14.947340
Gelatina Laive Sabor Piña Yopi 120G;2.5;Pedidos Ya;2024-12-02 06:35:14.947340
Gelatina Laive Sabor Fresa Yopi Fourpack 120G;9.2;Pedidos Ya;2024-12-02 06:35:14.947340
Gelatina Laive Sabor Piña Yopi Fourpack 120G;9.2;Pedidos Ya;2024-12-02 06:35:14.947340
Arveja Verde COSTEÑO Bolsa 500g;4.9;Pedidos Ya;2024-12-02 06:35:14.947340
Sopa Instantanea Con Fideos Aji-No-Men Sabor Pollo 80Gr;2.1;Pedidos Ya;2024-12-02 06:35:14.947340
Pack 2 Arroz Extra Costeño Bolsa 750 g;10.4;Pedidos Ya;2024-12-02 06:35:14.947340
Pasta Lasagna Clásica Molitalia Caja 350 g;6.9;Pedidos Ya;2024-12-02 06:35:14.947340
Pre Mezcla Molitalia Keke Vainilla 450 gr;9.5;Pedidos Ya;2024-12-02 06:35:14.947340
Premezcla Torta De Chocolate Molitalia Paquete 500 g;9.5;Pedidos Ya;2024-12-02 06:35:14.947340
Harina Molitalia Repostera 1Kg;9.9;Pedidos Ya;2024-12-02 06:35:14.947340
Sazonador de Pop Corn Sabor Mantequilla Costeño Pops 81g;11.9;Pedidos Ya;2024-12-02 06:35:14.947340
Pack 2 Maíz Pop Corn Costeño Bolsa 500 g;11.8;Pedidos Ya;2024-12-02 06:35:14.947340
Arroz Añejo Costeño 5 kg;28.5;Pedidos Ya;2024-12-02 06:35:14.947340
Cereal Bar Gold;7.2;Pedidos Ya;2024-12-02 06:35:14.947340
Azúcar Rubia Costeño 750gr;6.5;Pedidos Ya;2024-12-02 06:35:14.947340
Sal de Cocina Marina Emsal Bolsa 1 kg;2.9;Pedidos Ya;2024-12-02 06:35:14.947340
Bolsa Manjar 500 G Nestle;13.9;Pedidos Ya;2024-12-02 06:35:14.947340
Trigo Mote Costeño Bolsa 500G;5.2;Pedidos Ya;2024-12-02 06:35:14.947340
Arroz Superior Paisana Bolsa 1 kg;5.5;Pedidos Ya;2024-12-02 06:35:14.947340
Azúcar Rubia Dulfina Bolsa 5 kg;22.9;Pedidos Ya;2024-12-02 06:35:14.947340
Sopa Instantánea Ajinomen Sabor a Gallina Picante Vaso 51 g;3.8;Pedidos Ya;2024-12-02 06:35:14.947340
Barras De Cereales Arándanos Cereal Bar Caja 8 Unid;7.2;Pedidos Ya;2024-12-02 06:35:14.947340
Barras De Cereal Manzana-Canela Cereal Bar Costa18 Gr.;7.2;Pedidos Ya;2024-12-02 06:35:14.947340
Aceite Vegetal Costeño 900 ML;9.9;Pedidos Ya;2024-12-02 06:35:14.947340
Arroz Extra Paisana Bolsa 5 Kg;25.9;Pedidos Ya;2024-12-02 06:35:14.947340
Mayonesa Alacena 190G;9.5;Pedidos Ya;2024-12-02 06:35:14.947340
Mermelada Fanny Fresa Doy Pack 227 G;4.5;Pedidos Ya;2024-12-02 06:35:14.947340
Cereal Nestlé Chocapic Mini 330 G;16.9;Pedidos Ya;2024-12-02 06:35:14.947340
Arroz Integral Costeño Bolsa 750G;5.7;Pedidos Ya;2024-12-02 06:35:14.947340
Frijol Canario COSTEÑO Bolsa 500g;11.5;Pedidos Ya;2024-12-02 06:35:14.947340
Garbanzos Costeño Bolsa 500 g;6.9;Pedidos Ya;2024-12-02 06:35:14.947340
Barras De Cereal Almendra Cereal Bar Costa 21Gr;11.9;Pedidos Ya;2024-12-02 06:35:14.947340
Frijol Panamito Costeño Bosa 500 g;8.0;Pedidos Ya;2024-12-02 06:35:14.947340
Fideo Linguini Grosso Don Vittorio 950g;7.9;Pedidos Ya;2024-12-02 06:35:14.947340
Leche Condensada Topping Tarro Nestlé 297 g;5.5;Pedidos Ya;2024-12-02 06:35:14.947340
Azucar Costeño Blanca 1 kg;7.5;Pedidos Ya;2024-12-02 06:35:14.947340
Barras De Cereal Con Mani Cereal Bar Costa 21Gr;11.94;Pedidos Ya;2024-12-02 06:35:14.947340
Frijol Negro Costeño Bolsa 500 g;8.0;Pedidos Ya;2024-12-02 06:35:14.947340
Granola con Miel de Abeja Unión Doypack 400 g;15.5;Pedidos Ya;2024-12-02 06:35:14.947340
Sopa Instantánea Sabor a Gallina Ajinomen Vaso 51 g;3.8;Pedidos Ya;2024-12-02 06:35:14.947340
