Market_name,Category_name,Product_name,Product_description,Product_price,Scrape_timestamp
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Con Fideos Aji-No-Men Sabor Gallina Picante 80Gr,,2.1,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Mermelada Gloria De Fresa Doypack 700G,,11.0,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Spaghetti Molitalia 450 Gr,"Contiene 450g.
Spaghetti de rápida cocción.
Elaborado con ingredientes de calidad",3.6,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Harina Molitalia Preparada 1Kg,,8.9,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Salsa A La Bolognesa Molitalia 170g,"Contiene 170 gramos.
Salsa de tomates con carne y verduras.
Elaborada con al menos 6 tomates",3.9,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Arroz Superior Costeño Bolsa 5Kg,"Contiene 5 kilos.
Arroz superior",26.5,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Molitalia Macarron Molitalia 235 Gr,,2.5,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Salsa De Espinaca Y Albahaca Pomarola Molitalia 110G,,3.5,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Molitalia Tornillo Molitalia 235 Gr,,2.5,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Fideo Don Vittorio Spaghetti 450 g,"Contiene 450 gramos.
Pasta de trigo.
Tipo: Spaghetti",4.9,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Mayonesa AlaCena Doypack 475 g,"Deliciosa y potente Mayonesa 500 g, perfecta para añadir a tus platos favoritos. Elaborada con selectos y naturales ingredientes.",14.9,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Salsa A La Bolognesa Molitalia 370g,"Contiene 370 gramos.
Salsa de tomates con carne y verduras.
Elaborada con al menos 6 tomates",7.2,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Molitalia Caracol Chico Molitalia 235 Gr,,2.5,2024-12-08 23:54:51.521333
