description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Refresco Instantáneo Sabores de Mi Tierra Limonada Sobre 15 g,S/ 1.20,metro,GELATINA (PARA PREPARAR),2024-12-05 16:43:22.628944,15.0,g,Refresco Instantáneo Sabores de Mi Tierra Limonada Sobre,1.2,metro,,GELATINA (PARA PREPARAR)
Refresco Instantáneo Sabor Maracuyá Sobre 15 g,S/ 1.20,metro,GELATINA (PARA PREPARAR),2024-12-05 16:43:22.628944,15.0,g,Refresco Instantáneo Sabor Maracuyá Sobre,1.2,metro,,GELATINA (PARA PREPARAR)
Gelatina Bebible UMSHA Fresa Bolsa 20g,S/ 1.30,vivanda,GELATINA (PARA PREPARAR),2024-12-05 22:29:38.041609,20.0,g,Gelatina Bebible UMSHA Fresa Bolsa,1.3,vivanda,UMSHA,GELATINA (PARA PREPARAR)
Gelatina Bebible Umsha Frutísimos Sabor Piña 20g,S/ 1.60,metro,GELATINA (PARA PREPARAR),2024-12-05 16:43:22.628944,20.0,g,Gelatina Bebible Umsha Frutísimos Sabor Piña,1.6,metro,,GELATINA (PARA PREPARAR)
Gelatina Bebible Umsha Frutísimos Sabor Fresa 20g,S/ 1.60,wong,GELATINA (PARA PREPARAR),2024-12-05 19:21:03.513584,20.0,g,Gelatina Bebible Umsha Frutísimos Sabor Fresa,1.6,wong,,GELATINA (PARA PREPARAR)
Refresco Instantáneo Umsha Frutísimos Sabor Chicha Morada 20g,S/ 1.60,metro,GELATINA (PARA PREPARAR),2024-12-05 16:43:22.628944,20.0,g,Refresco Instantáneo Umsha Frutísimos Sabor Chicha Morada,1.6,metro,,GELATINA (PARA PREPARAR)
Gelatina Yopi Sabor Fresa 120g,S/ 2.20,wong,GELATINA (PARA PREPARAR),2024-12-05 19:21:03.513584,120.0,g,Gelatina Yopi Sabor Fresa,2.2,wong,,GELATINA (PARA PREPARAR)
Gelatina Yopi Sabor Piña 120g,S/ 2.20,metro,GELATINA (PARA PREPARAR),2024-12-05 16:43:22.628944,120.0,g,Gelatina Yopi Sabor Piña,2.2,metro,,GELATINA (PARA PREPARAR)
Gelatina Yopi Sabor Fresa 120g,S/ 2.20,metro,GELATINA (PARA PREPARAR),2024-12-05 16:43:22.628944,120.0,g,Gelatina Yopi Sabor Fresa,2.2,metro,,GELATINA (PARA PREPARAR)
Gelatina Yopi Sabor Naranja 120g,S/ 2.20,metro,GELATINA (PARA PREPARAR),2024-12-05 16:43:22.628944,120.0,g,Gelatina Yopi Sabor Naranja,2.2,metro,,GELATINA (PARA PREPARAR)
Bebida en Polvo Clight Sin Calorías Sabor Mandarina 14g,S/ 2.30,metro,GELATINA (PARA PREPARAR),2024-12-05 16:43:22.628944,14.0,g,Bebida en Polvo Clight Sin Calorías Sabor Mandarina,2.3,metro,,GELATINA (PARA PREPARAR)
Flan UMSHA Sabor a Flan Bolsa 90gr,S/ 2.30,vega,GELATINA (PARA PREPARAR),2024-12-05 13:20:34.306969,90.0,g,Flan UMSHA Sabor a Flan Bolsa r,2.3,vega,UMSHA,GELATINA (PARA PREPARAR)
