description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Gaseosa SEVEN UP Lima Limón Botella 500ml,S/ 2.20,vivanda,LIZA,2024-12-05 21:48:22.911322,500.0,ml,Gaseosa SEVEN UP Lima Limón Botella,2.2,vivanda,SEVEN UP,LIZA
Papel de Seda 50 x 70cm Benji 5un. Lila,S/ 2.50,wong,LIZA,2024-12-05 18:10:13.860724,5.0,un,Papel de Seda 50 x 70cm Benji . Lila,2.5,wong,,LIZA
Velas Lisas Rayas Dorado Plata Rosa 8 Unidades,S/ 4.50,metro,LIZA,2024-12-05 15:38:33.131968,8.0,un,Velas Lisas Rayas Dorado Plata Rosa ades,4.5,metro,,LIZA
Lima de Cartón para Uñas BOREAL Paquete 12un,S/ 4.90,vivanda,LIZA,2024-12-05 21:48:22.911322,12.0,un,Lima de Cartón para Uñas BOREAL Paquete,4.9,vivanda,BOREAL,LIZA
Ligas Foggy para Cabello 4un,S/ 4.90,wong,LIZA,2024-12-05 18:10:13.860724,4.0,un,Ligas Foggy para Cabello,4.9,wong,,LIZA
First Essentials Biberón Ortodóntico Flujo M Lila 240ml,S/ 5.97,metro,LIZA,2024-12-05 15:38:33.131968,240.0,ml,First Essentials Biberón Ortodóntico Flujo M Lila,5.97,metro,,LIZA
Ligas para Cabello Goody 10un,S/ 6.10,metro,LIZA,2024-12-05 15:38:33.131968,10.0,un,Ligas para Cabello Goody,6.1,metro,,LIZA
Gaseosa Sprite Lima Limón Botella 2.25L,S/ 6.40,metro,LIZA,2024-12-05 15:38:33.131968,2.25,l,Gaseosa Sprite Lima Limón Botella,6.4,metro,,LIZA
Gaseosa Sprite Lima Limón Botella 3L,S/ 6.90,wong,LIZA,2024-12-05 18:10:13.860724,3.0,l,Gaseosa Sprite Lima Limón Botella,6.9,wong,,LIZA
Gaseosa SEVEN UP Lima Limón Botella 3L,S/ 6.90,vivanda,LIZA,2024-12-05 21:48:22.911322,3.0,l,Gaseosa SEVEN UP Lima Limón Botella,6.9,vivanda,SEVEN UP,LIZA
Limas de Uñas Limader 2 un,S/ 7.10,wong,LIZA,2024-12-05 18:10:13.860724,2.0,un,Limas de Uñas Limader,7.1,wong,,LIZA
