description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Salsa Blanca Casa Verde 150g,S/ 4.60,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,150.0,g,Salsa Blanca Casa Verde,4.6,metro,,VAINITA VERDE (AMERICANA)
Crema De Rocoto CASA VERDE Doypack 75g,S/ 4.60,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,75.0,g,Crema De Rocoto CASA VERDE Doypack,4.6,vivanda,CASA VERDE,VAINITA VERDE (AMERICANA)
Salsa Blanca Casa Verde 150g,S/ 4.60,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,150.0,g,Salsa Blanca Casa Verde,4.6,wong,,VAINITA VERDE (AMERICANA)
Crema de Rocoto 75g,S/ 4.60,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,75.0,g,Crema de Rocoto,4.6,wong,,VAINITA VERDE (AMERICANA)
Ají Pollero 75g,S/ 4.70,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,75.0,g,Ají Pollero,4.7,wong,,VAINITA VERDE (AMERICANA)
Ají Pollero CASA VERDE Doypack 75g,S/ 4.70,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,75.0,g,Ají Pollero CASA VERDE Doypack,4.7,vivanda,CASA VERDE,VAINITA VERDE (AMERICANA)
Frijol Panamito TESORO VERDE Bolsa 500g,S/ 4.80,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,500.0,g,Frijol Panamito TESORO VERDE Bolsa,4.8,vivanda,TESORO VERDE,VAINITA VERDE (AMERICANA)
Vainita Seleccionada Villa Nova 300g,S/ 4.90,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,300.0,g,Vainita Seleccionada Villa Nova,4.9,wong,,VAINITA VERDE (AMERICANA)
Compota de Arándano con Quinua Casa Verde 120g,S/ 4.99,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,120.0,g,Compota de Arándano con Quinua Casa Verde,4.99,metro,,VAINITA VERDE (AMERICANA)
Compota de Mango con Quinua Casa Verde 120g,S/ 4.99,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,120.0,g,Compota de Mango con Quinua Casa Verde,4.99,wong,,VAINITA VERDE (AMERICANA)
Compota de Arándano con Quinua Casa Verde 120g,S/ 4.99,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,120.0,g,Compota de Arándano con Quinua Casa Verde,4.99,wong,,VAINITA VERDE (AMERICANA)
Compota de Mango con Quinua Casa Verde 120g,S/ 4.99,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,120.0,g,Compota de Mango con Quinua Casa Verde,4.99,metro,,VAINITA VERDE (AMERICANA)
Salsa Huancaina CASA VERDE Doypack 75g,S/ 5.09,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,75.0,g,Salsa Huancaina CASA VERDE Doypack,5.09,vivanda,CASA VERDE,VAINITA VERDE (AMERICANA)
Aceituna Verde con Rocoto Olivalle 180g,S/ 5.40,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,180.0,g,Aceituna Verde con Rocoto Olivalle,5.4,metro,,VAINITA VERDE (AMERICANA)
Albahaca Fresca Verde Puro 120g,S/ 5.50,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,120.0,g,Albahaca Fresca Verde Puro,5.5,metro,,VAINITA VERDE (AMERICANA)
Salad Mix Personal Línea Verde Bandeja 100g,S/ 5.50,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,100.0,g,Salad Mix Personal Línea Verde Bandeja,5.5,metro,,VAINITA VERDE (AMERICANA)
Salsa Huancaína 75g,S/ 5.60,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,75.0,g,Salsa Huancaína,5.6,metro,,VAINITA VERDE (AMERICANA)
Salsa Verde Casa Verde 160g,S/ 5.60,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,160.0,g,Salsa Verde Casa Verde,5.6,metro,,VAINITA VERDE (AMERICANA)
Salsa Verde Casa Verde 160g,S/ 5.60,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,160.0,g,Salsa Verde Casa Verde,5.6,wong,,VAINITA VERDE (AMERICANA)
Tamal Verde Casa Verde Bolsa 180 gr,S/ 5.70,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,180.0,g,Tamal Verde Casa Verde Bolsa r,5.7,metro,,VAINITA VERDE (AMERICANA)
Salsa Huancaína 75g,S/ 5.70,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,75.0,g,Salsa Huancaína,5.7,wong,,VAINITA VERDE (AMERICANA)
Tamal de Alcachofa Casa Verde Bolsa 180 gr,S/ 5.70,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,180.0,g,Tamal de Alcachofa Casa Verde Bolsa r,5.7,metro,,VAINITA VERDE (AMERICANA)
Salad Mix Personal Línea Verde Bandeja 100g,S/ 5.80,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,100.0,g,Salad Mix Personal Línea Verde Bandeja,5.8,wong,,VAINITA VERDE (AMERICANA)
Tamal de Maíz Casa Verde 180g,S/ 5.99,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,180.0,g,Tamal de Maíz Casa Verde,5.99,wong,,VAINITA VERDE (AMERICANA)
Acelga Fresca Verde Puro 300g,S/ 6.10,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,300.0,g,Acelga Fresca Verde Puro,6.1,wong,,VAINITA VERDE (AMERICANA)
Vainita en Trozos Cuisine & Co 400g,S/ 6.32,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,400.0,g,Vainita en Trozos Cuisine & Co,6.32,metro,,VAINITA VERDE (AMERICANA)
