description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Yogurt Battimix GLORIA Fresa con Bolitas de Ch...,S/ 3.10 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-05 15:06:32.055016,146.0,g,Yogurt BattimiLORIA Fresa con Bolitas de Ch,3.1,plaza_vea,Vaso 146g,,YOGUR DE LECHE ENTERA
Leche LAIVE Bolsitarro Bolsa 390g,S/ 3.40 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-05 15:06:32.055016,390.0,g,Leche LAIVE Bolsitarro Bolsa,3.4,plaza_vea,Bolsa 390g,,YOGUR DE LECHE ENTERA
Canela Entera SIBARITA Sobre 10g,S/ 3.59 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-05 15:06:32.055016,10.0,g,Canela Entera SIBARITA Sobre,3.59,plaza_vea,Sobre 10g,,YOGUR DE LECHE ENTERA
Yogur Battimix GLORIA Vainilla con Hojuelas Vaso 144g,S/ 3.60,vivanda,YOGUR DE LECHE ENTERA,2024-12-05 21:54:10.771484,1.0,g,Yogur BattimiLORIA Vainilla con Hojuelas Vaso,3.6,vivanda,,GLORIA,YOGUR DE LECHE ENTERA
Leche DANLAC Pasteurizada Chocolate Botella 250ml,S/ 3.60,vivanda,YOGUR DE LECHE ENTERA,2024-12-05 21:54:10.771484,250.0,ml,Leche DANLAC Pasteurizada Chocolate Botella,3.6,vivanda,,DANLAC,YOGUR DE LECHE ENTERA
Leche Concentrada Laive Bolsa 390g,S/ 3.70,metro,YOGUR DE LECHE ENTERA,2024-12-05 15:45:52.964089,390.0,g,Leche Concentrada Laive Bolsa,3.7,metro,,,YOGUR DE LECHE ENTERA
Leche sin Lactosa LAIVE Pacti Tarro Botella 390g,S/ 3.80,vivanda,YOGUR DE LECHE ENTERA,2024-12-05 21:54:10.771484,390.0,g,Leche sin Lactosa LAIVE Pacti Tarro Botella,3.8,vivanda,,LAIVE,YOGUR DE LECHE ENTERA
Leche Condensada NESTLÉ Lata 100g,S/ 3.80,vivanda,YOGUR DE LECHE ENTERA,2024-12-05 21:54:10.771484,100.0,g,Leche Condensada NESTLÉ Lata,3.8,vivanda,,NESTLE,YOGUR DE LECHE ENTERA
Leche Light VIGOR Bolsa 800ml,S/ 3.90 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-05 15:06:32.055016,800.0,ml,Leche Light VIGOR Bolsa,3.9,plaza_vea,Bolsa 800ml,,YOGUR DE LECHE ENTERA
Leche UHT VIGOR Bolsa 800ml,S/ 3.90 un,plaza_vea,YOGUR DE LECHE ENTERA,2024-12-05 15:06:32.055016,800.0,ml,Leche UHT VIGOR Bolsa,3.9,plaza_vea,Bolsa 800ml,,YOGUR DE LECHE ENTERA
