description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Chocolate para Taza Instántaneo SOL DEL CUSCO Canela y Clavo Tableta 90g,S/ 4.60,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,90.0,g,Chocolate para Taza Instántaneo SOL DEL CUSCO Canela y Clavo Tableta,4.6,vivanda,SOL DEL CUZCO,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate TWIX Paquete 50.7g,S/ 4.60,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,50.7,g,Chocolate TWIX Paquete,4.6,vivanda,TWIX,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolates Confitados M&M's Milk Chocolate 47.9g,S/ 4.60,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,47.9,g,Chocolates Confitados M&M's Milk Chocolate,4.6,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Instantáneo Sabor Canela y Clavo Bolsa 90 g,S/ 4.70,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,90.0,g,Chocolate Instantáneo Sabor Canela y Clavo Bolsa,4.7,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Instantáneo Sabor Tradicional Bolsa 90 g,S/ 4.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,90.0,g,Chocolate Instantáneo Sabor Tradicional Bolsa,4.7,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Instantáneo Sabor Canela y Clavo Bolsa 90 g,S/ 4.70,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,90.0,g,Chocolate Instantáneo Sabor Canela y Clavo Bolsa,4.7,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Instantáneo Sabor Tradicional Bolsa 90 g,S/ 4.70,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,90.0,g,Chocolate Instantáneo Sabor Tradicional Bolsa,4.7,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche con Maní Extremo Sublime Tableta 50 g,S/ 4.80,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,50.0,g,Chocolate con Leche con Maní Extremo Sublime Tableta,4.8,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche con Maní Extremo Sublime Tableta 50 g,S/ 4.80,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,50.0,g,Chocolate con Leche con Maní Extremo Sublime Tableta,4.8,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate a la Taza Winter's 90g,S/ 4.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,90.0,g,Chocolate a la Taza Winter's,4.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
