description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Gaseosa Canada Dry Ginger Ale Lata 355ml,,355.0,ml,6.5,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,355.0,ml,6.5,BEBIDAS GASEOSAS
Gaseosa Schweppes Ginger Ale Botella 1.5L,,1.5,l,6.6,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,1.5,l,6.6,BEBIDAS GASEOSAS
Gaseosa Schweppes Ginger Ale Botella 1.5L,,1.5,l,6.6,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,1.5,l,6.6,BEBIDAS GASEOSAS
Ginger Ale 1.5 L,SCHWEPPES,1.5,l,6.6,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,1.5,l,6.6,BEBIDAS GASEOSAS
Gaseosa Schweppes Citrus Botella 1.5L,,1.5,l,6.6,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,1.5,l,6.6,BEBIDAS GASEOSAS
Gaseosa Concordia Sabor Piña Botella 3 Litros,,3.0,l,6.7,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,3.0,l,6.7,BEBIDAS GASEOSAS
Bebida Carbonatada Malta Polar Lata 355ml,,355.0,ml,6.7,metro,2024-12-05 16:54:43.458781,BEBIDAS GASEOSAS,355.0,ml,6.7,BEBIDAS GASEOSAS
Gaseosa Fanta Uva Lata 355ml,,355.0,ml,6.8,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,355.0,ml,6.8,BEBIDAS GASEOSAS
Gaseosa Fanta Botella 3L,,3.0,l,6.9,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,3.0,l,6.9,BEBIDAS GASEOSAS
Bebida Energizante 250 mL,RED BULL,250.0,ml,6.9,tottus,2024-12-05 12:47:41.513258,BEBIDAS GASEOSAS,250.0,ml,6.9,BEBIDAS GASEOSAS
Gaseosa Fanta Piña Botella 3L,,3.0,l,6.9,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,3.0,l,6.9,BEBIDAS GASEOSAS
Gaseosa Canada Dry Ginger Ale Lata 355ml,,355.0,ml,6.9,wong,2024-12-05 19:33:18.529154,BEBIDAS GASEOSAS,355.0,ml,6.9,BEBIDAS GASEOSAS
