description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Pimienta Negra Molida KARIÑO Sobre 5g,S/ 0.70,vega,UVA NEGRA,2024-12-05 12:38:53.925851,5.0,g,Pimienta Negra Molida KARIÑO Sobre,0.7,vega,Kariño,UVA NEGRA
Pimienta Negra VEGA Molida Sobre 85g,S/ 0.90,vega,UVA NEGRA,2024-12-05 12:38:53.925851,85.0,g,Pimienta Negra VEGA Molida Sobre,0.9,vega,Vega,UVA NEGRA
Pimienta Negra Molida Sobre 14 g,S/ 1.10,metro,UVA NEGRA,2024-12-05 16:03:06.272977,14.0,g,Pimienta Negra Molida Sobre,1.1,metro,,UVA NEGRA
Rehidratante Powerade Uva Botella 600ml,S/ 2.40,metro,UVA NEGRA,2024-12-05 16:03:06.272977,600.0,ml,Rehidratante Powerade Uva Botella,2.4,metro,,UVA NEGRA
Bebida Rehidratante Sporade Uva Botella 500ml,S/ 2.40,metro,UVA NEGRA,2024-12-05 16:03:06.272977,500.0,ml,Bebida Rehidratante Sporade Uva Botella,2.4,metro,,UVA NEGRA
Bebida Rehidratante SPORADE Sabor a Uva Botella 500ml,S/ 2.40,vivanda,UVA NEGRA,2024-12-05 22:03:24.523243,500.0,ml,Bebida Rehidratante SPORADE Sabor a Uva Botella,2.4,vivanda,SPORADE,UVA NEGRA
Pimienta Negra Molida BELL'S Sobre 15g,S/ 2.50,vivanda,UVA NEGRA,2024-12-05 22:03:24.523243,15.0,g,Pimienta Negra Molida BELL'S Sobre,2.5,vivanda,BELL'S,UVA NEGRA
Pimienta BELL'S Negra Entera Sobre 15g,S/ 2.50,vivanda,UVA NEGRA,2024-12-05 22:03:24.523243,15.0,g,Pimienta BELL'S Negra Entera Sobre,2.5,vivanda,BELL'S,UVA NEGRA
Layconsa Cartulina 180g Negra 50 x 70 cm,S/ 2.80,metro,UVA NEGRA,2024-12-05 16:03:06.272977,180.0,g,Layconsa Cartulina  Negra 50 x 70 cm,2.8,metro,,UVA NEGRA
Pimienta Negra Entera Cuisine & Co 15g,S/ 2.90,metro,UVA NEGRA,2024-12-05 16:03:06.272977,15.0,g,Pimienta Negra Entera Cuisine & Co,2.9,metro,,UVA NEGRA
