description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Trozos de atún en aceite vegetal de 150 g,CAMPOMAR,150.0,g,5.6,tottus,2024-12-05 11:43:29.753920,TROZO DE PESCADO EN CONSERVA,150.0,g,5.6
Melón en Trozos BELL'S Bandeja 300g,,300.0,g,5.6,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,300.0,g,5.6
Papaya en Trozos BELL'S Bandeja 300g,,300.0,g,5.69,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,300.0,g,5.69
Sandía en Trozos BELL'S Bandeja 300g,,300.0,g,5.69,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,300.0,g,5.69
Trozos de Atún en Aceite Vegetal Campomar 150g,,150.0,g,5.7,wong,2024-12-05 18:12:07.729270,TROZO DE PESCADO EN CONSERVA,150.0,g,5.7
Trozos de Atún en Aceite Vegetal FANNY Lata 14...,,140.0,g,5.8,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,140.0,g,5.8
Trozos de Atún FLORIDA en Aceite Vegetal Lata 140gr,Florida,140.0,g,5.8,vega,2024-12-05 12:18:44.937111,TROZO DE PESCADO EN CONSERVA,140.0,g,5.8
Trozos de Atún FLORIDA en Aceite Vegetal Lata ...,,140.0,g,5.8,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,140.0,g,5.8
Trozos Atún en Aceite Vegetal y Sal 140g,FLORIDA,140.0,g,5.8,tottus,2024-12-05 11:43:29.753920,TROZO DE PESCADO EN CONSERVA,140.0,g,5.8
Trozos de Atún en Aceite Vegetal GLORIA Lata 140g,GLORIA,140.0,g,5.9,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,140.0,g,5.9
Ready To Drink (RTD) PISCANO Chilcano Maracuyá...,,275.0,ml,5.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,275.0,ml,5.9
Trozos de Atún PRIMOR en Aceite Vegetal Lata 140g,PRIMOR,140.0,g,5.9,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,140.0,g,5.9
Trozos de Atún en Aceite Vegetal GLORIA Lata 1...,,140.0,g,5.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,140.0,g,5.9
Ready To Drink (RTD) PISCANO Chilcano Maracuyá...,,355.0,ml,5.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,355.0,ml,5.9
Trozos de Atún en Aceite Vegetal Florida 150g,,150.0,g,5.9,metro,2024-12-05 15:41:02.430373,TROZO DE PESCADO EN CONSERVA,150.0,g,5.9
Trozos de Atún en Aceite Vegetal Florida 150g,,150.0,g,5.9,wong,2024-12-05 18:12:07.729270,TROZO DE PESCADO EN CONSERVA,150.0,g,5.9
Ready To Drink (RTD) PISCANO Chilcano Naranja ...,,275.0,ml,5.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,275.0,ml,5.9
Filete de Atún FLORIDA en Aceite Vegetal Lata 140g,Florida,140.0,g,6.0,vega,2024-12-05 12:18:44.937111,TROZO DE PESCADO EN CONSERVA,140.0,g,6.0
Alimento Húmedo para Gatos FANCY FEAST Paté Sa...,,85.0,g,6.1,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,85.0,g,6.1
Trozos de Atún REAL en Aceite Girasol Lata 140...,,140.0,un,6.2,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,140.0,un,6.2
Piña en Trozos BELL'S en Almíbar Lata 567g,,567.0,g,6.4,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,567.0,g,6.4
Trozos de Atún REAL en Aceite Girasol Lata 140g,REAL,140.0,g,6.4,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,140.0,g,6.4
Trozos de Atún FLORIDA en Aceite Vegetal Lata 140g,FLORIDA,140.0,g,6.5,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,140.0,g,6.5
Alimento Húmedo para Gatos FELIX Paté Atún y P...,,156.0,g,6.5,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,156.0,g,6.5
Aceitunas en Conserva BELL'S Botija en Tiras B...,,250.0,g,6.5,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,250.0,g,6.5
Alimento Húmedo para Gatos FELIX Paté Atún y P...,,156.0,g,6.5,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,156.0,g,6.5
Trozos de Atún en Aceite Real 140g,,140.0,g,6.5,metro,2024-12-05 15:41:02.430373,TROZO DE PESCADO EN CONSERVA,140.0,g,6.5
Conserva de Zanahoria Rallada BELL'S Lata 360g,BELL'S,360.0,g,6.5,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,360.0,g,6.5
Conserva de Betarraga BELL'S Lata 345g,,345.0,g,6.5,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,345.0,g,6.5
Trozos de Atún en Aceite Real 140g,,140.0,g,6.6,wong,2024-12-05 18:12:07.729270,TROZO DE PESCADO EN CONSERVA,140.0,g,6.6
Conserva de Maíz BELL'S Lata 340g,BELL'S,340.0,g,7.0,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,340.0,g,7.0
Conserva VALLE FERTIL Choclo dulce desgranado Lata 248Gr,VALLE FERTIL,248.0,g,7.1,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,248.0,g,7.1
Conserva VALLE FERTIL Arvejitas verdes Lata 241Gr,VALLE FERTIL,241.0,g,7.1,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,241.0,g,7.1
"Alimento para Gatos PURINA ONE Adultos Salmón, Atún y Pescado Blanco Doypack 85g",PURINA ONE,85.0,g,7.8,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,85.0,g,7.8
Yuca en Trozos FIFU Bolsa 500g,,500.0,g,7.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,500.0,g,7.9
Papaya en Trozos Congelada FEST Paquete 500g,,500.0,g,7.99,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,500.0,g,7.99
Conserva de Pechuga de Pavo ALDELÍS en Agua y Sal Lata 155g,ALDELÍS,155.0,g,8.4,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,155.0,g,8.4
Conserva de Pechuga de Pavo ALDELÍS en Agua y ...,,155.0,g,8.4,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,155.0,g,8.4
Conserva de Judías Anchas BELL'S Lata 660g,BELL'S,660.0,g,8.5,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,660.0,g,8.5
Mango en Trozos Congelado FEST Paquete 500g,,500.0,g,8.7,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,500.0,g,8.7
Pack Trozos de Atún en Aceite Vegetal CAMPOMAR...,,2.0,un,8.8,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,2.0,un,8.8
Rodajas de Jalapeños en Conserva VALLE FERTIL ...,,225.0,g,8.8,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,225.0,g,8.8
Aceitunas Verdes en Conserva VALDEPORRES Manza...,,370.0,g,8.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,370.0,g,8.9
Piña Golden en Trozos Congelada FEST Paquete 5...,,500.0,g,8.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,500.0,g,8.9
Conserva BELL'S Puré de manzana Frasco 470g,BELL'S,470.0,g,9.2,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,470.0,g,9.2
Conserva VALLE FERTIL Jalapeños en rodajas Frasco 225Gr,VALLE FERTIL,225.0,g,9.3,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,225.0,g,9.3
Conserva VALLE FERTIL Arvejitas verdes Lata 425Gr,VALLE FERTIL,425.0,g,9.4,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,425.0,g,9.4
Conserva VALLE FERTIL Choclo dulce desgranado Lata 432Gr,VALLE FERTIL,432.0,g,9.4,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,432.0,g,9.4
Conserva VALLE FÉRTIL Crema de Choclo Desgranado Lata 418g,VALLE FERTIL,418.0,g,9.4,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,418.0,g,9.4
Aceitunas en Conserva BELL'S Botija deshuesada...,,250.0,g,9.4,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,250.0,g,9.4
Piña en Trozos BELL'S Bandeja 500g,,500.0,g,9.89,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,500.0,g,9.89
Yogurt Griego LAIVE con Trozos de Fresa Vaso 500g,LAIVE,500.0,g,9.9,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,500.0,g,9.9
Conserva VALLE FERTIL Pimiento morrón Frasco 3...,,360.0,g,9.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,360.0,g,9.9
Mango en Trozos SOLEI Caja 300g,,300.0,g,9.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,300.0,g,9.9
Ajos Pelados EL SABOR Arequipeños Bandeja 250g,,250.0,g,9.99,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,250.0,g,9.99
Conserva VALLE FERTIL Espárragos blancos Frasco 210Gr,VALLE FERTIL,210.0,g,10.2,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,210.0,g,10.2
Conserva VALLE FERTIL Espárragos verdes Frasco 210Gr,VALLE FERTIL,210.0,g,10.2,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,210.0,g,10.2
Conserva VALLE FERTIL Espárragos blancos Frasc...,,210.0,g,10.2,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,210.0,g,10.2
Duo Pack Trozos de Atún CAMPOMAR Lata 150g x 2...,,2.0,un,10.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,2.0,un,10.9
Conserva de Durazno en Mitades ACONCAGUA en Al...,,822.0,g,10.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,822.0,g,10.9
Conserva VALLE FERTIL Alcaparras encurtidas Fr...,,100.0,g,12.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,100.0,g,12.9
Conserva CALE Aceitunas al ají Frasco 185g,CALE,185.0,g,13.0,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,185.0,g,13.0
Conserva CALÉ TAPENADE Mix de aceitunas Frasco 185g,CALE,185.0,g,13.0,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,185.0,g,13.0
Conserva CALE Aceitunas y alcachofas Frasco 185g,CALE,185.0,g,13.0,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,185.0,g,13.0
Conserva VALLE FERTIL Alcaparras encurtidas Frasco 100Gr,VALLE FERTIL,100.0,g,13.3,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,100.0,g,13.3
Piña en Trozos BELL'S Bandeja 700g,,700.0,g,13.49,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,700.0,g,13.49
Piña en Trozos Congelada BELL'S Bolsa 1kg,,1.0,kg,13.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,1.0,kg,13.9
Trozos De Atún Tripack Aceite Vegetal Lata x 140 g,COMPASS,140.0,g,14.8,tottus,2024-12-05 11:43:29.753920,TROZO DE PESCADO EN CONSERVA,140.0,g,14.8
Ajo Entero BELL'S Pelado Bandeja 250g,,250.0,g,14.99,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,250.0,g,14.99
Conserva VALLE FERTIL Corazón de Alcachofa Fra...,,410.0,g,15.3,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,410.0,g,15.3
Aceitunas Verdes Deshuesadas en Conserva OLIVO...,,300.0,g,15.4,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,300.0,g,15.4
Trozos de Papaya Congelada EL FRUTERO Bolsa 1Kg,EL FRUTERO,1.0,kg,15.69,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,1.0,kg,15.69
Trozos de Papaya Congelada EL FRUTERO Bolsa 1K...,,1.0,kg,15.69,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,1.0,kg,15.69
Conserva VALLE FERTIL Espárragos verdes Frasco 360Gr,VALLE FERTIL,360.0,g,15.7,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,360.0,g,15.7
Conserva VALLE FERTIL Espárragos blancos Frasco 360Gr,VALLE FERTIL,360.0,g,15.7,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,360.0,g,15.7
Filete de Basa,,0.2,kg,15.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,0.2,kg,15.9
Filete de Basa BELL'S Bolsa 1Kg,,1.0,kg,15.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,1.0,kg,15.9
Conserva VALLE FERTIL Corazón de Alcachofa Frasco 410g,VALLE FERTIL,410.0,g,15.9,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,410.0,g,15.9
Ajos Picados BELL'S Bandeja 200g,,200.0,g,15.99,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,200.0,g,15.99
Trozos de Bonito Ahumado NATURAL FISH Caja 170g,NATURAL FISH,170.0,g,16.9,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,170.0,g,16.9
Trozos de Piña Golden Congelada EL FRUTERO Bolsa 1Kg,EL FRUTERO,1.0,kg,16.99,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,1.0,kg,16.99
Trozos de Piña Golden Congelada EL FRUTERO Bol...,,1.0,kg,16.99,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,1.0,kg,16.99
Trozos de Bonito Ahumados Natural Fish 170g,,170.0,g,17.4,metro,2024-12-05 15:41:02.430373,TROZO DE PESCADO EN CONSERVA,170.0,g,17.4
Trozos de Bonito Ahumados Natural Fish 170g,,170.0,g,17.4,wong,2024-12-05 18:12:07.729270,TROZO DE PESCADO EN CONSERVA,170.0,g,17.4
Ready To Drink (RTD) PISCANO Sour Maracuyá Bot...,,700.0,ml,17.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,700.0,ml,17.9
Nuggets de Pescado SEAFROST Caja 500g,,500.0,g,17.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,500.0,g,17.9
Pechuga de Pavita en Trozos SAN FERNANDO Conge...,,1.5,kg,17.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,1.5,kg,17.9
Milanesa de Pescado SEAFROST Caja 600g,,600.0,g,17.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,600.0,g,17.9
Helado D'ONOFRIO con Chocolate y Trozos de Gal...,,900.0,ml,18.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,900.0,ml,18.9
Helado D'ONOFRIO con Trozos de Galleta SANDWIC...,,900.0,ml,18.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,900.0,ml,18.9
Helado D'ONOFRIO con Trozos de Maní SUBLIME Pote 900ml,D'ONOFRIO,900.0,ml,19.9,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,900.0,ml,19.9
Ready To Drink (RTD) PISCANO Sabores variados ...,,275.0,ml,22.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,275.0,ml,22.9
Six Pack Trozos De Atún En Aceite x 140 g,TOTTUS,140.0,g,24.9,tottus,2024-12-05 11:43:29.753920,TROZO DE PESCADO EN CONSERVA,140.0,g,24.9
Trozos de Atún VEGA en Aceite Vegetal Lata 150g x6u,Vega,150.0,g,25.2,vega,2024-12-05 12:18:44.937111,TROZO DE PESCADO EN CONSERVA,150.0,g,25.2
Panetón con Trozos de Chocolate POESSIA Bolsa ...,,900.0,g,25.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,900.0,g,25.9
Conserva VALLE FERTIL Fondos de alcachofa Frasco 410Gr,VALLE FERTIL,410.0,g,26.1,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,410.0,g,26.1
Aceitunas en Conserva OLIVOS DEL SUR De botija deshuesada Doypack 500g,OLIVOS DEL SUR,500.0,g,29.1,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,500.0,g,29.1
Langostinos Pelado y Desvenado Grandes SANTA P...,,454.0,g,29.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,454.0,g,29.9
Espumante DESEADO Dulce Botella 750ml,,750.0,ml,29.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,750.0,ml,29.9
Trozos de Atún CAMPOMAR en Aceite Vegetal Lata 150g x6u,Campomar,150.0,g,30.0,vega,2024-12-05 12:18:44.937111,TROZO DE PESCADO EN CONSERVA,150.0,g,30.0
Trozos de Atún PRIMOR en Aceite Vegetal Lata 140g Pack 6u,Primor,140.0,g,30.6,vega,2024-12-05 12:18:44.937111,TROZO DE PESCADO EN CONSERVA,140.0,g,30.6
Trozos de Atún FLORIDA en Aceite Vegetal Lata 140gr Pack 6u,Florida,140.0,g,31.8,vega,2024-12-05 12:18:44.937111,TROZO DE PESCADO EN CONSERVA,140.0,g,31.8
Filete de Atún FLORIDA en Aceite Vegetal Lata Pack 6 lata 140g,Florida,140.0,g,33.6,vega,2024-12-05 12:18:44.937111,TROZO DE PESCADO EN CONSERVA,140.0,g,33.6
Sixpack Trozos de Atún en Aceite Real 140g,,140.0,g,34.2,metro,2024-12-05 15:41:02.430373,TROZO DE PESCADO EN CONSERVA,140.0,g,34.2
Sixpack Trozos de Atún en Aceite Real 140g,,140.0,g,34.2,wong,2024-12-05 18:12:07.729270,TROZO DE PESCADO EN CONSERVA,140.0,g,34.2
Pack x6 Trozos Atún Aceite Vegetal Campomar 150g,,150.0,g,34.8,wong,2024-12-05 18:12:07.729270,TROZO DE PESCADO EN CONSERVA,150.0,g,34.8
Infusiones AL TRONO Mezcla Digestiva Doypack 4...,,450.0,g,35.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,450.0,g,35.9
"Comida para Gatos RICOCAT Gatito Carne, Pescad...",,3.0,kg,37.5,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,3.0,kg,37.5
Trozos De Salmón AQUA Bolsa 500g,,500.0,g,42.1,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,500.0,g,42.1
Trozos De Salmón AQUA Bolsa 500g,AQUA,500.0,g,49.5,vivanda,2024-12-05 21:51:31.992148,TROZO DE PESCADO EN CONSERVA,500.0,g,49.5
Trozos De Atún En Aceite Pack 12 x 140 g,TOTTUS,140.0,g,49.9,tottus,2024-12-05 11:43:29.753920,TROZO DE PESCADO EN CONSERVA,140.0,g,49.9
Alimento para Gatos CAT CHOW Adulto Sabor Pesc...,,3.0,kg,54.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,3.0,kg,54.9
Trozos de Atún PRIMOR en Aceite Vegetal Lata 140g x12u,Primor,140.0,g,70.8,vega,2024-12-05 12:18:44.937111,TROZO DE PESCADO EN CONSERVA,140.0,g,70.8
Trozos de Atún FLORIDA en Aceite Vegetal Lata 140gr x12u,Florida,140.0,g,72.0,vega,2024-12-05 12:18:44.937111,TROZO DE PESCADO EN CONSERVA,140.0,g,72.0
Comida para Gatos CAT CHOW Adulto Esterilizado...,,8.0,kg,104.9,plaza_vea,2024-12-05 14:59:48.160981,TROZO DE PESCADO EN CONSERVA,8.0,kg,104.9
