description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Té Verde MC COLIN'S Caja 25un,MC COLIN'S,25.0,un,12.8,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,25.0,un,12.8
Salsa Verde Peruana CASA VERDE Frasco 330g,CASAVERDE,330.0,g,12.8,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,330.0,g,12.8
Aceituna Verde con Castaña HUERTO MEJÍA Paquete 220g,HUERTO MEJÍA,220.0,g,12.9,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,220.0,g,12.9
Aceitunas Verdes en Conserva VALDEPORRES Rellenas de Anchoas Frasco 370g,VALDEPORRES,370.0,g,13.49,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,370.0,g,13.49
Uva Verde sin Pepa x Kg,VIVANDA,1.0,kg,14.99,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,1.0,kg,14.99
Aceitunas Verdes Deshuesadas en Conserva OLIVOS DEL SUR Doypack 300g,OLIVOS DEL SUR,300.0,g,15.4,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,300.0,g,15.4
Salsa Honey Mustard HUELLA VERDE Pote 350ml,HUELLA VERDE,350.0,ml,16.2,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,350.0,ml,16.2
Salsa Dijon Vinaigrette HUELLA VERDE Pote 350ml,HUELLA VERDE,350.0,ml,16.2,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,350.0,ml,16.2
Infusiones WAWASANA Te verde piña Caja 50Un,WAWASANA,50.0,un,16.9,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,50.0,un,16.9
Sacagrasa MR. MÚSCULO Verde Gatillo 500ml,MR MUSCULO,500.0,ml,18.7,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,500.0,ml,18.7
Granola HUELLA VERDE Lúcuma Doypack 400g,HUELLA VERDE,400.0,g,25.9,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,400.0,g,25.9
Granola HUELLA VERDE Original Doypack 400g,HUELLA VERDE,400.0,g,25.9,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,400.0,g,25.9
Té Verde STASH TEA Frambuesa y Granada Caja 18un,STASH,18.0,un,32.5,vivanda,2024-12-05 22:11:59.500156,HABA VERDE,18.0,un,32.5
