description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Comida para Perros RICOCAN Adultos Sabor a Trocitos de Pollo y verduras Lata 290gr,S/ 6.00,vega,PIERNA DE POLLO,2024-12-05 12:02:04.919554,290.0,g,Comida para Perros RICOCAN Adultos Sabor a Trocitos de Pollo y verduras Lata r,6.0,vega,,Ricocan,PIERNA DE POLLO
Comida para Gatos RICOCAT Adultos Paté de Higado y Pollo Lata 330g,S/ 6.50,vega,PIERNA DE POLLO,2024-12-05 12:02:04.919554,330.0,g,Comida para Gatos RICOCAT Adultos Paté de Higado y Pollo Lata,6.5,vega,,Ricocat,PIERNA DE POLLO
Comida para Gatos RICOCAT Adulto Paté Sardina y Pollo Lata 330gr,S/ 6.50,vega,PIERNA DE POLLO,2024-12-05 12:02:04.919554,330.0,g,Comida para Gatos RICOCAT Adulto Paté Sardina y Pollo Lata r,6.5,vega,,Ricocat,PIERNA DE POLLO
Salchicha de pollo 500 g,S/ 6.90,tottus,PIERNA DE POLLO,2024-12-05 11:30:33.200754,500.0,g,Salchicha de pollo,6.9,tottus,,REDONDOS,PIERNA DE POLLO
Nuggets Pechuga Pollo Chia Sin Freír 180 g,S/ 6.90,tottus,PIERNA DE POLLO,2024-12-05 11:30:33.200754,180.0,g,Nuggets Pechuga Pollo Chia Sin Freír,6.9,tottus,,SAN FERNANDO,PIERNA DE POLLO
JAMONADA DE POLLO X 200G,S/ 7.50,tottus,PIERNA DE POLLO,2024-12-05 11:30:33.200754,200.0,g,JAMONADA DE POLLO X,7.5,tottus,,OTTO KUNZ,PIERNA DE POLLO
YAMIS PIERNITAS SABOR POLLO A LA LENA 80GR,S/ 7.90,tottus,PIERNA DE POLLO,2024-12-05 11:30:33.200754,80.0,g,YAMIS PIERNITAS SABOR POLLO A LA LENA R,7.9,tottus,,,PIERNA DE POLLO
Pierna con Encuentro Congelada Importada x kg,S/ 7.90 x kg,wong,PIERNA DE POLLO,2024-12-05 17:58:44.457850,1.0,kg,Pierna con Encuentro Congelada Importada,7.9,wong,,,PIERNA DE POLLO
Nuggets De Pechuga De Pollo 12 Un,S/ 8.60,tottus,PIERNA DE POLLO,2024-12-05 11:30:33.200754,12.0,un,Nuggets De Pechuga De Pollo,8.6,tottus,,TOTTUS,PIERNA DE POLLO
NUGGETS DE POLLO MULTIGRANOS X 270 GR,S/ 8.60,tottus,PIERNA DE POLLO,2024-12-05 11:30:33.200754,270.0,g,NUGGETS DE POLLO MULTIGRANOS X R,8.6,tottus,,REDONDOS,PIERNA DE POLLO
Pierna de Pollo Importada x kg,S/ 8.90 x kg,metro,PIERNA DE POLLO,2024-12-05 15:29:28.326130,1.0,kg,Pierna de Pollo Importada,8.9,metro,,,PIERNA DE POLLO
Pierna de Pollo Importada x kg,S/ 8.90 x kg,wong,PIERNA DE POLLO,2024-12-05 17:58:44.457850,1.0,kg,Pierna de Pollo Importada,8.9,wong,,,PIERNA DE POLLO
Comida para Perros DOG CHOW Cachorros Sabor Pollo Doypack 100g x 2u,S/ 9.20,vega,PIERNA DE POLLO,2024-12-05 12:02:04.919554,100.0,g,Comida para Perros DOG CHOW Cachorros Sabor Pollo Doypack  x 2u,9.2,vega,,Dog Chow,PIERNA DE POLLO
Alimento para Perros DOG CHOW Todas las Razas Sabor a Pollo Molido Lata 368gr,S/ 9.50,vega,PIERNA DE POLLO,2024-12-05 12:02:04.919554,368.0,g,Alimento para Perros DOG CHOW Todas las Razas Sabor a Pollo Molido Lata r,9.5,vega,,Dog Chow,PIERNA DE POLLO
