description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,CLASIFICACION
Salsa de Tomate BELL'S para Aderezo Doypack 16...,S/ 1.30 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,160.0,g,Salsa de Tomate BELL'S para Aderezo Doypack 16,1.3,plaza_vea,Doypack 160g,TOMATE ITALIANO O MARSANO
Pasta de Tomate BELL'S Doypack 120g,S/ 1.50 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,120.0,g,Pasta de Tomate BELL'S Doypack,1.5,plaza_vea,Doypack 120g,TOMATE ITALIANO O MARSANO
Pasta de Tomate Cuisine & Co Doypack 100 g,S/ 1.70,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,100.0,g,Pasta de Tomate Cuisine & Co Doypack,1.7,wong,,TOMATE ITALIANO O MARSANO
Salsa Clásica de Tomate POMAROLA Doypack 145g,S/ 1.70 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,145.0,g,Salsa Clásica de Tomate POMAROLA Doypack,1.7,plaza_vea,Doypack 145g,TOMATE ITALIANO O MARSANO
Pasta de Tomate Cuisine & Co Doypack 100 g,S/ 1.70,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,100.0,g,Pasta de Tomate Cuisine & Co Doypack,1.7,metro,,TOMATE ITALIANO O MARSANO
Concentrado de Tomate Molitalia 110g,S/ 1.80,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,110.0,g,Concentrado de Tomate Molitalia,1.8,wong,,TOMATE ITALIANO O MARSANO
Concentrado de Tomate Molitalia 110g,S/ 1.80,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,110.0,g,Concentrado de Tomate Molitalia,1.8,metro,,TOMATE ITALIANO O MARSANO
Zapallo Italiano x unidad,S/ 1.99 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,un,Zapallo Italiano ad,1.99,plaza_vea,Paquete 1un,TOMATE ITALIANO O MARSANO
Pasta de Tomate B & D 100g,S/ 2.20,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,100.0,g,Pasta de Tomate B & D,2.2,metro,,TOMATE ITALIANO O MARSANO
Pasta de Tomate B&D Doypack 100g,S/ 2.20 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,100.0,g,Pasta de Tomate B&D Doypack,2.2,plaza_vea,Doypack 100g,TOMATE ITALIANO O MARSANO
Salsa tipo Tamarindo 2 BANDERAS con Pasta de T...,S/ 2.69 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,100.0,g,Salsa tipo Tamarindo 2 BANDERAS con Pasta de T,2.69,plaza_vea,Bolsa 100g,TOMATE ITALIANO O MARSANO
Zapallito Italiano x un,S/ 2.79,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,1.0,un,Zapallito Italiano,2.79,wong,,TOMATE ITALIANO O MARSANO
Zapallito Italiano x un,S/ 2.79,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,1.0,un,Zapallito Italiano,2.79,metro,,TOMATE ITALIANO O MARSANO
