description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,CLASIFICACION
Pan Italiano 1un,S/ 2.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,un,Pan Italiano,2.9,plaza_vea,Paquete 1un,TOMATE ITALIANO O MARSANO
Comida para Gatos RICOCAT Trocitos Marinos Adu...,S/ 3 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,85.0,g,Comida para Gatos RICOCAT Trocitos Marinos Adu,3.0,plaza_vea,Paquete 85g,TOMATE ITALIANO O MARSANO
Pet Care Snacks para Gatos Adultos Trozos Sabores Marinos Doypack 95 g,S/ 3.00,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,95.0,g,Pet Care Snacks para Gatos Adultos Trozos Sabores Marinos Doypack,3.0,metro,,TOMATE ITALIANO O MARSANO
Salsa de Tomate POMAROLA Doypack 290g,S/ 3.20 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,290.0,g,Salsa de Tomate POMAROLA Doypack,3.2,plaza_vea,Doypack 290g,TOMATE ITALIANO O MARSANO
Pasta de Tomate B & D 200g,S/ 3.60,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,200.0,g,Pasta de Tomate B & D,3.6,metro,,TOMATE ITALIANO O MARSANO
Salsa Casera de Tomate POMAROLA Hong Laur Do P...,S/ 3.70 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,170.0,g,Salsa Casera de Tomate POMAROLA Hong Laur Do P,3.7,plaza_vea,Pack 170g,TOMATE ITALIANO O MARSANO
Lapicero Kilométrico Inkjoy Paper Mate Pack 3 unid,S/ 3.78,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,3.0,un,Lapicero Kilométrico Inkjoy Paper Mate Pack,3.78,wong,,TOMATE ITALIANO O MARSANO
Lapicero Kilométrico Inkjoy Paper Mate Pack 3 unid,S/ 3.78,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,3.0,un,Lapicero Kilométrico Inkjoy Paper Mate Pack,3.78,metro,,TOMATE ITALIANO O MARSANO
Salsa Roja de Tomate DON VITTORIO Doypack 200g,S/ 3.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,200.0,g,Salsa Roja de Tomate DON VITTORIO Doypack,3.9,plaza_vea,Doypack 200g,TOMATE ITALIANO O MARSANO
Tomate Cherry Bandeja 280 g,S/ 4.10,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,280.0,g,Tomate Cherry Bandeja,4.1,metro,,TOMATE ITALIANO O MARSANO
Pouc Ricocat Troz Salsa Sabores Marinos Adult x 85Gr,S/ 4.20,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,85.0,g,Pouc Ricocat Troz Salsa Sabores Marinos Adult x r,4.2,metro,,TOMATE ITALIANO O MARSANO
Tomate Italiano Metro x kg,S/ 4.29 x kg,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,1.0,kg,Tomate Italiano Metro,4.29,metro,,TOMATE ITALIANO O MARSANO
Tomate Troceado CIDACOS Lata 410g,S/ 4.30 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,410.0,g,Tomate Troceado CIDACOS Lata,4.3,plaza_vea,Lata 410g,TOMATE ITALIANO O MARSANO
Tomate Entero Pelado CIDACOS Lata 400g,S/ 4.30 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,400.0,g,Tomate Entero Pelado CIDACOS Lata,4.3,plaza_vea,Lata 400g,TOMATE ITALIANO O MARSANO
Salsa de Tomate Cuisine & Co Doypack 380 g,S/ 4.70,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,380.0,g,Salsa de Tomate Cuisine & Co Doypack,4.7,metro,,TOMATE ITALIANO O MARSANO
Salsa Vinagreta a la Italiana Walibí 85g,S/ 4.70,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,85.0,g,Salsa Vinagreta a la Italiana Walibí,4.7,metro,,TOMATE ITALIANO O MARSANO
Salsa de Tomate Cuisine & Co Doypack 380 g,S/ 4.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,380.0,g,Salsa de Tomate Cuisine & Co Doypack,4.9,wong,,TOMATE ITALIANO O MARSANO
Tomate Redondo x kg,S/ 4.99 x kg,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,kg,Tomate Redondo,4.99,plaza_vea,Presentación 1 kg aprox.,TOMATE ITALIANO O MARSANO
Tomate Cherry Cuisine & Co 200g,S/ 5.00,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,200.0,g,Tomate Cherry Cuisine & Co,5.0,metro,,TOMATE ITALIANO O MARSANO
Tomate Italiano x kg,S/ 5.19 x kg,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,1.0,kg,Tomate Italiano,5.19,wong,,TOMATE ITALIANO O MARSANO
Fideos SANTA CATALINA con Tomate y Zanahoria B...,S/ 5.30 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,400.0,g,Fideos SANTA CATALINA con Tomate y Zanahoria B,5.3,plaza_vea,Bolsa 400g,TOMATE ITALIANO O MARSANO
Tomate Italiano,S/ 5.60 x kg,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,0.5,kg,Tomate Italiano,5.6,plaza_vea,Presentación 0.5 kg aprox.,TOMATE ITALIANO O MARSANO
Aderezo DELGA-C Italiano Doypack 200g,S/ 5.80 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,200.0,g,Aderezo DELGA-C Italiano Doypack,5.8,plaza_vea,Doypack 200g,TOMATE ITALIANO O MARSANO
Lapicero Inkjoy Paper Mate Ballpoint Pack 4 unid,S/ 5.81,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,4.0,un,Lapicero Inkjoy Paper Mate Ballpoint Pack,5.81,wong,,TOMATE ITALIANO O MARSANO
Pimiento Cherry Ecologic 300g,S/ 5.85,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,300.0,g,Pimiento Cherry Ecologic,5.85,metro,,TOMATE ITALIANO O MARSANO
Vegetales Precocidos Green Food Mixtura Italiana 400g,S/ 6.00,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,400.0,g,Vegetales Precocidos Green Food Mixtura Italiana,6.0,metro,,TOMATE ITALIANO O MARSANO
"Bruschetas Chips Maretti Tomate, Aceituna y Orégano 70g",S/ 6.10,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,70.0,g,"Bruschetas Chips Maretti Tomate, Aceituna y Orégano",6.1,wong,,TOMATE ITALIANO O MARSANO
Tomate Cherry Baby Hidropónico de Invernadero Ecologic Bandeja 300g,S/ 6.30,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,300.0,g,Tomate Cherry Baby Hidropónico de Invernadero Ecologic Bandeja,6.3,metro,,TOMATE ITALIANO O MARSANO
Tomate Cherry Baby Hidropónico de Invernadero Ecologic Bandeja 300g,S/ 6.30,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,300.0,g,Tomate Cherry Baby Hidropónico de Invernadero Ecologic Bandeja,6.3,wong,,TOMATE ITALIANO O MARSANO
Pimiento Cherry Ecologic 300g,S/ 6.80,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,300.0,g,Pimiento Cherry Ecologic,6.8,wong,,TOMATE ITALIANO O MARSANO
Tomate Cherry BELL'S Bandeja,S/ 6.89 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,un,Tomate Cherry BELL'S Bandeja,6.89,plaza_vea,Paquete 1un,TOMATE ITALIANO O MARSANO
Tomate en Cuadros The Fresh Market 411g,S/ 6.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,411.0,g,Tomate en Cuadros The Fresh Market,6.9,wong,,TOMATE ITALIANO O MARSANO
Tomates Cortados The Fresh Market Bajo en Sodio 411g,S/ 6.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,411.0,g,Tomates Cortados The Fresh Market Bajo en Sodio,6.9,wong,,TOMATE ITALIANO O MARSANO
Britvic Jugo de Tomate Vidrio 200ml,S/ 6.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,200.0,ml,Britvic Jugo de Tomate Vidrio,6.9,wong,,TOMATE ITALIANO O MARSANO
Galletas de Arroz Costeño Tomate Intenso Doypack 150 g,S/ 6.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,150.0,g,Galletas de Arroz Costeño Tomate Intenso Doypack,6.9,metro,,TOMATE ITALIANO O MARSANO
Mixtura de Mariscos Congelada Bolsa 200 g,S/ 6.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,200.0,g,Mixtura de Mariscos Congelada Bolsa,6.9,metro,,TOMATE ITALIANO O MARSANO
Tomate Picado La Molisana 400g,S/ 6.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,400.0,g,Tomate Picado La Molisana,6.9,wong,,TOMATE ITALIANO O MARSANO
Britvic Jugo de Tomate Vidrio 200ml,S/ 6.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,200.0,ml,Britvic Jugo de Tomate Vidrio,6.9,metro,,TOMATE ITALIANO O MARSANO
Salsa Vinagreta a la Italiana WALIBI Doypack 2...,S/ 6.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,200.0,g,Salsa Vinagreta a la Italiana WALIBI Doypack 2,6.9,plaza_vea,Doypack 200g,TOMATE ITALIANO O MARSANO
Tomates Cortados The Fresh Market 411g,S/ 6.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,411.0,g,Tomates Cortados The Fresh Market,6.9,wong,,TOMATE ITALIANO O MARSANO
Tomate Italiano BELL'S Bolsa 1Kg,S/ 6.99 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,kg,Tomate Italiano BELL'S Bolsa,6.99,plaza_vea,Bolsa 1Kg,TOMATE ITALIANO O MARSANO
Infusión de Mate de Coca Sunka Premium 20un,S/ 7.00,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,20.0,un,Infusión de Mate de Coca Sunka Premium,7.0,metro,,TOMATE ITALIANO O MARSANO
Galletas de Arroz Costeño Tomate Intenso Doypack 150 g,S/ 7.10,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,150.0,g,Galletas de Arroz Costeño Tomate Intenso Doypack,7.1,wong,,TOMATE ITALIANO O MARSANO
Mix Italiano Precocido GREEN FOOD Bolsa 400g,S/ 7.30 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,400.0,g,Mix Italiano Precocido GREEN FOOD Bolsa,7.3,plaza_vea,Bolsa 400g,TOMATE ITALIANO O MARSANO
Tomate Cherry Hidropónico de Invernadero Don Miguel Bandeja 300 g,S/ 7.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,300.0,g,Tomate Cherry Hidropónico de Invernadero Don Miguel Bandeja,7.5,wong,,TOMATE ITALIANO O MARSANO
Jugo de Tomate Amo Botella 500 ml,S/ 7.50,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,500.0,ml,Jugo de Tomate Amo Botella,7.5,metro,,TOMATE ITALIANO O MARSANO
Patitas Picantes Sin Pollo Marciano Vegano 200g,S/ 7.70,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,200.0,g,Patitas Picantes Sin Pollo Marciano Vegano,7.7,wong,,TOMATE ITALIANO O MARSANO
Focaccia con Tomate Refrigerado LA FLORENCIA 1...,S/ 7.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,un,Focaccia con Tomate Refrigerado LA FLORENCIA 1,7.9,plaza_vea,Bandeja 1un,TOMATE ITALIANO O MARSANO
Salsa EL CORTE INGLES De tomate con aceite de ...,S/ 7.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,350.0,g,Salsa EL CORTE INGLES De tomate con aceite de,7.9,plaza_vea,Frasco 350g,TOMATE ITALIANO O MARSANO
Jugo de Tomate Amo Botella 500 ml,S/ 7.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,500.0,ml,Jugo de Tomate Amo Botella,7.9,wong,,TOMATE ITALIANO O MARSANO
"Papa en Hojuelas Inka Chips Tomate, Albahaca y Oliva 115g",S/ 8.10,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,115.0,g,"Papa en Hojuelas Inka Chips Tomate, Albahaca y Oliva",8.1,metro,,TOMATE ITALIANO O MARSANO
"Papa en Hojuelas Inka Chips Tomate, Albahaca y Oliva 115g",S/ 8.20,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,115.0,g,"Papa en Hojuelas Inka Chips Tomate, Albahaca y Oliva",8.2,wong,,TOMATE ITALIANO O MARSANO
Pimiento x kg,S/ 8.49 x kg,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,1.0,kg,Pimiento,8.49,metro,,TOMATE ITALIANO O MARSANO
Jugo de Tomate Campbell's Lata 162ml,S/ 8.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,162.0,ml,Jugo de Tomate Campbell's Lata,8.9,wong,,TOMATE ITALIANO O MARSANO
Nachos Horneados Sanissimo Sabor Tomate y Albahaca 160g,S/ 8.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,160.0,g,Nachos Horneados Sanissimo Sabor Tomate y Albahaca,8.9,wong,,TOMATE ITALIANO O MARSANO
Pimiento x kg,S/ 8.99 x kg,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,1.0,kg,Pimiento,8.99,wong,,TOMATE ITALIANO O MARSANO
Pasta de Tomate CASA RINALDI Frasco 690g,S/ 9.50 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,690.0,g,Pasta de Tomate CASA RINALDI Frasco,9.5,plaza_vea,Frasco 690g,TOMATE ITALIANO O MARSANO
Vaso Descartable Murano 350 ml Paquete 12 unid,S/ 9.59,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,350.0,ml,Vaso Descartable Murano  Paquete,9.59,metro,,TOMATE ITALIANO O MARSANO
Vaso Descartable Murano 350 ml Paquete 12 unid,S/ 9.59,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,350.0,ml,Vaso Descartable Murano  Paquete,9.59,wong,,TOMATE ITALIANO O MARSANO
Frijoles con Tocino Valle Fértil Salsa de Tomate VF 454 g,S/ 9.70,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,454.0,g,Frijoles con Tocino Valle Fértil Salsa de Tomate VF,9.7,wong,,TOMATE ITALIANO O MARSANO
Mini Tostada Il Pastificio Tomate y Orégano 100g,S/ 9.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,100.0,g,Mini Tostada Il Pastificio Tomate y Orégano,9.9,metro,,TOMATE ITALIANO O MARSANO
Salsa de Tomate The Fresh Market 794g,S/ 9.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,794.0,g,Salsa de Tomate The Fresh Market,9.9,wong,,TOMATE ITALIANO O MARSANO
Mini Tostada Il Pastificio Tomate y Orégano 100g,S/ 9.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,100.0,g,Mini Tostada Il Pastificio Tomate y Orégano,9.9,wong,,TOMATE ITALIANO O MARSANO
Crema Limpiador Cuero Mate SANTIAGO Botella 10...,S/ 9.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,100.0,ml,Crema Limpiador Cuero Mate SANTIAGO Botella 10,9.9,plaza_vea,Botella 100ml,TOMATE ITALIANO O MARSANO
Pulpa de Langostino AZUL MARINO Bolsa 200g,S/ 9.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,200.0,g,Pulpa de Langostino AZUL MARINO Bolsa,9.9,plaza_vea,Bolsa 200g,TOMATE ITALIANO O MARSANO
Tomate Cherry La Huerta 300g,S/ 9.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,300.0,g,Tomate Cherry La Huerta,9.9,metro,,TOMATE ITALIANO O MARSANO
Salsa para Pastas Filippo Berio Tomate Pesto Frasco 190 g,S/ 9.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,190.0,g,Salsa para Pastas Filippo Berio Tomate Pesto Frasco,9.9,metro,,TOMATE ITALIANO O MARSANO
Nachos Horneados Sanissimo Sabor Tomate y Albahaca 160g,S/ 9.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,160.0,g,Nachos Horneados Sanissimo Sabor Tomate y Albahaca,9.9,metro,,TOMATE ITALIANO O MARSANO
Crema para Cuero Mate Santiago 100ml,S/ 9.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,100.0,ml,Crema para Cuero Mate Santiago,9.9,metro,,TOMATE ITALIANO O MARSANO
Pasta de Tomate BELL'S Doypack 1Kg,S/ 9.99 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,kg,Pasta de Tomate BELL'S Doypack,9.99,plaza_vea,Doypack 1Kg,TOMATE ITALIANO O MARSANO
Mate Digestivo Horniman's Caja 25 Unidades,S/ 10.00,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,25.0,un,Mate Digestivo Horniman's Caja ades,10.0,wong,,TOMATE ITALIANO O MARSANO
Salsa de Tomate Frito VALDEPORRES Aceite de Ol...,S/ 10.40 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,350.0,g,Salsa de Tomate Frito VALDEPORRES Aceite de Ol,10.4,plaza_vea,Frasco 350g,TOMATE ITALIANO O MARSANO
Jugo de Fruta BELL'S Tomate Botella 1L,S/ 10.40 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,1.0,l,Jugo de Fruta BELL'S Tomate Botella,10.4,plaza_vea,Botella 1L,TOMATE ITALIANO O MARSANO
"Bruschetas Chips Maretti Tomate, Aceituna y Orégano 150g",S/ 10.60,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,150.0,g,"Bruschetas Chips Maretti Tomate, Aceituna y Orégano",10.6,metro,,TOMATE ITALIANO O MARSANO
Tomate Triturado Colavita 400g,S/ 10.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,400.0,g,Tomate Triturado Colavita,10.9,wong,,TOMATE ITALIANO O MARSANO
Tomate en Cuadros The Fresh Market 794g,S/ 10.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,794.0,g,Tomate en Cuadros The Fresh Market,10.9,wong,,TOMATE ITALIANO O MARSANO
Tomates Enteros The Fresh Market 794g,S/ 10.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,794.0,g,Tomates Enteros The Fresh Market,10.9,wong,,TOMATE ITALIANO O MARSANO
Tomate Triturado Colavita 400g,S/ 10.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,400.0,g,Tomate Triturado Colavita,10.9,metro,,TOMATE ITALIANO O MARSANO
Salsa de Tomate Don Italo 250g,S/ 10.99,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,250.0,g,Salsa de Tomate Don Italo,10.99,wong,,TOMATE ITALIANO O MARSANO
Tomate Cherry Cuisine & Co 600g,S/ 11.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,600.0,g,Tomate Cherry Cuisine & Co,11.5,wong,,TOMATE ITALIANO O MARSANO
Tomate Cherry Cuisine & Co 600g,S/ 11.50,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,600.0,g,Tomate Cherry Cuisine & Co,11.5,metro,,TOMATE ITALIANO O MARSANO
Choritos Enteros Precocidos Vadimar 500g,S/ 11.50,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,500.0,g,Choritos Enteros Precocidos Vadimar,11.5,wong,,TOMATE ITALIANO O MARSANO
Langostino Chico Pelado Azul Marino Bolsa 240 g,S/ 11.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,240.0,g,Langostino Chico Pelado Azul Marino Bolsa,11.9,wong,,TOMATE ITALIANO O MARSANO
Passata de Tomate Clásico La Molisana 690g,S/ 11.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,690.0,g,Passata de Tomate Clásico La Molisana,11.9,wong,,TOMATE ITALIANO O MARSANO
Tomate Pelati MUTTI Lata 400g,S/ 11.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,400.0,g,Tomate Pelati MUTTI Lata,11.9,plaza_vea,Lata 400g,TOMATE ITALIANO O MARSANO
Passata de Tomate Clásico La Molisana 690g,S/ 11.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,690.0,g,Passata de Tomate Clásico La Molisana,11.9,metro,,TOMATE ITALIANO O MARSANO
Mondongo Picado a La Italiana Bolsa 1 kg,S/ 11.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,1.0,kg,Mondongo Picado a La Italiana Bolsa,11.9,metro,,TOMATE ITALIANO O MARSANO
Tomate Cherry La Huerta 300g,S/ 12.00,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,300.0,g,Tomate Cherry La Huerta,12.0,wong,,TOMATE ITALIANO O MARSANO
Tomates en Cubos Del Monte Lata 411 g,S/ 12.10,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,411.0,g,Tomates en Cubos Del Monte Lata,12.1,wong,,TOMATE ITALIANO O MARSANO
Puré de Tomate GOURMET 117 Botella 680g,S/ 12.70 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,680.0,g,Puré de Tomate GOURMET 117 Botella,12.7,plaza_vea,Botella 680g,TOMATE ITALIANO O MARSANO
Salsa HEINZ Tomato ketchup con un toque de dul...,S/ 12.70 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,397.0,g,Salsa HEINZ Tomato ketchup con un toque de dul,12.7,plaza_vea,Doypack 397g,TOMATE ITALIANO O MARSANO
Paper Mate Lapiceros Punta Media Flair Clásicos Pack 4 unid,S/ 12.77,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,4.0,un,Paper Mate Lapiceros Punta Media Flair Clásicos Pack,12.77,wong,,TOMATE ITALIANO O MARSANO
Salsa de Tomate ON ITALO Pote 250g,S/ 12.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,250.0,g,Salsa de Tomate ON ITALO Pote,12.9,plaza_vea,Pote 250g,TOMATE ITALIANO O MARSANO
Chorizo Italiano Paquete 220 g,S/ 12.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,220.0,g,Chorizo Italiano Paquete,12.9,wong,,TOMATE ITALIANO O MARSANO
Salsa Artesanal de Tomate IL PASTIFICIO Pote 2...,S/ 12.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,250.0,g,Salsa Artesanal de Tomate IL PASTIFICIO Pote 2,12.9,plaza_vea,Pote 250g,TOMATE ITALIANO O MARSANO
Chorizo Italiano Paquete 220 g,S/ 13.10,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,220.0,g,Chorizo Italiano Paquete,13.1,metro,,TOMATE ITALIANO O MARSANO
