description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Canela Molida Badia Sobre 0.5 Onzas,,0.5,oz,4.2,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),0.5,oz,4.2
Canela Entera KARIÑO Sobre 9g,,9.0,g,4.2,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),9.0,g,4.2
Té Canela y Clavo McColins 25un,,25.0,un,4.3,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),25.0,un,4.3
Chocolate para Taza Instántaneo SOL DEL CUSCO ...,,90.0,g,4.6,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),90.0,g,4.6
Chocolate Instantáneo Sabor Canela y Clavo Bolsa 90 g,,90.0,g,4.7,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),90.0,g,4.7
Cebolla Roja Agro Selecto 2Kg,,2.0,kg,4.75,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),2.0,kg,4.75
Filete de Caballa FRESCOMAR Aceite Vegetal Lat...,,170.0,g,4.8,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),170.0,g,4.8
Canela Entera Badia 14.2g,,14.2,g,5.1,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),14.2,g,5.1
Sólido de Caballa CAMPOMAR en Aceite Vegetal L...,,170.0,g,5.2,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),170.0,g,5.2
Filete de Caballa Marinero 140g,,140.0,g,5.2,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),140.0,g,5.2
Tuna Roja Metro x kg,,1.0,kg,5.29,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),1.0,kg,5.29
Sólido de Caballa Campomar en Aceite Lata 170 gr,,170.0,g,5.3,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),170.0,g,5.3
Jabón de Ropa MARSELLA Floral Paquete 380g,,380.0,g,5.4,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),380.0,g,5.4
Cebolla Blanca Agro Selecto 2kg,,2.0,kg,5.5,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),2.0,kg,5.5
Canela China en Polvo Alida Chiang 5g,,5.0,g,5.8,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),5.0,g,5.8
Tuna Roja,,0.25,kg,5.88,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),0.25,kg,5.88
Cereal Bar COSTA Manzana y Canela Caja 12un,,12.0,un,6.0,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),12.0,un,6.0
Pañuelo ELITE Triple Hoja Aloe Vera Paquete 8u...,,8.0,un,6.0,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),8.0,un,6.0
Salsa Roja DON VITTORIO Doypack 400g,,400.0,g,6.1,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),400.0,g,6.1
Cebollita Perla La Huerta Wong Bandeja 230g aprox,,230.0,g,6.1,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),230.0,g,6.1
Salsa Roja Completa Don Vittorio 400g,,400.0,g,6.3,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),400.0,g,6.3
Sangrecita Criolla Cuisine & Co 500g,,500.0,g,6.4,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),500.0,g,6.4
Barras de Cereales Cereal Bar Manzana y Canela 12un,,12.0,un,6.6,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),12.0,un,6.6
Sangrecita Criolla Rendondos 500g,,500.0,g,6.7,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),500.0,g,6.7
Yogurt Batido GLORIA Griego Sabor Frutos Rojos...,,800.0,g,7.0,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),800.0,g,7.0
Huevos de Codorniz LA CALERA Bandeja 18un,,18.0,un,7.49,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),18.0,un,7.49
Papas INKA CHIPS Queso & Cebolla Bolsa 135g,,135.0,g,7.6,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),135.0,g,7.6
Papas INKA CHIPS BBQ & Cebolla Bolsa 135g,,135.0,g,7.6,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),135.0,g,7.6
Papel Toalla Doblado ELITE Doble Hoja Paquete ...,,120.0,un,7.6,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),120.0,un,7.6
Manzana Roja Importada,,0.6,kg,7.9,plaza_vea,2024-12-05 15:35:18.025550,CEBOLLA DE CABEZA (ROJA),0.6,kg,7.9
Pera Canela Importada x kg,,1.0,kg,7.99,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),1.0,kg,7.99
Cebolla Roja Picada Cuisine & Co 200g,,200.0,g,8.0,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),200.0,g,8.0
Papa en Hojuelas Inka Chips BBQ y Cebolla 135g,,135.0,g,8.0,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),135.0,g,8.0
Papa en Hojuelas Inka Chips Queso y Cebolla 135g,,135.0,g,8.0,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),135.0,g,8.0
Manzana Roja x kg,,1.0,kg,8.19,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),1.0,kg,8.19
Ají Amarillo x kg,,1.0,kg,8.29,metro,2024-12-05 16:17:38.272280,CEBOLLA DE CABEZA (ROJA),1.0,kg,8.29
