unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
,Infusiones DEL VALLE Hierba Luisa Caja 25 un,S/ 1.70,vega,HIERBAS PARA INFUSIONES,2024-12-05 13:26:49.478339,25.0,un,Infusiones DEL VALLE Hierba Luisa Caja,1.7,vega,Del Valle,HIERBAS PARA INFUSIONES
,Infusiones Hierba Luisa HUERTO Caja 25 un,S/ 2.20,vega,HIERBAS PARA INFUSIONES,2024-12-05 13:26:49.478339,25.0,un,Infusiones Hierba Luisa HUERTO Caja,2.2,vega,Huerto Del Eden,HIERBAS PARA INFUSIONES
,Cuisine & Co Hierba Luisa para Infusión Caja 20 unid,S/ 3.20,wong,HIERBAS PARA INFUSIONES,2024-12-05 19:27:59.794323,20.0,un,Cuisine & Co Hierba Luisa para Infusión Caja,3.2,wong,,HIERBAS PARA INFUSIONES
,Hierba Luisa Hornimans 25un,S/ 3.90,wong,HIERBAS PARA INFUSIONES,2024-12-05 19:27:59.794323,25.0,un,Hierba Luisa Hornimans,3.9,wong,,HIERBAS PARA INFUSIONES
Caja 25un,Infusión de Hierba Luisa HORNIMANS Caja 25un,S/ 3.90 un,plaza_vea,HIERBAS PARA INFUSIONES,2024-12-05 16:04:28.856708,25.0,un,Infusión de Hierba Luisa HORNIMANS Caja,3.9,plaza_vea,,HIERBAS PARA INFUSIONES
,Infusión Orgánica de Hierba Luisa Sunka 20un,S/ 4.30,wong,HIERBAS PARA INFUSIONES,2024-12-05 19:27:59.794323,20.0,un,Infusión Orgánica de Hierba Luisa Sunka,4.3,wong,,HIERBAS PARA INFUSIONES
,Infusión de Hierba Luisa McColins 25un,S/ 4.90,wong,HIERBAS PARA INFUSIONES,2024-12-05 19:27:59.794323,25.0,un,Infusión de Hierba Luisa McColins,4.9,wong,,HIERBAS PARA INFUSIONES
,Infusión Andina Wawasana de Hierbas Detox 12un,S/ 6.40,wong,HIERBAS PARA INFUSIONES,2024-12-05 19:27:59.794323,12.0,un,Infusión Andina Wawasana de Hierbas Detox,6.4,wong,,HIERBAS PARA INFUSIONES
,Infusiones DEL VALLE Hierba Luisa Caja 100 un,S/ 6.40,vega,HIERBAS PARA INFUSIONES,2024-12-05 13:26:49.478339,100.0,un,Infusiones DEL VALLE Hierba Luisa Caja,6.4,vega,Del Valle,HIERBAS PARA INFUSIONES
Doypack 60g,"Infusión de Valeriana, Toronjil, Hierba Luisa ...",S/ 7.20 un,plaza_vea,HIERBAS PARA INFUSIONES,2024-12-05 16:04:28.856708,60.0,g,"Infusión de Valeriana, Toronjil, Hierba Luisa",7.2,plaza_vea,,HIERBAS PARA INFUSIONES
Caja 20un,Infusión de Hierbas SAINT GOTTARD Invernal Caj...,S/ 7.60 un,plaza_vea,HIERBAS PARA INFUSIONES,2024-12-05 16:04:28.856708,20.0,un,Infusión de Hierbas SAINT GOTTARD Invernal Caj,7.6,plaza_vea,,HIERBAS PARA INFUSIONES
Caja 20un,Infusión de Hierbas SAINT GOTTARD Digestivo Ca...,S/ 7.90 un,plaza_vea,HIERBAS PARA INFUSIONES,2024-12-05 16:04:28.856708,20.0,un,Infusión de Hierbas SAINT GOTTARD Digestivo Ca,7.9,plaza_vea,,HIERBAS PARA INFUSIONES
,Infusiones Hierba Luisa HUERTO Caja 100 un,S/ 7.90,vega,HIERBAS PARA INFUSIONES,2024-12-05 13:26:49.478339,100.0,un,Infusiones Hierba Luisa HUERTO Caja,7.9,vega,Huerto Del Eden,HIERBAS PARA INFUSIONES
