description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Pollo Enrollado con Salsa y Arroz Blanco Cuisine & Co 400g,,400.0,g,14.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,36.25
Pierna con Encuentro de Pollo x kg,,1.0,kg,14.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,14.5
Pollo Enrollado con Salsa de Ostión y Arroz Chaufa Cuisine & Co 400g,,400.0,g,14.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,36.25
Pollo al Horno con Puré y Arroz Cuisine & Co 400g,,400.0,g,14.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,36.25
Pollo Tipakay con Arroz Chaufa Cuisine & Co 400g,,400.0,g,14.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,36.25
Pechuga Especial Importada x kg,,1.0,kg,14.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,14.5
Pierna con Encuentro de Pollo Redondos x kg,,1.0,kg,14.5,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,14.5
Pollo Oriental San Fernando Bolsa 800 g / Medio Pollo en 4 Piezas,,800.0,g,14.6,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,18.25
Pollo al Horno San Fernando Bolsa 800 g / Medio pollo en 4 Piezas,,800.0,g,14.6,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,18.25
Pollo al Horno San Fernando Bolsa 800 g / Medio pollo en 4 Piezas,,800.0,g,14.6,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,18.25
Pollo Entero Light x kg,,1.0,kg,14.7,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,14.7
Pollo Entero Light x kg,,1.0,kg,14.7,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,14.7
Tiras de Pechuga de Pollo Bolsa 300 g,,300.0,g,14.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,49.66666666666667
Drumetts de Pollo x kg,,1.0,kg,14.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,14.9
Pollo Entero Congelado PERDIX Bolsa 1400g,PERDIX,1400.0,g,15.2,vivanda,2024-12-05 21:42:08.336357,POLLO EVISCERADO,1.0,kg,10.857142857142858
Pechuga Entera de Pollo Redondos x kg,,1.0,kg,15.5,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,15.5
Pierna Especial de Pollo x kg,,1.0,kg,15.95,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,15.95
Alas Pollo Congeladas San Fernando x kg,,1.0,kg,16.3,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,16.3
Muslo de de Pollo Redondos x kg,,1.0,kg,16.49,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,16.49
Pierna o Encuentro de Pollo x kg,,1.0,kg,16.49,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,16.49
Pollo Fresco Sin Menudencia Artisan Libre de Antibióticos x kg,,1.0,kg,16.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,16.5
Filete de Pechuga Importado x kg,,1.0,kg,16.5,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,16.5
Filete de Pechuga Importado x kg,,1.0,kg,16.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,16.5
Muslo de Pollo Congelado San Fernando x kg,,1.0,kg,16.5,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,16.5
Pierna de Pollo Congelada San Fernando x kg,,1.0,kg,16.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,16.5
Muslo de Pollo Congelado San Fernando x kg,,1.0,kg,16.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,16.5
Chicharrón de Pollo AVINKA Bolsa 350g,AVINKA,350.0,g,16.7,vivanda,2024-12-05 21:42:08.336357,POLLO EVISCERADO,1.0,kg,47.714285714285715
Nuggets de Pechuga de Pollo Cuisine & Co 480g,,480.0,g,17.2,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,35.833333333333336
Pollo Pollada San Fernando Bolsa 800 g / 2 Cuartos de Pollo,,800.0,g,17.2,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,21.5
Pollo Trozado Macerado SAN FERNANDO Asu Olla! Sazón Pollo Oriental Bolsa 800g,SAN FERNANDO,800.0,g,17.3,vivanda,2024-12-05 21:42:08.336357,POLLO EVISCERADO,1.0,kg,21.625
Pollo Trozado Macerado SAN FERNANDO Asu Olla! Sazón Pollo Al Horno Bolsa 800g,SAN FERNANDO,800.0,g,17.3,vivanda,2024-12-05 21:42:08.336357,POLLO EVISCERADO,1.0,kg,21.625
Pollo Sabor Pachamanca Redondos 780g,,780.0,g,17.89,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,22.935897435897434
Pollo Sabor Oriental Redondos 780g,,780.0,g,17.89,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,22.935897435897434
Pollo Sabor Oriental Redondos 780g,,780.0,g,17.89,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,22.935897435897434
Pollo Sabor Estofado Redondos 780g,,780.0,g,17.89,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,22.935897435897434
Pollo Sabor Pachamanca Redondos 780g,,780.0,g,17.89,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,22.935897435897434
Pollo Teriyaki Wong Ready Con Arroz Oriental Bandeja 370 g,,370.0,g,17.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,48.37837837837837
Pierna de Pollo Light x kg,,1.0,kg,18.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,18.5
Pollo Fresco Sin Menudencia Artisan Libre de Antibióticos x kg,,1.0,kg,19.49,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,19.49
Pechuga de Pollo Light x kg,,1.0,kg,19.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,19.5
Encuentro Especial Light de Pollo x kg,,1.0,kg,19.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,19.9
Pollo Entero Aderezo Leña REDONDOS Paquete 1Kg,REDONDOS,1.0,kg,20.3,vivanda,2024-12-05 21:42:08.336357,POLLO EVISCERADO,1.0,kg,20.3
Filete Parrillero de Pierna de Pollo con Piel x kg,,1.0,kg,20.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,20.9
Alitas Orientales San Fernando 1kg,,1.0,kg,21.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,21.9
Pollo Entero Marinado Sazón Brasa San Fernando 1.4kg,,1.4,kg,21.9,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,15.642857142857142
Filete de Pierna de Pollo x kg,,1.0,kg,22.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,22.9
Filete de Pechuga de Pollo x kg,,1.0,kg,24.0,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,24.0
Pollo Entero Marinado Sazón Brasa San Fernando 1.4kg,,1.4,kg,24.4,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,17.428571428571427
Filete de Pechuga Pollo Redondos x kg,,1.0,kg,25.4,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,25.4
Filete de Pejerrey de Pollo x kg,,1.0,kg,25.4,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,25.4
Filete de Pechuga de Pollo Congelada San Fernando x kg,,1.0,kg,26.7,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,26.7
Filete de Pechuga de Pollo Congelada San Fernando x kg,,1.0,kg,26.7,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,26.7
Alas de Pollo Artisan x Kg. Libre de Antibióticos,,1.0,kg,27.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,27.5
Alitas de Pollo a La Barbecue Wong Bolsa x 1 Kg,,1.0,kg,28.99,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,28.99
Chicharrón de Pollo Cuisine & Co 450g,,450.0,g,29.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,65.55555555555556
Milanesa de Pollo x kg,,1.0,kg,29.99,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,29.99
Pollo Entero Light Sin Menudencia Artisan x kg,,1.0,kg,30.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,30.9
Piernas de Pollo Artisan x Kg. Libre de Antibióticos,,1.0,kg,31.2,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,31.2
Muslos de Pollo Artisan x Kg. Libre de Antibióticos,,1.0,kg,31.4,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,31.4
Milanesa de Pollo Redondos 1kg,,1.0,kg,32.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,32.9
Metro Pollo Entero + Porción de Papas x 400 g Delivery,,400.0,g,35.99,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,89.97500000000001
Pollo con Frutas x kg,,1.0,kg,37.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,37.9
"Pollo Enrollado con Jamón, Tocino y Guindones x kg",,1.0,kg,38.5,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,38.5
Pollo Enrollado con Jamon y Queso x kg,,1.0,kg,38.5,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,38.5
Pollo Enrollado con Verduras x kg,,1.0,kg,38.5,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,38.5
Pollo Enrollado Jamon y Queso Sin Piel x kg,,1.0,kg,38.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,38.5
Pollo Enrollado Jamon y Queso Sin Piel x kg,,1.0,kg,38.5,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,38.5
Pollo Enrollado con Jamon y Queso x kg,,1.0,kg,38.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,38.5
"Pollo Enrollado con Jamón, Tocino y Guindones x kg",,1.0,kg,38.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,38.5
Suprema de Pollo Artisan 550g,,550.0,g,39.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,71.81818181818181
Filete de Pierna de Pollo con Piel Avinka Artisan x kg,,1.0,kg,40.75,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,40.75
Pollo Enrollado De La Casa Surtido x kg,,1.0,kg,41.99,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,41.99
Metro Pollo Entero + Porción de Papas x 400 g + Gaseosa 1.5 Litro,,400.0,g,42.99,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,107.47500000000001
Filete de Pierna Artisan x Kg. Libre de Antibióticos,,1.0,kg,43.35,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,43.35
Filete de Pechuga Artisan x Kg. Libre de Antibióticos,,1.0,kg,46.6,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,46.6
Tiras de Pollo Artisan x kg,,1.0,kg,46.9,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,46.9
Filete de Pejerrey Artisan x Kg. Libre de Antibióticos,,1.0,kg,47.79,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,47.79
Metro Pollo Entero + Porción de Papas x 400 g + Chicha Morada Naturale 1 Litro + Ensalada,,400.0,g,52.99,metro,2024-12-05 15:30:18.488062,POLLO EVISCERADO,1.0,kg,132.475
Alimento Purina One Esterilizados One Pollo Y Salmon 6kg,,6.0,kg,167.5,wong,2024-12-05 18:01:18.536291,POLLO EVISCERADO,1.0,kg,27.916666666666664
