description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,CLASIFICACION
Caldo de Gallina DOÑA GUSTA Concentrado en Polvo Caja 42g,DOÑA GUSTA,S/ 2.20,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,42.0,g,Caldo de Gallina DOÑA GUSTA Concentrado en Polvo Caja,2.2,vivanda,PASTELES SALADOS
Piqueo BELL'S Chifles Salados Táper 100g,BELL'S,S/ 3.79,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,100.0,g,Piqueo BELL'S Chifles Salados Táper,3.79,vivanda,PASTELES SALADOS
Maní KARINTO Engalletado Salado Bolsa 100g,KARINTO,S/ 4.20,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,100.0,g,Maní KARINTO Engalletado Salado Bolsa,4.2,vivanda,PASTELES SALADOS
Piqueo BELL'S Maní salado Bolsa 180Gr,BELL'S,S/ 4.20,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,180.0,g,Piqueo BELL'S Maní salado Bolsa r,4.2,vivanda,PASTELES SALADOS
Piqueo BELL'S Maní Frito Salado Táper 140g,BELL'S,S/ 4.30,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,140.0,g,Piqueo BELL'S Maní Frito Salado Táper,4.3,vivanda,PASTELES SALADOS
Piqueo BELL'S Chifles salados Bolsa 125Gr,BELL'S,S/ 4.59,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,125.0,g,Piqueo BELL'S Chifles salados Bolsa r,4.59,vivanda,PASTELES SALADOS
Piqueo VILLA NATURA Chifles salados Bolsa 150Gr,VILLA NATURA,S/ 5.00,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,150.0,g,Piqueo VILLA NATURA Chifles salados Bolsa r,5.0,vivanda,PASTELES SALADOS
Sólido de Caballa CAMPOMAR en Aceite Vegetal Lata 170g,CAMPOMAR,S/ 5.20,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,170.0,g,Sólido de Caballa CAMPOMAR en Aceite Vegetal Lata,5.2,vivanda,PASTELES SALADOS
Resaltadores CLASS&WORK JP9913AG Pastel Caja 2un,CLASS & WORK,S/ 5.90,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,2.0,un,Resaltadores CLASS&WORK JP9913AG Pastel Caja,5.9,vivanda,PASTELES SALADOS
Pastel de Jamón OTTO KUNZ Paquete 150g,OTTO KUNZ,S/ 6.80,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,150.0,g,Pastel de Jamón OTTO KUNZ Paquete,6.8,vivanda,PASTELES SALADOS
Papel Toalla SCOTT Multiusos 2 en 1 Paquete 2un,SUAVE,S/ 7.00,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,2.0,un,Papel Toalla SCOTT Multiusos 2 en 1 Paquete,7.0,vivanda,PASTELES SALADOS
Papel Toalla NOVA Clásico Mega Rollo Paquete 2un,NOVA,S/ 7.20,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,2.0,un,Papel Toalla NOVA Clásico Mega Rollo Paquete,7.2,vivanda,PASTELES SALADOS
Piqueo BELL'S Chifles salados Bolsa 220Gr,BELL'S,S/ 7.40,vivanda,PASTELES SALADOS,2024-12-05 21:35:34.448824,220.0,g,Piqueo BELL'S Chifles salados Bolsa r,7.4,vivanda,PASTELES SALADOS
